CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Fort Wayne,Allen County Courthouse,,TX,US,2020-11-01,dozens; less than a dozen,12,,24,,,general protesters,against abortion,2,protest,0,0,0,0,1,1,,,,https://www.journalgazette.net/news/local/20201102/dozen-join-anti-abortion-rally,,,,,,,,,,,,,,,,,,
Fredericksburg,Fredericksburg Nationals Stadium,,VA,US,2020-11-01,some 500,500,,500,,,One Church Rappahannock Region,for unity; against division in politics,0,rally,0,0,0,0,1,1,,,,https://fredericksburg.com/news/local/while-others-are-trying-to-divide-area-people-of-faith-gather-to-create-unity-in/article_65be1ccc-bceb-5997-89e2-a9a3ed2e62b8.html,https://fredericksburg.com/news/local/fredericksburg-area-faith-leaders-promote-unity-at-worship-rally/article_65be1ccc-bceb-5997-89e2-a9a3ed2e62b8.html,https://starexponent.com/news/while-others-are-trying-to-divide-area-people-of-faith-gather-to-create-unity-in/article_fa107890-6b18-5c25-9999-ee54d0bc14da.html,,,,,,,,,,,,,,,,
Gainesville,"University of Florida President Kent Fuch's home, 450 Village Dr; Dansburg House",,FL,US,2020-11-01,about two dozen; over 30,24,,30,,,Graduate Students United,against plan to reopen university for in-person schooling despite coronavirus pandemic,0,protest,0,0,0,0,1,1,,Students and Workers Unite to Stop Face-to-Face Classes,,https://www.gainesville.com/story/news/local/2020/11/01/uf-faculty-graduate-students-protest-spring-re-opening-presidents-house/6091938002/,https://www.wuft.org/news/2020/11/02/group-of-uf-students-and-teachers-join-to-protest-in-person-classes-in-the-spring/,https://www.alligator.org/covid-19/uf-faculty-and-graduate-students-protest-demanding-uf-reverses-in-person-plans-for-spring/article_bc95625e-1cc5-11eb-8842-e3a306d524c4.html,,,,,,,,,,,,,,,,
Goldsboro,,,NC,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,car rally,0,0,0,0,1,1,,Feat. Kamala Harris,,https://www.fayobserver.com/story/news/politics/2020/11/01/kamala-harris-rally-fayetteville-state-university/6083650002/,,,,,,,,,,,,,,,,,,
Green Bay,Brown County Democrats' office,,WI,US,2020-11-01,roughly a dozen; about 40,12,,40,,,general protesters,for Joe Biden,1,rally,0,0,0,0,1,1,,Feat. Sen. Klobuchar,,https://www.greenbaypressgazette.com/story/news/2020/11/01/2020-election-amy-klobuchar-campaigns-joe-biden-green-bay/6114796002/,,,,,,,,,,,,,,,,,,
Gresham,440 N.W. Gresham Rd.,,OR,US,2020-11-01,hundreds,200,,200,,,Bob Spicher; general protestors,for President Trump,2,rally,,,,,1,1,,,,https://pamplinmedia.com/go/42-news/486283-391639-trump-supporters-rally-in-gresham,,,,,,,,,,,,,,,,,,
Hartford,,,CT,US,2020-11-01,,,,,,,general protesters,"for President Trump, for patriotism",2,rally; caravan,0,0,0,0,1,1,20201101-hartford-trump,,,https://www.wtnh.com/news/politics/trump-rallies-held-in-new-haven-hartford-just-days-before-election-day/,,,,,,,,,,,,,,,,,,
Hartford,,,CT,US,2020-11-01,,,,,,,general protesters,"against President Trump, Black Lives Matter",1,counter-protest,0,0,0,0,0,1,20201101-hartford-trump,stood on caravan route with signs,,https://www.wtnh.com/news/politics/trump-rallies-held-in-new-haven-hartford-just-days-before-election-day/,,,,,,,,,,,,,,,,,,
Haverford,Haverford College,,PA,US,2020-11-01,,,,,,,Women of Color House; Black Students Refusing Further Inaction; Black Student League,"against racism, against police violence, for justice for Walter Wallace Jr., against university dean's call to avoid protests",1,strike; boycott,0,0,0,0,1,1,,,,https://whyy.org/articles/haverford-college-students-end-two-week-strike-after-administrators-insensitive-email/,,,,,,,,,,,,,,,,,,
Hickory,Hickory Regional Airport,,NC,US,2020-11-01,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,Feat. President Trump,,https://www.wwaytv3.com/2020/10/31/trump-plans-sunday-rally-at-hickory-airport-pence-to-attend-boone-church-service/,https://www.nytimes.com/2020/11/01/us/politics/trump-biden-campaign.html,https://hickoryrecord.com/news/local/govt-and-politics/president-trump-to-hold-rally-sunday-at-hickory-regional-airport/article_527c7f5e-1ad8-11eb-8168-2f40702092ce.html,https://morganton.com/news/local/govt-and-politics/president-trump-to-hold-rally-sunday-at-hickory-regional-airport/article_27ff86bc-50e8-53bc-ba0c-45c7ecee04b7.html,https://www.sunherald.com/news/nation-world/national/article246891632.html,https://morganton.com/news/local/govt-and-politics/president-trump-speaks-at-hickory-rally-about-opening-state/video_19220889-2c15-5dd9-8437-73f0cdd0c4dd.html,https://morganton.com/news/local/govt-and-politics/president-trump-speaks-at-hickory-rally/video_2f5ffa4f-0f55-5dcb-aa27-b82e979062b6.html,,,,,,,,,,,,
