CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Baltimore,801 E Fayette St,,MD,US,2020-11-21,,,,,,,1199 SEIU Maryland/DC; Sunrise Movement Baltimore; Housing Our Neighbors; United Workers; Communities United; Charm City Care Connection; Baltimore Harm Reduction Coalition,"for cancelling rent during coronavirus pandemic, for more support for unhoused people",0,march,,,,,1,1,,,,https://www.facebook.com/events/2810916405858079/,,,,,,,,,,,,,,,,,,
Beacon,Fishkill Correctional Facility,,NY,US,2020-11-21,count pic,15,,20,,,Release Aging People in Prison Campaign,for clemency for prisoners during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://twitter.com/RAPPcampaign/status/1330243972200095751,,,,,,,,,,,,,,,,,,
Bellevue,,,WA,US,2020-11-21,count video,60,,80,,,School Is Essential,for in-person schooling option during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://www.q13fox.com/news/parents-rally-in-bellevue-calling-school-districts-to-offer-option-for-in-person-learning,,,,,,,,,,,,,,,,,,
Bellingham,to Lynden,,WA,US,2020-11-21,,,,,,,general protesters,against new state restrictions due to coronavirus surge,2,rally; caravan,0,0,0,0,1,1,,The Turkey Day Rebellion,,https://www.king5.com/article/news/local/groups-rally-against-new-covid-19-restrictions-whatcom-county-washington-state/281-206cd3fc-29d4-4937-ae3a-9b5b616e6616,,,,,,,,,,,,,,,,,,
Bend,Newport Ave and Wall St,,OR,US,2020-11-21,dozens,24,,24,,,general protesters,"against two-week emergency measures due to coronavirus surge, for President Trump",2,protest,0,0,0,0,1,1,,,,https://ktvz.com/videos/2020/11/21/protests-around-c-o-against-two-week-freeze/,https://www.ktvb.com/article/news/regional/bend-oregon-anti-mask-protest-no-charges-prosecutor-declines/277-fa84c027-51cb-43d8-aa6a-fc71ca39372b,,,,,,,,,,,,,,,,,
Beverly Hills,Beverly Garden Park,,CA,US,2020-11-21,around 200,200,,200,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,Beverly Hills Freedom Rally,,https://hornet.fullcoll.edu/maga-demonstrators-rally-in-beverly-hills-and-huntington-beach-to-protest-curfew/,,,,,,,,,,,,,,,,,,
Blacksburg,Henderson Lawn,,VA,US,2020-11-21,count video,13,,13,,,Appalachian Youth Climate Coalition,"Against Mountain Valley Pipeline, in support of Yellow Finch Tree Sitters, for environmental protection",1,protest,0,0,0,0,1,1,,,,https://www.wdbj7.com/2020/11/21/blacksburg-youth-hold-rally-to-oppose-pipeline-and-stand-with-yellow-finch-tree-sitters/,,,,,,,,,,,,,,,,,,
Boston,South Bay Center,,MA,US,2020-11-21,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,caravan,,,,,1,1,,,,https://actionnetwork.org/events/trump-you-lost-get-the-hell-out-car-caravan,,,,,,,,,,,,,,,,,,
Boston,Washington St,,MA,US,2020-11-21,,,,,,,general protesters,against rent increase and evictions in subsidized housing units,0,rally,0,0,0,0,1,1,,,,https://www.bostonherald.com/2020/11/21/boston-residents-rally-against-rent-hike-on-subsidized-units/,,,,,,,,,,,,,,,,,,
Brooklyn,Ridge Park Square,,OH,US,2020-11-21,FB: 64,64,,64,,,general protesters,"for President Trump, against election fraud",2,rally,,,,,1,1,,,,https://www.facebook.com/events/3519225401448542/,,,,,,,,,,,,,,,,,,
Carson City,downtown,,NV,US,2020-11-21,,,,,,,general protesters,"for President Trump, against election fraud",2,demonstration,0,0,0,0,1,1,,Stop the Steal,,https://carsonnow.org/story/11/21/2020/downtown-trump-rally-moves-governor-s-mansion,,,,,,,,,,,,,,,,,,
Carson City,Governor's Mansion,,NV,US,2020-11-21,a dozen or so,12,,12,,,men,"for President Trump, against election fraud, stop the steal, against Governor Sisolak, JFK Jr. is Donald Trump, against state coronavirus mandates",2,demonstration,0,0,0,0,0,1,,Stop the Steal,,https://carsonnow.org/story/11/21/2020/downtown-trump-rally-moves-governor-s-mansion,,,,,,,,,,,,,,,,,,
Charlotte,"Preferred Women Clinic, Latrobe Dr",,NC,US,2020-11-21,hundreds,200,,200,,,LoveLife,"against abortion, for Christian values",2,demonstration,0,0,0,0,1,1,20201121-charlotte-abortion,group received citation for violating noise ordinance outside clinic,,https://www.wcnc.com/article/news/local/anti-abortion-group-issued-citation-while-protesting-outside-womens-clinic/275-ea76aa04-16ef-43d2-9e65-6e6cbb83b29c,https://www.facebook.com/events/923356044819463/?event_time_id=923356058152795,,,,,,,,,,,,,,,,,
Charlotte,"Preferred Women Clinic, Latrobe Dr",,NC,US,2020-11-21,,,,,,,general protesters,for reproductive rights,1,counter-protest,0,0,0,0,0,1,20201121-charlotte-abortion,,,https://www.wcnc.com/article/news/local/anti-abortion-group-issued-citation-while-protesting-outside-womens-clinic/275-ea76aa04-16ef-43d2-9e65-6e6cbb83b29c,,,,,,,,,,,,,,,,,,
Chico,Chico City Hall,,CA,US,2020-11-21,about 50,50,,50,,,general protesters,against state-mandated curfew for counties with high coronavirus case loads,2,protest,0,0,0,0,1,1,,,,https://californiaglobe.com/section-2/protests-against-gov-newsoms-curfew-throughout-california-and-at-newsoms-house/,,,,,,,,,,,,,,,,,,
Clemson,Clemson University,,SC,US,2020-11-21,count video,40,,60,,,students,against eliminating university men's track and cross country programs,0,march; rally,0,0,0,0,1,1,,,,https://www.wyff4.com/article/protest-to-save-clemson-men-s-track-held-over-the-weekend-1606219077/34769938#,,,,,,,,,,,,,,,,,,
Cleveland,Cleveland City Hall,,OH,US,2020-11-21,FB: 95,95,,95,,,Sunrise Movement Cleveland; Black Spring CLE; Resist Operation Relentless Pursuit: Cleveland; Party for Socialism and Liberation-NE Ohio; InterReligious Task Force on Central America,"against President Trump, for defunding police and prisons, for medicare for all, for native peoples' rights, for the Green New Deal, for financial relief from the coronavirus pandemic, for women's and LGBTQ+ rights",1,protest; march,,,,,1,1,,What Now?,,https://www.facebook.com/events/596497617732325/,,,,,,,,,,,,,,,,,,
Cleveland,"McDonald's, 3050 Carnegie Ave",,OH,US,2020-11-21,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,caravan,,,,,0,1,,,,https://actionnetwork.org/events/car-caravan-trump-you-lost-get-the-hell-out,,,,,,,,,,,,,,,,,,
Clifton,Daly Diner,,AZ,US,2020-11-21,roughly a dozen,12,,12,,,general protesters,"against town mask mandate due to coronavirus surge, anti-mandate is anti-fascist, your fear doesn't take away my freedom, my body my choice",2,protest,0,0,0,0,1,1,,,,https://www.eacourier.com/news/coronavirus/daly-diners-business-license-suspended-residents-protest-mask-mandate/article_368a1f5a-2cf2-11eb-9544-f7aff9f76a18.html,,,,,,,,,,,,,,,,,,
Columbus,Ohio Statehouse,,OH,US,2020-11-21,about 75,75,,75,,,general protesters,"against state-mandated restrictions on businesses and gatherings due to COVID-19, for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,Thanksgiving Freedom Rally,,https://www.facebook.com/events/691176038502448/,https://www.dispatch.com/picture-gallery/news/2020/11/22/coronavirus-pro-trump-rally-anti-mask/6383620002/,,,,,,,,,,,,,,,,,
Concord,New Hampshire Statehouse,,NH,US,2020-11-21,,,,,,,general protesters,"for President Trump, against election fraud, against vaccine mandates, for secession of New Hampshire",2,rally,0,0,0,0,1,1,,Stop the Steal,,https://freekeene.com/2020/11/30/speaking-on-nh-independence-at-the-stop-the-steal-rally-in-concord-nh/,https://youtu.be/tze1L9ss2uw,,,,,,,,,,,,,,,,,
Denver,Colorado State Capitol to Colorado Justice Center,,CO,US,2020-11-21,,,,,,,Party for Socialism and Liberation,"against racism, against police violence, for justice for Elijah McClain",1,protest,2,0,0,0,1,1,,,,https://www.thedenverchannel.com/news/local-news/opposing-groups-rally-seeking-justice-for-elijah-mcclain-supporting-president-trump-two-arrested,https://www.westword.com/slideshow/colorado-protests-elijah-mcclain-donald-trump-denver-capitol-11849116,https://www.westword.com/news/denver-demonstration-demands-justice-for-elijah-mcclain-cop-accountability-11849184,,,,,,,,,,,,,,,,
Denver,Colorado State Capitol,,CO,US,2020-11-21,,,,,,,general protesters,"for President Trump, against election fraud",2,protest,unclear,0,0,0,0,1,,,,https://www.thedenverchannel.com/news/local-news/opposing-groups-rally-seeking-justice-for-elijah-mcclain-supporting-president-trump-two-arrested,https://www.westword.com/slideshow/colorado-protests-elijah-mcclain-donald-trump-denver-capitol-11849116,,,,,,,,,,,,,,,,,
Denver,,,CO,US,2020-11-21,over 100,100,,100,,,general protesters,in support of Ethiopia,0,march,0,0,0,0,0,1,,,,https://www.westword.com/news/denver-demonstration-demands-justice-for-elijah-mcclain-cop-accountability-11849184,,,,,,,,,,,,,,,,,,
Detroit,Joe Louis Fist,,MI,US,2020-11-21,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,protest,0,0,0,0,1,1,,,,https://actionnetwork.org/events/the-election-is-over-trump-lost-lets-show-him-the-door,https://www.michiganadvance.com/2020/11/21/detroit-rally-calls-for-trump-to-concede-board-of-state-canvassers-to-certify-michigan-votes/,,,,,,,,,,,,,,,,,
Discovery Bay,Discovery Bay Blvd,,CA,US,2020-11-21,several dozen; about 40,36,,40,,,general protesters,"against racism, Black Lives Matter, love not hate",1,march,0,0,0,0,1,1,20201121-discoverybay-blm,,,https://abc7news.com/discovery-bay-rally-racism-caught-on-camera-ring-footage-of-neighbor-being-racist-black-lives-matter-protest/8157914/,https://www.kron4.com/news/bay-area/rally-held-after-white-neighbor-tells-discovery-bay-family-theyre-acting-like-black-people/,https://www.thepress.net/news/protest-in-discovery-bay-remains-peaceful-as-demonstrators-decry-racism/article_94c4597c-2cdf-11eb-b209-574f55a6b2ed.html,,,,,,,,,,,,,,,,
Discovery Bay,Discovery Bay Blvd,,CA,US,2020-11-21,about 10,10,,10,,,general protesters,"against Black Lives Matter protesters, for police, for President Trump",2,counter-protest,0,0,0,0,0,1,20201121-discoverybay-blm,appeared briefly on march route,,https://abc7news.com/discovery-bay-rally-racism-caught-on-camera-ring-footage-of-neighbor-being-racist-black-lives-matter-protest/8157914/,https://www.kron4.com/news/bay-area/rally-held-after-white-neighbor-tells-discovery-bay-family-theyre-acting-like-black-people/,,,,,,,,,,,,,,,,,
Florence,"Florence County Judicial Center, 181 N. Irby St",,SC,US,2020-11-21,,,,,,,Next Is Now,Black Lives Matter,1,rally,0,0,0,0,1,1,,,,https://scnow.com/news/local/next-is-now-hosting-rally-saturday/article_af0f7a42-2b3a-11eb-b937-4752cf3fa241.html,,,,,,,,,,,,,,,,,,
Fresno,Fresno County Department of Public Health,,CA,US,2020-11-21,at least 200,200,,200,,,Open Central California Safely,"against new state restrictions on businesses due to coronavirus surge, against Governor Newsom, for President Trump",2,protest,0,0,0,0,1,1,,,,https://thebusinessjournal.com/businesses-plan-rally-to-protest-new-lockdown/,https://kmph.com/news/local/rally-held-outside-the-fresno-county-health-department-to-demand-businesses-re-open,https://www.fresnobee.com/news/coronavirus/article247346849.html,,,,,,,,,,,,,,,,
Fresno,Shaw Ave,,CA,US,2020-11-21,about 50; about 100,50,,100,,,general protesters,"against state-mandated curfew for counties with high coronavirus case loads, for freedom",2,demonstration,0,0,0,0,0,1,,,,https://www.fresnobee.com/news/local/article247352614.html,https://www.fresnobee.com/news/local/article247352984.html,,,,,,,,,,,,,,,,,
Greensburg,Westmoreland County Courthouse,,PA,US,2020-11-21,more than 200,200,,200,,,general protesters,"for President Trump, against election fraud",2,protest,0,0,0,0,1,1,,Stop the Steal; 1776 Rally for Election Integrity,,https://triblive.com/local/westmoreland/trump-supporters-plan-election-integrity-rally-in-greensburg/,https://www.gettysburgtimes.com/news/pennsylvania_news/article_ea92aae7-2ae6-52c0-8a9c-961bec7a8f7a.html,,,,,,,,,,,,,,,,,
Greensburg,Westmoreland County Courthouse,,PA,US,2020-11-21,,,,,,,general protesters,"against racism, against police violence",1,rally,,,,,0,1,,,,https://triblive.com/local/westmoreland/trump-supporters-plan-election-integrity-rally-in-greensburg/,,,,,,,,,,,,,,,,,,
Greenwich,Mowry Park,,NY,US,2020-11-21,,,,,,,general protesters,"in remembrance of George Floyd, against police brutality, for racial justice, Black Lives Matter",1,vigil,,,,,1,1,,,,https://www.timesunion.com/news/article/How-one-woman-kept-George-Floyd-s-story-alive-in-16210166.php,,,,,,,,,,,,,,,,,,
Hauppauge,,,NY,US,2020-11-21,count video,200,,200,,,general protesters,"against state COVID-related restrictions, against Governor Andrew Cuomo",2,rally,0,0,0,0,1,1,,,,https://www.newsday.com/news/health/coronavirus/hauppauge-rally-cuomo-s-covid-19-restrictions-1.50071222,,,,,,,,,,,,,,,,,,
Honolulu,Honolulu Zoo,,HI,US,2020-11-21,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,protest; rally,,,,,1,1,,,,https://www.facebook.com/events/379610383377152/,,,,,,,,,,,,,,,,,,
Houston,1000 Westheimer Rd,,TX,US,2020-11-21,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,march; bicycle ride,,,,,1,1,,,,https://actionnetwork.org/events/trump-you-lost-get-the-hell-out-march-and-bike-caravan-sat-nov-21-2-pm,,,,,,,,,,,,,,,,,,
Huntington Beach,Huntington Beach Pier,,CA,US,2020-11-21,about 200; about 400,200,,400,,,Save California,"against state COVID-related restrictions, against Governor Gavin Newsom, against curfew, for President Trump",2,protest,0,0,0,0,1,1,,,,https://www.foxnews.com/us/huntington-beach-protest-expected-against-californias-coronavirus-curfew,https://losangeles.cbslocal.com/2020/11/21/huntington-beach-protest-curfew-breakers/,https://www.latimes.com/california/story/2020-11-22/huntington-beach-protest-coronavirus-curfew,https://www.foxla.com/news/hundreds-gather-in-huntington-beach-to-protest-state-curfew,https://twitter.com/SoCal4Trump/status/1330404718993158146,https://www.foxla.com/news/conservative-group-plans-another-protest-outside-mayors-residence,https://abc7.com/society/anti-curfew-protesters-gather-in-huntington-beach/8172381/,,,,,,,,,,,,
Jacksonville,Duvall County Courthouse,,FL,US,2020-11-21,count pic,60,,80,,,Northside Coalition; Jacksonville Community Action Committee,"against criminalization of protest, for freedom of speech and assembly, against Governor Ron DeSantis, for justice for Devon Tillman, against police violence, Black Lives Matter",1,rally,0,0,0,0,1,1,,,,https://www.firstcoastnews.com/article/news/local/activists-rally-in-downtown-jacksonville-against-florida-gov-ron-desantis-proposed-anti-mob-legislation/77-d6b56f1b-e23e-4e2f-baab-adf121f19524,https://www.news4jax.com/news/local/2020/11/22/rally-held-at-courthouse-to-protest-proposed-anti-mob-legislation/,https://www.instagram.com/p/CH3TcIuhId0/,https://www.instagram.com/p/CH3XoTPhAHn/,https://www.instagram.com/p/CH56k6YBA42/,,,,,,,,,,,,,,
Jefferson City,Missouri State Capitol,,MO,US,2020-11-21,count pic,15,,20,,,general protesters,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,Stop the Steal,,https://www.newstribune.com/news/local/story/2020/nov/22/trump-supporters-rally-at-state-capitol/850036/,,,,,,,,,,,,,,,,,,
Klamath Falls,Klamath County Government Center and courthouse,,OR,US,2020-11-21,roughly 100,100,,100,,,general protesters,"against state COVID restrictions, for patriotism, for freedom",2,protest,,,,,1,1,,,,https://www.heraldandnews.com/news/local_news/as-covid-cases-jump-crowd-gathers-downtown-to-protest-restrictions/article_f9f7cfbb-27c9-5b43-9d9f-9afdd8d1128b.html,,,,,,,,,,,,,,,,,,
Lansing,Capitol steps,,MI,US,2020-11-21,around 75,75,,75,,,Proud Boys,for President Trump; against election results,2,rally,0,0,0,0,1,1,,,,https://www.lansingstatejournal.com/story/news/2020/11/21/pro-trump-rally-held-lansing-before-state-certifies-election-results/6376465002/,,,,,,,,,,,,,,,,,,
Las Vegas,Tropicana and Rainbow,,NV,US,2020-11-21,,,,,,,Fight for Nevada,"against new state lockdown due to coronavirus surge, for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,,,https://www.ktnv.com/news/coronavirus/fight-for-nevada-held-a-rally-against-lockdown-today-in-las-vegas,,,,,,,,,,,,,,,,,,
Lewes,online,,DE,US,2020-11-21,,,,,,,Southern Delaware Alliance for Racial Justice,"against racism, against attack on anti-racism activist",1,virtual rally,,,,,1,1,,,,https://www.sussexcountian.com/story/news/local/2020/11/18/lewes-car-caravan-virtual-rally-hosted-sdarj/3763890001/,,,,,,,,,,,,,,,,,,
Little Rock,Arkansas State Capitol to Arkansas Supreme Court,,AR,US,2020-11-21,more than 100,100,,100,,,general protesters,"for President Trump, against election fraud",2,rally; caravan,0,0,0,0,1,1,,Stop the Steal,,https://www.kark.com/news/protect-the-vote-caravan-travels-through-downtown-little-rock-rally-held-near-state-capitol/,,,,,,,,,,,,,,,,,,
Long Beach,,,WA,US,2020-11-21,about 60,60,,60,,,general protesters,"against tighter state restrictions on businesses and gatherings due to coronavirus surge, for President Trump, against Governor Inslee",2,protest,0,0,0,0,1,1,,,,https://www.chinookobserver.com/coronavirus/covid-controversy-protesters-rally-against-tightened-protections/article_6f75c4e0-2e7d-11eb-a92a-c34cc59a96e6.html,,,,,,,,,,,,,,,,,,
Los Angeles,Pershing Park to MacArthur Park,,CA,US,2020-11-21,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,rally; march,,,,,1,1,,,,https://actionnetwork.org/events/los-angeles-events-nov-12th-nov-21st-no-fascist-coup,,,,,,,,,,,,,,,,,,
Louden County,Louden County Public Schools Administration Building,,VA,US,2020-11-21,count video,8,,8,,,general protesters,against return to in-person learning  during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://www.fox5dc.com/news/loudoun-county-teachers-rally-against-returning-to-the-classroom,,,,,,,,,,,,,,,,,,
Madison,"to Decatur, Athens, and Huntsville",,AL,US,2020-11-21,,,,,,,Republican Women of Madison,for President Trump,2,caravan,,,,,1,1,,,,https://themadisonrecord.com/2020/11/19/truck-and-car-rally-for-president-trump-to-come-through-madison-on-saturday/,,,,,,,,,,,,,,,,,,
Madras,Newport Ave and Wall St,,OR,US,2020-11-21,,,,,,,general protesters,"against two-week emergency measures due to coronavirus surge, against Governor Brown, for freedom, for President Trump, against government overreach, we will not comply",2,protest,0,0,0,0,1,1,,,,https://ktvz.com/videos/2020/11/21/protests-around-c-o-against-two-week-freeze/,,,,,,,,,,,,,,,,,,
Mentor,,,OH,US,2020-11-21,20-30,20,,30,,,general protesters,against state curfew due to coronavirus surge,2,rally,0,0,0,0,1,1,,,,https://www.wtol.com/article/news/local/protest-against-curfew-held-lake-county-coronavirus-ohio/95-f822e0fb-8cd4-476f-b36b-6f01db2588dd,,,,,,,,,,,,,,,,,,
Moline,John Deere Rd & 16th St,,IL,US,2020-11-21,,,,,,,Progressive Action for the Common Good,"for racial justice and equality, Black Lives Matter",1,demonstration,,,,,1,1,,,,http://www.pacgqc.org/blog/racial-equality-now-rally-what-you-can-do-now,,,,,,,,,,,,,,,,,,
Nashville,Tennessee State Capitol,,TN,US,2020-11-21,FB: 37,37,,37,,,general protesters,"for President Trump, against election fraud",2,protest,,,,,1,1,,Stop the Steal,,https://www.facebook.com/events/779176009341791/,,,,,,,,,,,,,,,,,,
New York,"Columbus Circle, Manhattan; Trump International Hotel, Manhattan",,NY,US,2020-11-21,about 25,25,,25,,,Refuse Fascism,"against President Trump, against fascism, for smooth presidential transition during coronavirus pandemic",1,rally; march,0,0,0,0,1,1,,,,https://www.facebook.com/events/2765415810383672/,https://www.amny.com/new-york/refuse-fascism-trump-bodybag-protest-midtown-november-21/,,,,,,,,,,,,,,,,,
New York,"Grand Concourse, the Bronx",,NY,US,2020-11-21,dozens,24,,24,,,Rumble in the Bronx,against gun violence,0,rally,0,0,0,0,1,1,,,,https://bronx.news12.com/rumble-in-the-bronx-fighting-group-holds-anti-gun-rally,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-11-21,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police violence",1,vigil; march,,,,,0,1,,,,https://www.instagram.com/p/CH3Es39l9Jc/,,,,,,,,,,,,,,,,,,
New York,"Lenox Hill Hospital, Manhattan",,NY,US,2020-11-21,count pic,25,,30,,,Rise and Resist,"against President Trump, for election integrity, for awareness of impact of coronavirus pandemic",1,demonstration,0,0,0,0,0,1,,,,https://twitter.com/riseandresistny/status/1330233604857794566,,,,,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-11-21,,,,,,,general protesters,"against racism, against police violence",1,gathering,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1330190743147831298,,,,,,,,,,,,,,,,,,
New York,"Stonewall Inn, Manhattan",,NY,US,2020-11-21,,,,,,,TransEmigrate; LAB/SHUL; Act Up; Queer Detainee Empowerment Project; Rise and Resist; Lambda Legal; Vocal New York; The Caribbean Equality Project; RDJ Refugee Shelter,"for LGBTQ+ rights, for immigrant rights, against police brutality, against ICE",1,rally; march,,,,,0,1,,Protest to Protect LGBTQ+ Asylum Seekers,,https://twitter.com/protest_nyc/status/1330190743147831298,IG @edafeokporo,,,,,,,,,,,,,,,,,
Omaha,Old Market; Omaha Police Department,,NE,US,2020-11-21,about 50; more than 100,50,,100,,,ProBLAC,"Black Lives Matter, for police accountability, for justice for Kenneth Jones, no justice no peace, systemic racism requires revolution",1,march; protest,2,0,0,0,1,1,20201121-omaha-problac,threw eggs at police; assaulted counter-protesters,1,https://www.3newsnow.com/news/local-news/omaha-police-release-timeline-of-saturday-protest,https://www.ketv.com/article/protest-at-omaha-police-headquarters-declared-unlawful-arrests-made/34749541,https://www.3newsnow.com/news/local-news/problac-plans-second-night-of-protests-in-omaha,https://omaha.com/news/local/crime-and-courts/two-omaha-women-arrested-during-2nd-protest-of-fatal-police-shooting/article_9ca18813-66b0-587f-9b50-5a6e9870a336.html,https://www.wowt.com/2020/11/21/problac-organizer-defends-protest-at-omaha-police-hq-2nd-protest-planned-for-tonight/,,,,,,,,,,,,,,
Omaha,Omaha Police Department,,NE,US,2020-11-21,a man and a woman,2,,2,,,general protesters,"against anti-racism protesters, for police",2,counter-protest,0,0,0,0,0,1,20201121-omaha-problac,held signs near protesters,,https://www.3newsnow.com/news/local-news/omaha-police-release-timeline-of-saturday-protest,https://www.wowt.com/2020/11/21/problac-organizer-defends-protest-at-omaha-police-hq-2nd-protest-planned-for-tonight/,,,,,,,,,,,,,,,,,
Palmerton,downtown,,PA,US,2020-11-21,more than 100,100,,100,,,general protesters,against move to online schooling due to coronavirus surge,0,march,0,0,0,0,1,1,,,,https://www.mcall.com/news/police/mc-nws-palmerton-parent-protest-reopen-schools-20201121-6cck4gxsdnfjjpxj65fch2lxpi-story.html,https://fox56.com/news/local/palmerton-school-district-parents-students-protest-over-virtual-learning,,,,,,,,,,,,,,,,,
Pekin,,,IL,US,2020-11-21,about two dozen; about 50,24,,50,,,general protesters,for justice for Robert Bee Jr.,0,march,0,0,0,0,1,1,,,,https://www.centralillinoisproud.com/news/local-news/protesters-want-robert-bee-jr-case-turned-over-to-illinois-state-police/,https://www.pjstar.com/story/news/2020/11/21/supporters-murdered-child-robert-bee-hold-rally-pressure-police/6376612002/,,,,,,,,,,,,,,,,,
Point Pleasant,Point Pleasant Riverfront Park,,NJ,US,2020-11-21,,,,,,,general protesters,in support of police,2,rally,0,0,0,0,1,1,,,,https://www.mydailyregister.com/news/58836/back-the-blue-rally-planned,,,,,,,,,,,,,,,,,,
Portland,Portland Police Department North Precinct,,OR,US,2020-11-21,,,,,,,Justice for Patrick Kimmons,"for justice for Patrick Kimmons, against racism, against police brutality",1,rally; march,,,,,1,1,,Justice for Patrick Kimmons,,https://www.instagram.com/p/CH1lKA6BRUS/,,,,,,,,,,,,,,,,,,
Prineville,,,OR,US,2020-11-21,,,,,,,general protesters,"against two-week emergency measures due to coronavirus surge, against Governor Brown, for freedom, for President Trump, against government overreach, we will not comply",2,protest,0,0,0,0,1,1,,,,https://ktvz.com/videos/2020/11/21/protests-around-c-o-against-two-week-freeze/,,,,,,,,,,,,,,,,,,
Providence,Rhode Island State House,,RI,US,2020-11-21,over 100,100,,100,,,"Reclaim RI; Direct Action for Rights and Equality; Rhode Island AFL-CIO; The Economic Progress Institute; The Womxn Project, Providence Democratic Socialists of America; RI Working Families Party","against state budget cuts, for continuation of public services during coronavirus pandemic, tax the rich",1,rally,0,0,0,0,1,1,,,,https://www.facebook.com/events/304742110556986/,https://upriseri.com/2020-11-21-reclaim-ri/,https://www.providencejournal.com/story/news/politics/2020/11/21/tax-hike-proponents-rally-ri-state-house/6354445002/,,,,,,,,,,,,,,,,
Redding,Big Lots to Mount Shasta Mal,,CA,US,2020-11-21,around 80; about 100,80,,100,,,general protesters,against state-mandated curfew for counties with high coronavirus case loads,2,rally; caravan,0,0,0,0,1,1,,,,https://krcrtv.com/news/local/protesters-gathered-saturday-night-opposing-californias-overnight-curfew-in-redding,https://californiaglobe.com/section-2/protests-against-gov-newsoms-curfew-throughout-california-and-at-newsoms-house/,,,,,,,,,,,,,,,,,
Redmond,Centennial Park,,OR,US,2020-11-21,,,,,,,general protesters,against two-week emergency measures due to coronavirus surge,2,protest,0,0,0,0,1,1,,,,https://ktvz.com/videos/2020/11/21/protests-around-c-o-against-two-week-freeze/,,,,,,,,,,,,,,,,,,
Richmond,Virginia State Capitol,,VA,US,2020-11-21,50-60,50,,60,,,Virginia Knights,"for Second Amendment rights, against city ordinance banning firearms at protests",2,march,0,0,0,0,1,1,,"Inferring that Virginia Knights organized it from Ford Fischer's statement that it was organized by Mike Dunn, who heads that militia, and from Virginia Knights flags carried by participants. One member of BLM 757 also present.",,https://twitter.com/FordFischer/status/1330216958671925260,https://twitter.com/FordFischer/status/1331259245015277568,,,,,,,,,,,,,,,,,
Rochester,Martin Luther King Jr. Memorial Park,,NY,US,2020-11-21,count video,20,,30,,,general protesters,"against racism, against police violence, for police accountability, for justice for Daniel Prude",1,protest,0,0,0,0,1,1,,,,https://www.rochesterfirst.com/news/local-news/protesters-gather-to-demand-justice-for-daniel-prude/,,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-11-21,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones, for dropping charges against protesters",1,occupation,,,,,1,1,,,,https://twitter.com/M30Alliance/status/1370029296509652993,,,,,,,,,,,,,,,,,,
Sacramento,California State Capitol; Cesar Chavez Plaza,,CA,US,2020-11-21,several dozen,36,,36,,,Proud Boys,"for President Trump, against election fraud, against new state restrictions due to coronavirus surge, against Governor Newsom",2,rally; march,1,unknown,0,0,1,1,20201121-sacramento-stopthesteal,marched to confront counter-protesters; verbal clashes and brawling with counter-protesters; taunted and assaulted journalists and legal observers; assaulted counter-protester,,https://www.capradio.org/articles/2020/11/21/third-straight-weekend-of-protests-violence-as-trump-supporters-descend-on-californias-capitol/,https://news.yahoo.com/dozens-gather-stop-steal-rally-013016234.html,https://www.bradenton.com/latest-news/article247371844.html,https://www.sacbee.com/news/politics-government/election/presidential-election/article247348249.html,https://sacramento.cbslocal.com/2020/11/21/1-arrested-as-trump-supporters-protesters-gather-at-state-capitol-in-downtown-sacramento/,https://www.dailydot.com/irl/proud-boys-beat-up-woman-video-sacramento-protest/,,,,,,,,,,,,,
