CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4
Lakeport,perimeter of Clear Lake,Lake,CA,US,2020-05-01,around 200 people,200,,200,,,Reopen Our Lake Now,against closing of Clear Lake during COVID-19 pandemic,0,protest; caravan ,0,0,0,0,1,1,,https://www.record-bee.com/lakeport-open-our-lake-now-demand-protesters-during-coronavirus-pandemic,https://www.record-bee.com/2020/05/23/rally-round-the-lake-for-freedom-draws-small-crowd-of-protesters/,,,
Lancaster,Antelope Valley Hospital,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Largo,Largo Medical Center,Pinellas,FL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,https://www.abcactionnews.com/news/region-pinellas/essential-workers-to-protest-working-conditions-during-covid-19-on-international-workers-day,,,
Las Cruces,City Hall,Dona Ana,NM,US,2020-05-01,three dozen,36,,36,,,business owners; general protestors,protest economic shutdown due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.lcsun-news.com/story/news/2020/05/01/las-cruces-protesters-gather-demand-new-mexico-reopen-economy/3065620001/,https://www.lcsun-news.com/story/news/2020/04/30/protest-open-businesses-planned-friday-las-cruces-city-hall/3059342001/,,,
Las Vegas,Mountainview Hospital,Clark,NV,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Las Vegas,St Rose Dominican - San Martin,Clark,NV,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Lawrence,Maximus call center,Douglas,KS,US,2020-05-01,count pic ,4,,4,,,call center employees,protest dangerous work conditions for call center employees during coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www2.ljworld.com/news/general-news/2020/may/01/maximus-employees-protest-for-better-working-conditions-amid-coronavirus-pandemic/,,,,
Lexington,VA Medical Center,Fayette,KY,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Little Rock,Governor's mansion,Pulaski,AR,US,2020-05-01,NA,3,,3,,,tenants,seek rent freeze due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.arkansasonline.com/news/2020/may/01/renters-protest-evictions-little-rock/,,,,
Long Beach,Long Beach Memorial Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Long Beach,St Mary Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Los Alamitos,Los Alamitos Medical Ctr,Orange,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Los Angeles,California Hospital Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
