CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Portland,SEIU Local,OR,US,2018-01-15,FB: 149,149,,149,,,general protestors,Rallying support for pro-healthcare bil,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/136936833671813/,,,,,
Pueblo,Public Library to Museum,CO,US,2018-01-15,NA,50,,50,,,Pueblo NAACP,March for racial equality,1,,march,0,0,0,0,1,1,https://www.chieftain.com/news/pueblo/king-s-legacy-honored-by-march-word-and-song-in/article_386201b7-9b76-53c8-b8d6-e332698e116d.html,,,,,
Raleigh,March through downtown,NC,US,2018-01-15,several hundred,200,,200,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,http://www.newsobserver.com/news/local/article194758649.html,,,,,
Richmond,First United Methodist Church,VA,US,2018-01-15,,,,,,,Richmon Human Rights Commission,Rallying for racial equality,1,,rally,0,0,0,0,1,1,http://www.richmondregister.com/news/a-community-unified-richmond-honors-mlk-day-with-breakfast-march/article_ad153bae-fa4c-11e7-bf15-4371e2203ab2.html,,,,,
Sacramento,Grabt High School,CA,US,2018-01-15,,,,,,,general protestors,March for racial equality; honor MLK,1,,march,0,0,0,0,1,1,http://www.sacbee.com/news/local/article194256689.html,,,,,
Sacramento,Land Park Dr.,CA,US,2018-01-15,approximately 20000,20000,,20000,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,http://www.sacbee.com/news/local/article194777294.html,,,,,
Salem,Douglass McKay High School,OR,US,2018-01-15,FB: 162; nearly 300,162,,300,,,general publis,MLK March and Rally,1,,marach; rally,0,0,0,0,1,1,https://www.facebook.com/events/198795680681964/,http://www.statesmanjournal.com/story/news/2018/01/15/salem-students-community-leaders-remember-mlk-jr-s-legacy-address-todays-issues/1034012001/,,,,
Salt Lake City,State Capitol,UT,US,2018-01-15,hundreds  ,200,,200,,,The Utah League for Native American Voters,Protesting Trump's racist comments,1,,protest,0,0,0,0,1,1,http://fox13now.com/2018/01/15/hundreds-gather-at-utah-state-capitol-to-protest-president-trumps-alleged-racist-comments/,,,,,
Salt Lake City,Streets of Sugarhouse,UT,US,2018-01-15,,,,,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,https://www.ksl.com/?sid=46237974&nid=148,,,,,
San Antonio,MLK Academy to Pittman-Sullivan Park,TX,US,2018-01-15,"hundreds of thousands; An estimated 300,000",200000,,300000,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,http://www.kens5.com/news/local/why-i-march-san-antonians-honor-mlks-legacy/508219256,https://twitter.com/SATXPolice/status/952999710280708096,http://www.expressnews.com/news/local/article/San-Antonio-celebrates-50-years-marching-for-12499037.php,,,
San Francisco,Caltrain Station to Yerba Buena Gardens,CA,US,2018-01-15,thousands,2000,,2000,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/San-Francisco-MLK-Day-march-unites-generations-in-12499654.php,,,,,
Santa Cruz,Highway 1 overpass,CA,US,2018-01-15,dozens,24,,24,,,Santa Cruz Indivisible,Rallying for racial equality,1,,rally,0,0,0,0,1,1,http://www.santacruzsentinel.com/social-affairs/20180114/activists-take-to-overpasses-to-promote-first-mlk-day-march,,,,,
Santa Cruz,,CA,US,2018-01-15,hundeds,200,,200,,,Santa Cruz NAACP,MLK Civil Justice march,1,,march,0,0,0,0,0,1,https://register-pajaronian.com/article/santa-cruzs-first-mlk-march-draws-thousands,,,,,
Savannah,Downtown Savannah,GA,US,2018-01-15,thousands,2000,,2000,,,general protestors,March for racial equality,1,,parade; march,0,0,0,0,1,1,http://www.wtoc.com/story/37269477/thousands-watch-annual-mlk-jr-parade-in-savannah,,,,,
Seattle,High School to Westlake Park,WA,US,2018-01-15,thousands,2000,,2000,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,http://www.seattlepi.com/local/seattlenews/article/Thousands-march-in-honor-of-Martin-Luther-King-12499531.php,,,,,
Springfield,Township Committee building,NJ,US,2018-01-15,two dozen,24,,24,,,general protestors,Rallying for peace,0,,rally,0,0,0,0,1,1,https://www.tapinto.net/towns/springfield/articles/vigil-for-peace-on-martin-luther-king-jr-day-at,,,,,
Springfield,Justice Center to High School,OR,US,2018-01-15,more than 100,100,,100,,,general protest\ors,March for racial equality,1,,march,0,0,0,0,1,1,http://kval.com/news/local/artwork-and-music-celebrating-mlk-in-springfield-march,,,,,
St. Louis,,MO,US,2018-01-15,,,,,,,Hancock County NAACP,March for racial equality,1,,march,0,0,0,0,1,1,http://www.wlox.com/story/37268486/bay-st-louis-celebrates-mlk-day-with-parade-and-service,,,,,
Tacoma,Bates Technical College to the Greater Tacoma Convention Center,WA,US,2018-01-15,,,,,,,general protestors,Honoring MLK March for Civil Justice,0,,march,0,0,0,0,1,1,http://www.thenewstribune.com/news/local/article194300399.html,,,,,
Thibodaux,,LA,US,2018-01-15,,,,,,,general protestors,Rallying for racial equality,1,,rally,0,0,0,0,1,1,http://www.dailycomet.com/news/20180115/seen-on-scene-lafourche-naacp-martin-luther-king-jr-day-march,,,,,
Toledo,Union Headquarters,OH,US,2018-01-15,dozens,12,,24,,,United Auto Workers Union,labor protest; protesting lay-offs,0,,rally,0,0,0,0,1,1,http://www.13abc.com/content/news/Jeep-workers-demand-Keep-the-Fleet-threaten-action-469415133.html,,,,,
Tuscaloosa,First African Baptist Church,AL,US,2018-01-15,,,,,,,general protestors,Rallying for racial equality,1,,rally,0,0,0,0,1,1,http://www.tuscaloosanews.com/news/20180114/public-invited-to-unity-day-march-in-tuscaloosa?rssfeed=true,,,,,
Victoria,Convent St.,TX,US,2018-01-15,around 100,100,,100,,,The Old Landmark Committee,Rallying for racial equality,1,,rally,0,0,0,0,1,1,https://www.victoriaadvocate.com/news/2018/jan/15/residents-honor-mlks-legacy-on-his-89th-birthday/,,,,,
Victorville,,CA,US,2018-01-15,nearly 150,150,,150,,,High Desert,March for racial equality,0,,march,0,0,0,0,1,1,http://www.vvdailypress.com/news/20180115/breaking-bread-calls-for-unity-at-dr-martin-luther-king-jr-peace-march-in-victorville,,,,,
Waynesboro,City Hall to Community Center,VA,US,2018-01-15,about 50,50,,50,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,http://www.newsleader.com/story/news/local/2018/01/15/dozens-march-waynesboro/1034209001/,,,,,
West Palm Beach,Mar-a-lago,FL,US,2018-01-15,about 400,400,,400,,,general protestors,Protesting Trump's racist comments,1,,protest,0,0,0,0,1,1,http://www.mypalmbeachpost.com/news/haitian-protestors-voice-outrage-march-across-southern-blvd-bridge/1MhzCriJpQZ4YRxW5m3jjO/,,,,,
Annapolis,Double Tree,MD,US,2018-01-16,picture,16,,16,,,general protestors,Protesting potential offshore drilling,0,,protest,0,0,0,0,1,1,http://www.capitalgazette.com/news/ac-cn-rally-opposing-offshore-drilling-20180116-story.html,http://www.capitalgazette.com/news/ac-cn-rally-opposing-offshore-drilling-20180116-story.html,,,,
Cheyenne,Wyoming Supreme court,WY,US,2018-01-16,dozens,24,,24,,,general protestors,Rallying to keep faith in government,0,,rally,0,0,0,0,1,1,https://www.wyomingnews.com/news/local_news/keep-faith-in-america-rally-encourages-faith-in-government/article_f67aca26-fb45-11e7-8884-cbc1f9aa6ea9.html,https://www.wyomingnews.com/gallery/keep-faith-in-america-rally-fights-for-religion-in-government/collection_dffd3c70-fb13-11e7-bf16-5bea19f7e818.html#1,https://www.wyomingnews.com/news/local_news/keep-faith-in-america-rally-encourages-faith-in-government/article_f67aca26-fb45-11e7-8884-cbc1f9aa6ea9.html,,,
Colorado Springs,UCCS Campus,CO,US,2018-01-16,more than a dozen,12,,12,,,general protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,http://www.fox21news.com/news/local/group-of-uccs-students-hold-silent-protest-as-deadline-for-daca-decision-nears/920015854,,,,,
Denver,Civic Center Park,CO,US,2018-01-16,thousands,2000,,2000,,,general protestors ,Celebrating life of Martin Luther King Jr.; protesting racism,1,,march; parade,0,0,0,0,1,1,https://www.denverite.com/denver-mlk-marade-photos-47672/,,,,,
Framingham,Framingham State University,MA,US,2018-01-16,nearly 100,100,,100,,,general protestors,March for racial equality,1,,march,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2018/01/16/students-protest-after-hate-incidents-framingham-state-university/CiYfCFs4eznCBNhPmj4oQK/story.html,http://www.metrowestdailynews.com/news/20180116/fsu-students-march-against-racist-acts-on-campus,,,,
Indiannapolis,Statehouse,IN,US,2018-01-16,,,,,,,general protestors,Rallying to increase cigarette tax,0,,rally,0,0,0,0,1,1,http://wishtv.com/2018/01/16/supporters-rally-for-cigarette-tax-increase/,,,,,
Indiannapolis,Statehouse,IN,US,2018-01-16,around 100,100,,100,,,general protestors,Rallying for stronger hate crime laws,0,,rally,0,0,0,0,0,1,http://www.ballstatedaily.com/article/2018/01/news-hate-crime-rally,http://www.idsnews.com/article/2018/01/indiana-residents-attend-rally-to-urge-passage-of-hate-crime-law,,,,
Mount Vernon,Skagit County Courthouse,WA,US,2018-01-16,about 150,150,,150,,,Skagit Valley College Dreamers Club,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://www.goskagit.com/news/supporters-rally-for-daca-program/article_3f9c0eb0-4b75-5507-8c9e-fe40bd21af45.html,,,,,
Pasadena,Outside Mayor's house,CA,US,2018-01-16,,,,,,,Pasadena NAACP,Protesting police brutality,0,,protest,0,0,0,0,1,1,https://www.dailynews.com/2018/01/16/photos-candlelight-vigil-and-protest-about-police-brutality-in-pasadena/,,,,,
Portland,SW Salmon St.,OR,US,2018-01-16,FB: 30,30,,30,,,Indivisible Oregon,Protesting Trump,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2012688195612539/,,,,,
Richmond,Capitol,VA,US,2018-01-16,,,,,,,Virginia Citizens Defense League,Pro-Gun Rally,2,,rally,0,0,0,0,0,1,http://www.delmarvanow.com/story/news/2018/01/16/dueling-gun-rallies-held-virginia-capitol/1036964001/,,,,,
Richmond,Capitol,VA,US,2018-01-16,,,,,,,Virginia Center for Public Safety,Public Safety Vigil; Anti-Gun rally,1,,vigil,0,0,0,0,0,1,http://www.delmarvanow.com/story/news/2018/01/16/dueling-gun-rallies-held-virginia-capitol/1036964001/,,,,,
San Luis Obispo,California Polytechnic State University,CA,US,2018-01-16,about 60,60,,60,,,general protestors,March Against Rape Culture,0,,protest,0,0,0,0,1,1,http://www.sanluisobispo.com/news/local/education/article195030674.html,,,,,
Santa Fe,State Capitol,NM,US,2018-01-16,dozens,24,,24,,,general protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,http://www.kob.com/politics-news/dreamers-protest-governor-susana-martinez-address-daca-politics-legislature/4746163/,,,,,
Spokane,,WA,US,2018-01-16,,,,,,,general protestors,MLK Remembrance and Civil Justice Rally,0,,rally,0,0,0,0,1,1,https://www.thedailyworld.com/northwest/mlk-rally-speakers-call-out-hecklers-of-congresswoman-mcmorris-rodgers/,,,,,
Tallahassee,Florida Department of Corrections,FL,US,2018-01-16,more than 50,50,,50,,,general protestors,Protesting conditions in prisons,0,,Protest,0,0,0,0,0,1,http://www.tallahassee.com/story/news/2018/01/16/coalition-protests-inmate-conditions-florida-prisons/1037453001/,,,,,
Tallahassee,State Capitol,FL,US,2018-01-16,about 50,50,,50,,,general protestors,Rallying in support of vacation rentals,0,,rally,0,0,0,0,1,1,http://www.orlandosentinel.com/news/politics/political-pulse/os-vacation-rentals-bill-20180116-story.html,,,,,
Vista,1800 Thibodo Rd,CA,US,2018-01-16,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,
Vista,1800 Thibodo Rd.,CA,US,2018-01-16,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,
Washington,U.S. capitol,DC,US,2018-01-16,a dozen,12,,12,,,general protestors,Rallying for DREAM Act,1,,rally,2,0,0,0,1,1,https://www.idahopress.com/news/local/2cscoop/idaho-women-arrested-in-d-c-during-immigration-reform-protest/article_04b4ad27-7676-5631-9157-70f98555a188.html,https://www.idahostatejournal.com/news/local/south-idaho-women-arrested-in-d-c-during-immigration-reform/article_26a309ab-a016-58ee-919b-907c68507902.html,https://www.idahopress.com/news/local/2cscoop/idaho-women-arrested-in-d-c-during-immigration-reform-protest/article_04b4ad27-7676-5631-9157-70f98555a188.html,,,
Davis,,CA,US,2018-01-17,,,,,,,The Davis Teacher Association,Rallying for higher pay,0,,rally,0,0,0,0,1,1,https://www.davisenterprise.com/local-news/teachers-rally-for-better-wages-benefits-as-contract-negotiations-proceed/,,,,,
Detroit,Chrysler House,MI,US,2018-01-17,more than 100,100,,100,,,general protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2018/01/17/dreamers-rally-detroit/109540968/,https://www.clickondetroit.com/news/more-than-100-protesters-march-in-dream-act-rally-in-downtown-detroit,,,,
Detroit,U.S. Sen. Debbie Stabenow’s office,MI,US,2018-01-17,dozens,12,,12,,,general protestors,Clean Dream Act,1,,protest,0,0,0,0,1,1,https://www.freep.com/story/news/local/michigan/2018/01/17/protesters-support-daca-detroit/1041533001/,,,,,
Los Angeles,Hall of Justice,CA,US,2018-01-17,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Miami,SW 2nd Ave.,FL,US,2018-01-17,more than 100; hundredsd,100,,,,,general protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://wsvn.com/news/local/immigration-rally-takes-over-downtown-miami-streets/,http://miami.cbslocal.com/2018/01/17/large-protest-downtown-miami-immigration/,,,,
New Plymouth,New Plymouth High School,ID,US,2018-01-17,more than 60; dozens,24,,60,,,Students of New Plymouth High School,Protesting resignation of High School Principal Edmunson,0,,walkout,0,0,0,0,1,1,http://www.idahostatesman.com/news/local/article195165764.html,http://www.idahostatesman.com/news/local/article195165764.html,,,,
New York,Holyrood Episcopal Church,NY,US,2018-01-17,about 100,100,,100,,,general protestors,Protesting police brutality and the arrests of two councilman at immigration protest,0,,protest,0,0,0,0,1,1,https://www.amny.com/news/jumaane-williams-ydanis-rodriguez-nypd-investigation-1.16231400,,,,,
Peoria,Peoria Public Library,IL,US,2018-01-17,,,,,,,Metro East Green Alliance,Protesting inaction toward climate change,1,,protest,0,0,0,0,1,1,https://www.huffingtonpost.com/entry/rabbis-arrested-daca-protest_us_5a5f8b13e4b046f0811c6213,,,,,
Spring Valley,Spring Valley High School,NV,US,2018-01-17,2,2,,2,,,General protestors,Religious protestors protesting LGBT and pornography,0,,protest,0,0,0,0,1,1,https://www.reviewjournal.com/news/education/religious-protesters-escorted-off-spring-valley-high-school-property/,,,,,
Tallahassee,FL Department of corrections,FL,US,2018-01-17,more than 80,80,,80,,,Dream Defenders,Protesting prison conditions,0,,protest,1,0,0,0,1,1,http://www.wtxl.com/news/protest-at-fl-dept-of-corrections-turns-physical-woman-arrested/article_770bd12c-fb4f-11e7-9659-2b4436f032ab.html,,,,,
Tuscaloosa,University of Alabama,AL,US,2018-01-17,more than 50,50,,50,,,Students,Protesting racist social media video,0,,protest,0,0,0,0,1,1,http://www.wbrc.com/story/37289516/ua-students-march-in-protest-of-racist-viral-video,,,,,
Washington,Capitol Hill,DC,US,2018-01-17,more than a hundred,100,,100,,,Anti-Defamation League,Rallying for DREAM Act,1,,rally,100,0,0,0,1,1,https://www.huffingtonpost.com/entry/rabbis-arrested-daca-protest_us_5a5f8b13e4b046f0811c6213,http://washingtonjewishweek.com/43518/jewish-demonstrators-hold-capitol-hill-sit-in-for-dreamers/featured-slider-post/,,,,
Bloomington,University of Indiana,IN,US,2018-01-18,dozens,24,,24,,,Students,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://www.heraldtimesonline.com/news/local/iu-protesters-want-clean-dream-act/article_75bb245b-1860-5704-9872-c4e1686ca86c.html,,,,,
Chicago,DePaul University,IL,US,2018-01-18,,,,,,,Students for Justice in Palestine,"Protesting Trump's decision to recognize Jerusalem as the capital, rallying for Palestine",1,,protest,0,0,0,0,1,1,http://depauliaonline.com/31542/news/students-for-justice-in-palestine-protest-us-policies-israeli-detentions/,,,,,
Corsicana,Corsicana Opry & Event Center,TX,US,2018-01-18,,,,,,,The Republican Party Of Navarro County and the Navarro County Republican Women,Republican Rally,2,,Rally,0,0,0,0,1,1,http://www.corsicanadailysun.com/news/republican-party-rally-set-for-jan-at-corsicana-opry/article_def89738-f7ae-11e7-bf2f-5febec73b714.html,,,,,
Davis,UC-Davis Campus,CA,US,2018-01-18,,,,,,,Students,Protesting Trump's decision to end TPS,1,,protest,0,0,0,0,1,1,https://theaggie.org/2018/01/26/students-hold-protest-solidarity-impacted-tps-repeal/,,,,,
Fairfax,EagleBank Arena,VA,US,2018-01-18,FB; 54,54,,54,,,Diocese of Arlington Office of Youth Ministry,Protesting abortion,2,,rally,0,0,0,0,1,1,https://www.facebook.com/events/2046505762259839/,,,,,
Framingham,Concord St.,MA,US,2018-01-18,FB: 59,59,,59,,,Archdiocese of Boston,Protesting abortion,2,,protest,0,0,0,0,1,1,https://www.facebook.com/events/195767060982118/,,,,,
Frankfurt,State Capitol,KY,US,2018-01-18,hundreds,200,,200,,,general protestors,Rallying in support of children's advocacy,0,,rally,0,0,0,0,1,1,http://www.wlky.com/article/14th-annual-childrens-advocacy-day-rally-held-in-frankfort/15391984,,,,,
Hartford,Hartford Immigration Court,CT,US,2018-01-18,more than 60,60,,60,,,Unidad Accion Latino; Indivisible Connecticut; general protestors,Protesting arrest of Joel Colindres; protesting DACA repeal,2,,rally,0,0,0,0,1,1,https://www.newstimes.com/local/article/Dozens-support-New-Fairfield-man-fighting-12508103.php,http://www.courant.com/news/connecticut/hc-news-immigration-joel-colindres-rally-20180118-story.html,,,,
Los Angeles,University of Southern California,CA,US,2018-01-18,Photo: a dozen,12,,12,,,Topping scholars,Protesting University's decision to eliminate position,0,,protest,0,0,0,0,1,1,http://dailytrojan.com/2018/01/19/topping-scholars-host-rally-pen-memo-fund-restructuring/,,,,,
Milwaukee,,WI,US,2018-01-18,,,,,,,Voces de la frontera; general protestors,Rally for clean DREAM Act; rally against Speaker Paul Ryan,1,,rally,0,0,0,0,1,1,http://www.wisn.com/article/live-voces-matc-students-and-teachers-hold-clean-dream-act-rally/15388831,http://www.wisn.com/article/live-voces-matc-students-and-teachers-hold-clean-dream-act-rally/15388831,,,,
New York,26 Federal Plaza,NY,US,2018-01-18,FB: 62,62,,62,,,New Sanctuary Coalition,protest arrest and deportation; protest ICE actions,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2032153957021658/,,,,,
New York,,NY,US,2018-01-18,,,,,,,Rise and Resist,Protesting Trump,1,,protest,0,0,0,0,1,1,https://twitter.com/a_fly_guy/status/954123553787531265,,,,,
Newark,City Hall,NJ,US,2018-01-18,about 100,100,,100,,,general protestors,Protesting Trump's racist comments,1,,protest,0,0,0,0,1,1,http://www.nj.com/essex/index.ssf/2018/01/urban_city_mayors.html,,,,,
Philadelphia,City Hall,PA,US,2018-01-18,10 or so,10,,10,,,Philadelphia Republican party,Protesting district attorney,0,,protest,0,0,0,0,1,1,http://www.phillytrib.com/news/philly-gop-targets-d-a-in-protest-outside-his-office/article_15c9eb41-0700-5c4b-9a3a-0a1df13b58ea.html,,,,,
Racine,Park Ave.,WI,US,2018-01-18,,,,,,,general protestors,Protesting police shooting of local man,0,,protest,0,0,0,0,1,1,http://fox6now.com/2018/01/18/family-members-id-man-fatally-shot-by-racine-police-protesters-say-they-want-answers/,,,,,
Santa Fe,State Capitol,NM,US,2018-01-18,,,,,,,Invest in Kids Now,Rallying for early education programs,0,,rally,0,0,0,0,1,1,http://www.santafenewmexican.com/news/education/kids-march-on-capitol-for-early-education-funds/article_adca512e-024b-596f-8322-ed67b37bc0b7.html,,,,,
Terre Haute,Offices of Rep. Larry Bucshon,IN,US,2018-01-18,about 50,50,,50,,,AIDS Healthcare Foundation,Protesting Bucshon's HR 4710; advocating for nonprofit federal discount HIV drug program,2,,protest,0,0,0,0,1,1,http://www.tribstar.com/news/local_news/protesters-oppose-bucshon-drug-bill/article_835db270-33bf-5770-82d3-8e5c00ca186c.html,,,,,
Urbana-Champaign,University of Illinois,IL,US,2018-01-18,,,,,,,University of Illinois Graduate Students,Protesting low graduate student wages,0,,rally,,,,,1,1,http://www.illinoishomepage.net/news/local-news/graduate-employees-plan-rally/923309517,,,,,
Washington,Basilica of the National Shrine of the Immaculate Conception,DC,US,2018-01-18,more than 10000,10000,,10000,,,general protestors,Protesting abortion,2,,protest,0,0,0,0,0,1,http://licatholic.org/pro-life-vigil-is-prayerful-preparation-for-march-for-life/,,,,,
Washington,Planned Parenthood HQ,DC,US,2018-01-18,more than 200,200,,200,,,general protestors,Protesting abortion,2,,protest,0,0,0,0,1,1,https://cruxnow.com/church-in-the-usa/2018/01/19/planned-parenthood-protest-puts-focus-abortions-real-life-consequences/,,,,,
Albuquerque,Civic Plaza,NM,US,2018-01-19,more than 5000,5000,,5000,,,New Mexico DREAM Team,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,http://krqe.com/2018/01/19/local-immigrants-rally-at-civic-plaza-to-urge-congress-to-deliver-dream-act/,,,,,
Athens,City Hall,GA,US,2018-01-19,more than 100 ,100,,100,,,general protestors,Protesting ICE,1,,protest,0,0,0,0,1,1,https://www.redandblack.com/athensnews/athens-organizations-come-together-to-protest-ice/article_e3cfcc2c-fda8-11e7-993d-6b21d62417b7.html,,,,,
Atlanta,Georgia State Capitol,GA,US,2018-01-19,,,,,,,Georgia Right to Life,Protesting abortion,2,,March,0,0,0,0,1,1,https://www.facebook.com/GeorgiaMarchForLife/,,,,,
Boise,Statehouse,ID,US,2018-01-19,,,,,,,general protestors,Rallying behind bill that would make birth control more accessible,1,,rally,0,0,0,0,1,1,https://www.kivitv.com/news/lawmakers-to-introduce-12-months-of-birth-control-legislation,,,,,
Casper,,WY,US,2018-01-19,,,,,,,general protestors,Protesting abortion,2,,rally,0,0,0,0,1,1,http://www.jhnewsandguide.com/news/features/women-march-to-move-forward/article_7487f260-4308-5aaf-8ecc-bdb02f1522af.html,,,,,
Davenport,Intersection of 2nd and Maine streets,IL,US,2018-01-19,about 20,20,,20,,,general protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,http://qctimes.com/news/local/davenport-protesters-call-for-clean-daca-bill-children-s-insurance/article_6dc5acc5-c38e-5186-8396-597656ae2965.html,,,,,
East Rochester,Saint Jerome Church to Town Hall,NY,US,2018-01-19,,,,,,,Students at St. John Bosco School and Chesterton Academy,Protesting abortion,2,,march,0,0,0,0,1,1,http://www.whec.com/news/right-to-life-walks/4751227/?cat=565,,,,,
Eugene,South Eugene High School,OR,US,2018-01-19,a couple hundred,200,,200,,,Students,Protestong school's handling of sexual assault allegations,0,,protest,0,0,0,0,1,1,http://kval.com/news/schools/students-walk-out-of-south-eugene-high-to-protest-how-school-handles-sexual-assault-cases,,,,,
Fairfax,EagleBank Arena,VA,US,2018-01-19,more than 5300,5300,,5300,,,general protestors,Protesting abortion,2,,protest,0,0,0,0,1,1,https://www.catholicherald.com/News/Local_News/Morning_rally_and_Mass_prepares_youths_to_March_for_Life/,,,,,
Fort Lauderdale,Fort Lauderdale US Federal Building,FL,US,2018-01-19,,,,,,,Broward County Right to Life,Protesting abortion,2,,Rally,,,,,1,1,http://prolifeeventsfinder.com/event_listing.php?Event_ID=5437,,,,,
Helena,Montana State Capitol Building,MT,US,2018-01-19,more than 100,100,,100,,,general protestors,Protesting abortion,2,,March,0,0,0,0,1,1,https://www.facebook.com/events/180299209378687/,http://billingsgazette.com/news/state-and-regional/march-for-life-anti-abortion-rally-draws--plus-demonstrators/article_7fd1bdc9-3a04-50ed-bf9b-96f95d170263.html,,,,
Honolulu,Hawaii State Capitol,HA,US,2018-01-19,,,,,,,Hawaii Right to Life,Protesting abortion,2,,March,,,,,1,1,http://www.hrtl.org/,,,,,
Kilgore,Kilgore Junior College,TX,US,2018-01-19,,,,,,,Right to Life of East Texas,Protesting abortion,2,,Rally,,,,,1,1,http://www.righttolifeofeasttexas.org/lifelines.pdf,,,,,
Las Vegas,Lloyd D. George Federal District Courthouse,NV,US,2018-01-19,,,,,,,Crossroads Pregnancy Center,Protesting abortion,2,,March,,,,,1,1,http://crossroadspregnancycenters.com/events/,,,,,
Louisville,Cathedral of the Assumption,KY,US,2018-01-19,,,,,,,Archdiocese of Louisville Youth Ministry,Protesting abortion,2,,March,0,0,0,0,1,1,https://www.facebook.com/events/1991844061068203/,,,,,
Lufkin,Chambers Park,TX,US,2018-01-19,FB: 35,35,,35,,,general protestors,"Protesting GOP tax bill, rallying to turn TX blue",1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1954832154776471/?notif_t=plan_user_invited&notif_id=1514943863365102,,,,,
Madison,State Capitol,WI,US,2018-01-19,nearly 100,100,,100,,,general protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://badgerherald.com/news/2018/01/19/undocumented-immigrants-protesters-hold-rally-to-demand-lawmakers-pass-dream-act/,,,,,
Mio,Saint Mary / Our Lady of the Woods Shrine,MI,US,2018-01-19,,,,,,,Diocese of Gaylord,Protesting abortion,2,,March,,,,,1,1,http://prolifeeventsfinder.com/event_listing.php?Event_ID=5464,,,,,
Mobile,Cathedral Square Downtown,AL,US,2018-01-19,FB: 79,79,,79,,,March for Life Mobile,Protesting abortion,2,,March,0,0,0,0,1,1,https://www.facebook.com/marchforlifemobile/,,,,,
Monroe County,Rochester University Campus,NY,US,2018-01-19,,,,,,,Students,Rally for change regarding sexual misconduct,0,,Rally,0,0,0,0,1,1,http://www.whec.com/news/university-rochester-student-protest/4751228/?cat=565,,,,,
New York,Trump Tower,NY,US,2018-01-19,hundreds,200,,200,,,general protestors,Protesting Trump's racist comments,1,,protest,0,0,0,0,1,1,https://www.amny.com/news/politics/trump-protest-wall-street-1.16258371,,,,,
Oakland ,ldiers & Sailors Memorial Hall and Museum,PA,US,2018-01-19,hundreds,200,,200,,,general protestors,Rally for school choice education,0,,Rally,0,0,0,0,1,1,http://www.post-gazette.com/news/education/2018/01/19/Hundreds-to-attend-school-choice-rally-in-Oakland-pittsburgh/stories/201801190133,,,,,
Parma,Monument for the Unborn at Holy Spirit Cemetary,OH,US,2018-01-19,,,,,,,Byzantine Catholic Cultural Center,Protesting abortion,2,,March,,,,,1,1,http://www.ohiolife.org/parma_march_for_life_2018,,,,,
Portland,Downtown,OR,US,2018-01-19,,,,,,,general protestors,Rallying for renter's rights,0,,rally,0,0,0,0,1,1,http://katu.com/news/local/tenants-rally-for-rights-in-downtown-portland,,,,,
Racine,City Hall,WI,US,2018-01-19,about 200 to 250,200,,250,,,general protestors,Protesting police shooting of local man,0,,protest,0,0,0,0,1,1,http://journaltimes.com/news/local/crime-and-courts/racine-police-protest-of-about-ends-no-violence/article_89aa3d89-0506-57cf-9c60-def6599869e6.html,,,,,
