CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Providence,outside the National Grid office on Allens Avenue ,RI,US,2018-08-30,,,,,,,No LNG in PVD,pro-environment; protesting a proposed facility that produces liquefied natural gas,1,protest,0,0,0,0,1,1,https://www.ecori.org/renewable-energy/2018/9/5/protest-ahead-of-local-and-global-climate-demonstrations,,,,,,,
River Rouge,outside of the U.S. Steel Great Lakes Works facility,MI,US,2018-08-30,more than 200,200,,200,,,United Steelworkers Local No. 1299 ,rallying for a fair contract,1,rally,0,0,0,0,1,1,http://www.thenewsherald.com/news/steelworkers-rally-for-contract-outside-u-s-steel-in-river/article_20bddc1e-acae-11e8-ab8e-8bd704d50974.html,,,,,,,
Tampa,Univ of South Florida,FL,US,2018-08-30,,,,,,,SDS,against white supremacist incidents,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2018/9/2/tampa-sds-rallies-against-racism-campus,,,,,,,
Weirton,Local 2911 union hall,WV,US,2018-08-30,,50,,70,,,United Steelworkers,rallying for better contract terms,0,rally,0,0,0,0,1,1,https://www.wtrf.com/news/united-steelworkers-rally-amid-contract-negotiations/1407632489,visualized count from photo,,,,,,
Albany,,NY,US,2018-08-31,,,,,,,general protestors,protest closure of Rite Aid pharmacy,0,protest,,,,,1,1,https://www.timesunion.com/news/article/South-End-community-plans-protest-of-South-Pearl-13193841.php,,,,,,,
Asheville,Pack Square,NC,US,2018-08-31,,,,,,,"SeekHealing, WNCAP, the Steady Collective, and the North Carolina Harm Reduction Coalition",rallying for International Overdose Awareness Day,0,rally,,,,,1,1,https://mountainx.com/blogwire/overdose-awareness-day-rally-at-pack-square-aug-31/,,,,,,,
Auburn,,NY,US,2018-08-31,,,,,,,general protestors,promote overdose awareness,0,rally,0,0,0,0,1,1,https://auburnpub.com/news/local/it-doesn-t-discriminate-families-left-behind-speak-out-about/article_094f1a28-4c36-56fd-938a-1480c672f7e4.html,,,,,,,
Austin,,TX,US,2018-08-31,nearly 200,200,,200,,,general protestors,promote overdose awareness,0,march,0,0,0,0,1,1,http://www.wdrb.com/clip/14601789/nearly-200-march-in-austin-overdose-awareness-rally,,,,,,,
Casper,,WY,US,2018-08-31,about a dozen,12,,12,,,general protestors,against increased price for public transportation,0,rally,0,0,0,0,1,1,https://www.facebook.com/CASTribune/posts/10157677321132785,,,,,,,
Denton,Next Generation Church,MD,US,2018-08-31,FB: 60,60,,60,,,Mid-Shore Restoring HOPE in Women,rally for government support to combat opiate abuse,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1702171659860509/,https://trib.com/news/local/casper/residents-rally-to-help-low-income-bus-riders-in-casper/article_5ad180bb-2e9c-5033-80c6-e47e0187e778.html?utm_content=bufferb3731&utm_medium=social&utm_source=twitter.com&utm_campaign=LEEDCC#tracking-source=home-top-story,,,,,,
Kansas City,South Round Top neighborhood,MO,US,2018-08-31,,12,,12,,,general protestors,rally to save Greenwood Elementary School from demolition,0,rally,0,0,0,0,1,1,https://www.kshb.com/news/local-news/residents-rally-to-save-greenwood-elementary-school,,,,,,,
Northampton,51 Old Ferry Road,MA,US,2018-08-31,FB: 59,59,,59,,,general protestors,march in support of Smith College student Oumou Kanoute,1,march,0,0,0,0,1,1,https://www.facebook.com/events/march-against-anti-blackness-in-wmass/206699036867433/,https://www.masslive.com/news/index.ssf/2018/08/protesters_rally_in_downtown_n.html,https://www.gazettenet.com/FridayMarch-hg-083018-19833334,,,,,
Orlando,union hall,FL,US,2018-08-31,hundreds,200,,200,,,Democratic Party,Unity Rally for Democratic candidates,1,rally,0,0,0,0,1,1,http://www.tampabay.com/florida-politics/buzz/2018/08/31/at-orlando-rally-democrats-hope-gillum-and-nelson-is-winning-ticket/,https://www.floridadems.org/news/florida-democrats-present-winning-ticket-in-display-of-unity-at-orlando-rally,,,,,,
Pasadena,Magothy Health Center,MD,US,2018-08-31,about 20,20,,20,,,general protestors,in opposition of a recent county decision to close the health center and move services to Glen Burnie and Annapolis,0,protest,0,0,0,0,1,1,http://www.capitalgazette.com/news/government/ac-cn-magothy-rally-0901-story.html,,,,,,,
Pittsburgh,Allegheny County courthouse,PA,US,2018-08-31,na,25,,25,,,"Allegheny County Clean Air, Breathe Project, GASP, Clear Air Council, PennEnvironment",rally for clean air,1,rally,0,0,0,0,1,1,https://pittnews.com/article/134567/news/pennenvironment-hosts-rally-clear-air/,https://www.pghcitypaper.com/pittsburgh/state-rep-elect-summer-lee-rallies-with-environmentalists-for-cleaner-air/Content?oid=10358173,,,,,,
