CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Sag Harbor,Sag Harbor Windmill,NY,US,2018-07-04,FB: 28,28,,28,,,general protestors,Walk for Interdependence: Keep our Families Together,1,march,,,,,1,1,https://www.facebook.com/events/236094743840710/,,,,
St. Augustine,,FL,US,2018-07-04,about 25,25,,25,,,general protestors,protesting confederate monument,1,protest,0,0,0,0,1,1,https://www.wuft.org/news/2018/07/05/anti-confederate-protesters-disrupt-independence-day-celebration-in-st-augustine/,,,,
Stone Mountain Village,Stone Mountain,GA,US,2018-07-04,count from pic,19,,19,,,NAACP,Protesting Confederate monument,1,protest,0,0,0,0,1,1,https://www.myajc.com/news/local-govt--politics/atlanta-naacp-marches-stone-mountain-protest-confederate-carving/5QObmAOF5tTADouLDnX2BK/,https://www.wltx.com/article/news/politics/naacp-calls-for-sandblasting-of-stone-mountains-confederate-carving/101-570777835,,,
Victoria,N. Navarro Street,TX,US,2018-07-04,about three dozen,36,,36,,,general protestors,"rallying for immigration reform, protesting family separations",1,protest,0,0,0,0,1,1,https://www.victoriaadvocate.com/news/government/victoria-residents-rally-for-immigration-reform-protest-family-separations/article_f70071a0-7ff5-11e8-b36b-77df349846e1.html,,,,
Webster,Main Street,NY,US,2018-07-04,na,8,,8,,,general protestors,Protesting Trump's Team Deplorable Community Activity Center,1,protest,0,0,0,0,1,1,https://cnycentral.com/news/local/demonstrators-oppose-newtrump-team-deplorable-store-in-webster,https://www.democratandchronicle.com/story/news/local/columnists/andreatta/2018/07/05/deplorable-t-shirt-shop-pro-trump-supporter-webster-ny-andreatta/758100002/,,,
Woodside,the entrance to the grounds of the Mounted Patrol of San Mateo County,CA,US,2018-07-04,between 20 and 25,20,,25,,,general protestors,protesting rodeo,0,protest,0,0,0,0,1,1,https://www.almanacnews.com/news/2018/07/05/woodside-annual-rodeo-draws-two-protest-groups,,,,
Columbus,Statehouse,OH,US,2018-07-05,dozens,24,,24,,,Freedom School students,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,https://www.10tv.com/article/kids-protest-against-separation-immigrant-families,,,,
Columbus,building used by ICE,OH,US,2018-07-05,,,,,,,general protestors,protesting ICE and separating immigrant families,1,protest,0,0,0,0,0,1,http://radio.wosu.org/post/activists-continue-protest-immigration-policy-ohio-statehouse#stream/0,,,,
Fairfax,ICE field office,VA,US,2018-07-05,about a hundred,100,,100,,,general protestors,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,https://www.localdvm.com/news/virginia/community-members-protest-for-abolition-of-ice/1285891900,https://www.dcmediagroup.us/2018/07/05/abolishice-protesters-call-profiteers-localities-working-ice-virginia/,,,
Great Falls,Four Seasons Arena,MT,US,2018-07-05,more than 6600,6600,,6600,,,general protestors,for President Trump and Republican candidates,2,rally,0,0,0,0,1,1,https://www.greatfallstribune.com/story/news/2018/07/06/trump-rally-polarizing-great-falls-rosendale-tester-daines-gianforte-president-donald-trump/763252002/,https://www.greatfallstribune.com/story/news/2018/07/05/trump-rally-great-falls-mt-protesters-gather/761293002/,http://www.bigforkeagle.com/local_news/20180705/thousands_rally_around_trump_in_great_falls,feat. President Trump,
Great Falls,outside Four Seasons Arena,MT,US,2018-07-05,more than 300,300,,300,,,general protestors,protesting outside a Trump rally,1,protest,0,0,0,0,1,1,https://helenair.com/news/government-and-politics/photos-crowd-gathers-in-great-falls-to-protest-trump-rally/collection_376d3080-adc7-52ab-82e7-9726dad9b75c.html#1,https://www.greatfallstribune.com/story/news/2018/07/05/trump-rally-great-falls-mt-protesters-gather/761293002/,,,
Houston,outside proposed detention center on Emancipation Avenue,TX,US,2018-07-05,,,,,,,general protestors,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,https://cw39.com/2018/07/06/houstonians-protest-proposed-immigrant-detention-center-ahead-of-court-mandated-deadline/,,,,
Lexington,outside Red Hen restaurant,VA,US,2018-07-05,count pic,6,,6,,,Patriot Picket,protest restaurant's request that S H Sanders leave,2,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/07/05/red-hen-lexington-opens-sarah-huckabee-sanders-visit/761868002/,,,,
Mt. Wolf,outside Governor's home,PA,US,2018-07-05,roughly 30,30,,30,,,general protestors,demand governor call special legislative session for redistricting,0,protest,0,0,0,0,1,1,https://www.ydr.com/story/news/2018/07/06/protest-gov-wolfs-home-prompts-call-session-redistricting/762414002/,https://www.yorkdispatch.com/story/news/local/2018/07/11/outside-gov-wolfs-home-protesters-call-general-assembly-return-redistricting-vote/776029002/,,,
