CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,,,,,,,
Cleveland Heights,Cleveland Heights High School,,OH,US,2020-12-02,ten,10,,10,,,Cleveland Heights Teachers Union,against increase in health insurance premiums and cut in pay for teachers,0,picket,0,0,0,0,1,1,,,,https://www.clevelandjewishnews.com/news/local_news/cleveland-heights-university-heights-teachers-go-on-strike/article_46fa933e-3340-11eb-9606-e393e71fc394.html,https://patch.com/ohio/clevelandheights/teachers-strike-begins-cleveland-heights,https://www.wkyc.com/article/news/education/cleveland-heights-teachers-union-ch-uh-board-of-education-reach-tentative-agreement/95-fdfa9572-316e-4b58-9c69-98ad2aaed07b,https://www.wsws.org/en/articles/2020/12/04/chtu-d04.html,,,,,,,,,,,,,,,
Freehold,"office of Senator Vin Gopal, 35 West Main St",,NJ,US,2020-12-02,count video,40,,50,,,LIFENET; New Jersey Right to Life; BlackGenocide.org; Family Policy Alliance of New Jersey; Garden State Families,"against abortion, against Reproductive Freedom Act",2,protest,0,0,0,0,1,1,,Day of Outrage,,https://www.insidernj.com/press-release/pro-life-new-jerseyans-organize-second-day-outrage-protest-radical-new-abortion-legislation/,https://bronx.news12.com/demonstrators-gather-in-trenton-to-protest-reproductive-freedom-act,,,,,,,,,,,,,,,,,
Graham,J.B. Allen Jr. Criminal Courthouse,,NC,US,2020-12-02,,,,,,,general protesters,"for dropping charges against protesters arrested at March to the Polls, Black Lives Matter, justice for Drumwright, free the Graham 12",1,rally; press conference,0,0,0,0,1,1,,,,https://www.propublica.org/article/small-town-battle-for-racial-justice-confronts-bloody-past-uncertain-future,,,,,,,,,,,,,,,,,,
Hackensack,Bergen County Jail,,NJ,US,2020-12-02,,,,,,,Ridgewood for Black Liberation,"for release of ICE detainees during coronavirus pandemic, for abolishing carceral systems, against racism",1,protest,0,0,0,0,1,1,,,,https://twitter.com/protest_nyc/status/1334192436759961600,https://twitter.com/RW4BL_/status/1334210857207730179,,,,,,,,,,,,,,,,,
Irmo,"School District Five of Lexington and Richland Counties, 1020 Dutch Fork Rd",,SC,US,2020-12-02,more than 70; around 100,70,,100,,,students; teachers,"for return to hybrid school schedule during coronavirus pandemic, in support of teachers",0,demonstration,0,0,0,0,1,1,,,,https://www.postandcourier.com/columbia/news/lexington-richland-5-schools-reduce-in-person-class-days-after-walkout-protests/article_a5078f80-34b3-11eb-adb7-df682c9b551a.html,https://www.thestate.com/news/local/education/article247557885.html,,,,,,,,,,,,,,,,,
Lansing,Anderson House Office Building,,MI,US,2020-12-02,,,,,,,general protesters,"for President Trump, against election fraud, for patriotism, for freedom",2,demonstration,1,0,0,0,1,1,20201202-lansing-stopthesteal,one arrested for stealing BLM flag from counter-protesters,,https://twitter.com/BGOnTheScene/status/1334276853784322049,https://twitter.com/BGOnTheScene/status/1334336047585648644,https://twitter.com/BGOnTheScene/status/1334303980390912002,https://twitter.com/BGOnTheScene/status/1334295570756808704,,,,,,,,,,,,,,,
Lansing,Anderson House Office Building,,MI,US,2020-12-02,,,,,,,general protesters,"against President Trump, Black Lives Matter",1,counter-protest,0,0,0,0,0,1,20201202-lansing-stopthesteal,gathered across the street from rally; costumes; music; dancing,,https://twitter.com/BGOnTheScene/status/1334282085507457026,https://twitter.com/BGOnTheScene/status/1334295570756808704,,,,,,,,,,,,,,,,,
Las Vegas,Sunrise Hospital,,NV,US,2020-12-02,count video,40,,60,,,SEIU Local 1107,for better pay and safer working conditions for healthcare workers in HCA Healthcare hospitals,0,walkout; demonstration,0,0,0,0,1,1,,Walk Out Wednesdays,,https://www.ktnv.com/news/coronavirus/las-vegas-area-healthcare-workers-to-protest-in-front-of-sunrise-hospital,https://twitter.com/seanktnv/status/1334145767880028160,https://lasvegassun.com/news/2020/dec/02/protest-sunrise-hospital-pandemic-working-cond/,https://www.ktnv.com/news/coronavirus/las-vegas-area-healthcare-workers-to-protest-in-front-of-sunrise-hospital,,,,,,,,,,,,,,,
Livingston,Livingston Hills Nursing Home,,NY,US,2020-12-02,about three dozen,36,,36,,,general protesters,for retaining health benefits during COVID-19 pandemic,0,vigil,0,0,0,0,1,1,,,,https://www.hudsonvalley360.com/news/columbiacounty/livingston-hills-employees-rally-for-health-benefits/article_ce41292b-1b40-5ff8-9545-1291f475f0d9.html,,,,,,,,,,,,,,,,,,
Long Beach,Second St and Pacific Coast Highway,,CA,US,2020-12-02,several hundred,300,,300,,,general protesters,against state-mandated restrictions due to coronavirus pandemic,2,march,0,0,0,0,1,1,,March to Save Small Businesses,,https://lbpost.com/news/protesters-march-against-new-covid-19-restaurant-restrictions,https://mynewsla.com/business/2020/12/02/long-beach-businessmen-organize-march-to-save-small-businesses-2/,https://lbpost.com/news/protest-coronavirus-long-beach-uhaul-choura-march,https://ktla.com/news/local-news/new-covid-19-restrictions-begin-wednesday-in-long-beach/,,,,,,,,,,,,,,,
Los Angeles,Getty House,,CA,US,2020-12-02,about 100,100,,100,,,Black Lives Matter-LA; Ground Game LA,"against appointment of LA Mayor Eric Garcetti to any position in Biden administration, against racism, for defunding police, for housing rights",1,march; protest,0,0,0,0,1,1,,,,https://mynewsla.com/crime/2020/12/02/protest-against-potential-garcetti-cabinet-appointment-enters-ninth-day/,https://losangeles.cbslocal.com/video/4926705-protest-continues-outside-mayor-garcettis-home-for-ninth-consecutive-day/,,,,,,,,,,,,,,,,,
Los Angeles,Keck Hospital,,CA,US,2020-12-02,count video,16,,16,,,general protesters,"for protection of nurses during COVID-19 pandemic, healthcare",0,protest,0,0,0,0,1,1,,,,https://abc7.com/health/nurses-hold-protest-in-lincoln-heights-demanding-safer-work-conditions/8451234/,,,,,,,,,,,,,,,,,,
