CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Hartford,Connecticut State Capitol,,CT,US,2020-08-01,about 10,10,,10,,,Citizens Opposed to Police States,"for police accountability, for defunding police, Black Lives Matter",1,counter-protest,0,0,0,0,0,1,20200801-hartford-backtheblue,https://www.fox61.com/article/news/local/police-back-blue-protest-rally-accountability-law-qualified-immunity/520-90bca8b0-b81d-4fda-8523-bb223de3a016,,,argued with protesters,,,,,,,,,,,,,,,,,
Highland,Main Square Park,,IN,US,2020-08-01,,,,,,,general protesters,"for racial justice, against hate, Black Lives Matter",1,rally,,,,,1,1,,https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-highland-anti-hate-st-0803-20200802-bxwxlwwcwfb7tlacwk7hrfqyae-story.html,,,,,,,,,,,,,,,,,,,,
Holland,Centennial Park ,Ottawa,MI,US,2020-08-01,,,,,,,Ottawa County Patriots,Back the Blue,2,rally,,,,,1,1,,https://www.hollandsentinel.com/news/20200729/back-blue-rally-set-for-saturday-in-holland,,,,,,,,,,,,,,,,,,,,
Johnstown,Central Park,,PA,US,2020-08-01,,,,,,,Put People First!,"against police violence, for defunding police, for universal healthcare, for housing rights",1,protest,0,0,0,0,1,1,,https://www.tribdem.com/news/johnstown-demonstrators-call-for-police-policy-changes/article_b2ccf88c-d44e-11ea-8560-1bf599572445.htmll,,,,,,,,,,,,,,,,,,,,
Kansas City,Mill Creek Park,,MO,US,2020-08-01,dozens,24,,24,,,general protesters,calling for online classes until covid cases decline,0,protest,0,0,0,0,1,1,,https://www.kshb.com/news/coronavirus/missouri-teachers-protest-reopening-plans-for-upcoming-school-year,,,,,,,,,,,,,,,,,,,,
Kenosha,,,WI,US,2020-08-01,,,,,,,Kenosha Activism,for native peoples' rights,0,march,0,0,0,0,1,1,,https://www.kenoshanews.com/news/local/columbus-protest-turns-into-clash-with-counter-demonstrators/article_9c51f468-c688-5e07-914a-c442bdce2ea9.html,,,,,,,,,,,,,,,,,,,,
Killeen,,,TX,US,2020-08-01,,,,,,,Our Sisters Keeper,for change in how the military handles sexual assault cases,0,march,0,0,0,0,1,0,,https://www.fox44news.com/news/local-news/women-veterans-lead-nationwide-protest/,,,,,,,,,,,,,,,,,,,,
Knoxville,Knoxville Police Department,,TN,US,2020-08-01,count video,60,,80,,,Roughnecks of Tennessee,"Back the Blue, for patriotism, Thin Blue Line",2,protest,0,0,0,0,1,1,20200801-knoxville-backtheblue,https://www.wkrn.com/news/back-the-blue-rally-draws-crowd-of-supporters-and-counter-protesters/,,,verbal clashes with counter-protesters; argued with counter-protesters,,,,,,,,,,,,,,,,,
Knoxville,Knoxville Police Department,,TN,US,2020-08-01,count video,50,,60,,,general protesters,"Black Lives Matter, end qualified immunity, for police accountability, defund the police",1,counter-protest,0,0,0,0,0,1,20200801-knoxville-backtheblue,https://www.wkrn.com/news/back-the-blue-rally-draws-crowd-of-supporters-and-counter-protesters/,,,verbally confronted protesters; formed human chain; argued with protesters,,,,,,,,,,,,,,,,,
La Mesa,La Mesa City Hall,,CA,US,2020-08-01,roughly 200; 300,200,,300,,,general protesters,"for justice for women of color, for justice for Breonna Taylor and Vanessa Guillen, Black Lives Matter, racism is the pandemic, ACAB, super callous fragile racist sexist Nazi POTUS, demilitarize the police",1,march,0,0,0,0,1,1,20200801-lamesa-blm,https://timesofsandiego.com/politics/2020/08/01/taunted-by-defenders-300-march-in-la-mesa-to-demand-justice/,https://fox5sandiego.com/news/local-news/in-la-mesa-protesters-gather-to-demand-justice-for-women-of-color//,,verbal clashes with counter-protesters; scuffled with counter-protesters,,,1,,,,,,,,,,,,,,
