CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
La Mesa,La Mesa City Hall,,CA,US,2020-08-01,scores,40,,40,,,Defend East County; La Mesa Civil Defense; American Guard; Bordertown Patriots,"against Black Lives Matter, for President Trump, for recall of Governor Gavin Newsom, for patriotism",2,counter-protest,1,0,0,0,0,1,20200801-lamesa-blm,https://timesofsandiego.com/politics/2020/08/01/taunted-by-defenders-300-march-in-la-mesa-to-demand-justice/,https://www.sandiegouniontribune.com/top-stories/story/2020-08-01/amid-tight-security-and-opposition-la-mesa-anti-police-protest-is-peaceful,,some in tactical gear; heckled marchers; verbal clashes with marchers; scuffled with marchers,,,1,,,,,,,,,,,,,,
Lake Jackson,,,TX,US,2020-08-01,,,,,,,Brazoria County residents,Back the Blue ,2,rally,,,,,1,1,,https://thefacts.com/news/article_87d918de-09a8-5644-840e-1adfec98cfdd.html,,,,,1,,,,,,,,,,,,,,,
Lodi,Emerson Park,,CA,US,2020-08-01,about two dozen,24,,24,,,general protestors,antiracism; seek racial justice,1,protest,0,0,0,0,1,1,,https://www.instagram.com/p/CCzoyW1BrE_/,https://www.lodinews.com/news/article_947e1194-d756-11ea-9aee-e387be74e901.html,,,,,1,,,,,,,,,,,,,,
Lorain,Lorain County Board of Elections,,OH,US,2020-08-01,,,,,,,Free Ohio Now group; local advocates,"for in-person voting, against election fraud",2,rally,,,,,1,1,,https://www.morningjournal.com/news/lorain-county/advocates-to-rally-for-in-person-voting-at-lorain-county-board-of-elections/article_eb277ce4-d35d-11ea-9e60-afc4c4ed74e2.html,,,,,1,,,,,,,,,,,,,,,
Los Angeles,Getty House,,CA,US,2020-08-01,hundreds,200,,200,,,The People's City Council,"for ban on evictions, for canceling rents, for commandeering hotels to house homeless people",0,protest,3,,,,1,1,,https://www.latimes.com/california/story/2020-08-01/arrests-protest-demanding-rent-cancellation-outside-mayor-garcettis-home,"https://apnews.com/article/virus-outbreak-los-angeles-ca-state-wire-california-homelessness-0b1d2948f987436f15a036e50efdfeea#:~:text=LOS%20ANGELES%20(AP)%20%E2%80%94%20Demonstrators,coronavirus%20pandemic%20ravages%20California's%20economy.",,3 arrested and 2 cited,,,1,,,,,,,,,,,,,,
Los Gatos,Plaza Park,,CA,US,2020-08-01,,,,,,,Black Lives Matter,antiracism; against police brutality,1,protest,,,,,1,1,,https://www.instagram.com/p/CDL-X80BvUt/,,,,,,1,,,,,,,,,,,,,,
Loudoun ,,Loudoun County,VA,US,2020-08-01,,,,,,,parents,against virtual only school during coronavirus pandemic,0,protest,,,,,1,1,,https://www.wusa9.com/article/news/local/virginia/noa-reopening-school-protests-coronavirus-back-to-school/65-cb985c06-46e8-4992-b943-65ef1dbaff48,,,,,,,,,,,,,,,,,,,,
Maggie Valley ,Maggie Valley Town Hall to the fire station via Soco Rd,,NC,US,2020-08-01,nearly 100; 125-150,125,,150,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,,https://www.themountaineer.com/news/second-maggie-protest-proved-safer-smoother/article_21f81c8a-d66d-11ea-8e0e-5b6ae6731444.html,https://www.themountaineer.com/news/maggie-valley-protest-was-peaceful-and-filled-with-spirit/article_d0579ed2-d419-11ea-afac-7b529b490a4c.html,https://www.citizen-times.com/story/news/2020/08/01/2nd-maggie-valley-black-lives-matter-protest-strikes-peaceful-tone-plans-another-underway/5564199002/,,,1,,,,,,,,,,,,,,,
Manhattan,Triangle Park near Aggieville,,KS,US,2020-08-01,,,,,,,general protestors,"for justice for Vanesa Guillen, against sexual harassment in the military",0,rally,,,,,1,1,,https://www.wibw.com/2020/08/02/our-sisters-keeper-movement-rally-held-in-triangle-park/,,,,,,,,,,,,,,,,,,,,
Marietta,Cobb County Civil Center,,GA,US,2020-08-01,dozens,24,,24,,,general protesters,for in-person learning in Cobb County Schools in the fall despite COVID-19,0,protest,0,0,0,0,1,1,,https://www.11alive.com/article/news/health/coronavirus/dozens-turn-out-to-protest-cobb-county-schools-virtual-classroom-plans/85-a5fffe72-7621-4d97-9e8d-d4f07e771bf7,https://www.ajc.com/news/atlanta-news/cobb-parents-plan-protest-demand-in-person-classes-for-students/UV7VKEOKHZFDVFCW7YPYXKL63Y/,,,,,,,,,,,,,,,,,,,
Marquette,Harlow Park,,MI,US,2020-08-01,,,,,,,community members,"in support of police, against defunding police, for President Trump",2,rally,,,,,1,1,,https://www.uppermichiganssource.com/2020/08/02/back-the-blue-rally-shows-support-of-law-enforcement/,,,,,,,,,,,,,,,,,,,,
Massena,Emmanuel Congregational United Church,,NY,US,2020-08-01,about 100,100,,100,,,Black Lives Matter Potsdam,antiracism; against police brutality; in support of a family who found a noose in their yard last week,1,march,0,0,0,0,1,1,,https://www.nny360.com/news/stlawrencecounty/black-lives-matter-potsdam-holding-peaceful-march-saturday-in-massena/article_27a1f043-0830-5e22-b8e1-68872270a616.html,https://www.northcountrypublicradio.org/news/story/42037/20200803/massena-march-supports-family-targeted-in-racist-attack,,,0,1,,,,,,,,,,,,,,,
Milwaukee,Washington Park,,WI,US,2020-08-01,more than 100,100,,100,,,Milwaukee Autonomous Tenants Union,for eviction moratorium and other housing protections during COVID-19 pandemic,0,march,,,,,1,1,,https://www.jsonline.com/story/news/2020/08/01/tenant-rights-activists-march-mayor-barretts-house-pandemic/5564552002/,,,,,,1,,,,,,,,,,,,,,
Minneapolis,home of Cecil Smith; Logan Park,,MN,US,2020-08-01,,,,,,,United Renters For Justice,for eviction moratorium during COVID-19 pandemic,0,march,0,0,0,0,1,1,,https://www.startribune.com/renters-and-community-march-against-evictions/571981501/?refresh=true#2,,,,,,,,,,,,,,,,,,,,
Moline,John Deere Rd & 16th St,,IL,US,2020-08-01,,,,,,,Progressive Action for the Common Good,"for racial justice and equality, Black Lives Matter",1,demonstration,,,,,1,1,,http://www.pacgqc.org/blog/racial-equality-now-rally-what-you-can-do-now,,,,,,1,,,,,,,,,,,,,,
Montgomery,Alabama Governor's Mansion,,AL,US,2020-08-01,,,,,,,general protesters,Not One More prison; against more prisons in America,0,caravan,0,0,0,0,1,1,,https://www.montgomeryadvertiser.com/picture-gallery/news/2020/08/01/not-one-more-prison-protest-caravan-outside-governors-mansion/5563072002/,,,,,,,,,,,,,,,,,,,,
Montpelier,Vermont Statehouse,,VT,US,2020-08-01,hundreds,200,,200,,,general protesters,"against systemic racism, against racial profiling by police, for empowering Black Americans",1,rally,0,0,0,0,1,1,,https://www.burlingtonfreepress.com/picture-gallery/news/2020/08/03/black-vermonters-speak-against-racism-montpelier-rally/5576749002/,https://www.mynbc5.com/article/black-vermonters-i-too-am-america-rally-in-montpelier/33490273#,https://www.mynbc5.com/article/black-vermonters-i-too-am-america-rally-in-montpelier/33490273#,,0,1,,,,,,,,,,,,,,,
Nashville,Legislative Plaza,,TN,US,2020-08-01,,,,,,,general protestors,"against racism, for removal of police chief, for defunding police, for demilitarizing police, for removal of Confederate statues",1,occupation,0,0,0,0,1,1,,https://www.nashvillescene.com/news/pith-in-the-wind/article/21143995/a-look-back-on-the-peoples-plaza-protest,,,,,,1,,,,,,,,,,,,,,
New York,"Bensonhurst, Brooklyn",,NY,US,2020-08-01,hundreds,200,,200,,,general protesters,"against the death of an Asian woman and lack of classification of the death as a hate crime, against anti-Asian racist violence",1,protest,0,0,0,0,1,1,,https://qns.com/story/2020/08/05/asian-americans-from-queens-and-beyond-lead-brooklyn-march-after-89-year-old-woman-set-on-fire/,,,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",New York,NY,US,2020-08-01,,,,,,,Upper East Side for Black Lives Matter,antiracism; against police brutality,1,vigil; march,,,,,0,1,,https://www.instagram.com/p/CDWR19ZFnLn/,,,,,,1,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-01,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.instagram.com/p/CDJZ002j-EU/,https://www.instagram.com/p/CDWla0bDv7e/,,,,,1,,,,,,,,,,,,,,
Nezperce,Lewis County Sheriff's Office,,ID,US,2020-08-01,about 50,50,,50,,,People's Rights,"against police brutality, for empowering sheriffs, against native peoples' rights, in support of Sean Anderson",2,protest,0,0,0,0,1,1,,https://www.idahopress.com/news/state/nezperce-county-declares-emergency-ahead-of-bundy-led-rally/article_2f756e33-b4b4-5ea7-ab28-18a76718dec0.html,https://www.postregister.com/news/state/nezperce-declares-emergency-ahead-of-bundy-led-rally/article_eb955276-882d-5ea8-add5-4b14ebbac823.html,,,,1,1,,,,,,,,,,,,,,
Oakland,West Oakland BART,,CA,US,2020-08-01,,,,,,,general protestors,antiracism; power to the people,1,protest,,,,,1,1,,https://sf.funcheap.com/west-oakland-solidarity-power-people/,,,,,,1,,,,,,,,,,,,,,
Ogden,Marshall White Center,,UT,US,2020-08-01,About 100,100,,100,,,Black Lives Matter Northern Utah,"against police violence, against racism, Black Lives Matter",1,rally,,,,,1,1,,https://www.standard.net/news/local/local-black-lives-matter-chapter-holds-rally-against-violence-in-the-community/article_2cf18685-1b86-5631-bd63-d8408903c1e5.html,,,,,,,,,,,,,,,,,,,,
Omaha,outside the police department,,NE,US,2020-08-01,nearly 40,40,,40,,,general protesters,In support of Black Lives Matter and defunding the police,1,protest,0,0,0,0,1,1,,https://omaha.com/news/peace-prevails-as-protesters-gather-to-chalk-sidewalks-at-omaha-police-headquarters/article_39d91e87-3d0c-52d3-8d06-a62d486c6232.html,https://omaha.com/news/local/peace-prevails-as-protesters-gather-to-chalk-sidewalks-at-omaha-police-headquarters/article_39d91e87-3d0c-52d3-8d06-a62d486c6232.html,,,,,,,,,,,,,,,,,,,
Owensboro,County Courthouse,Daviess,KY,US,2020-08-01,,,,,,,general protestors,against removal of Confederate statue from college campus,2,protest,,,,,1,1,,https://www.messenger-inquirer.com/news/local/group-to-host-save-the-confederate-statue-rally/article_4740d66e-8379-586e-ab96-1a119d5e12f7.html,,,,,,1,,,,,,,,,,,,,,
Phoenix,Downtown,,AZ,US,2020-08-01,,,,,,,general protestors,"against racial injustice, Black Lives Matter, in honor of John Lewis",1,demonstration,,,,,1,1,,https://www.fox10phoenix.com/news/downtown-phoenix-demonstration-honors-late-civil-rights-leader-john-lewis,,,,,,,,,,,,,,,,,,,,
Pleasanton,,,CA,US,2020-08-01,as many as 50,50,,50,,,"stylists, salon owners",for reopening businesses during coronavirus pandemic,0,protest,,,,,1,1,,https://www.dailyrepublic.com/all-dr-news/wires/east-bay-hair-stylists-fed-up-with-lack-of-work-plan-protest-mercury-news/,,,,,1,,,,,,,,,,,,,,,
Portland,Portland City Hall,,ME,US,2020-08-01,more than 30,30,,30,,,general protesters,raising awareness about homelessness,0,protest,0,0,0,0,1,1,,https://bangordailynews.com/2020/08/01/news/portland/gunshots-fired-outside-portland-city-hall-as-protest-over-homelessness-continues/?,,,,,,,,,,,,,,,,,,,,
Portland,Tom McCall Waterfront Park,,OR,US,2020-08-01,,,,,,,Portland NAACP,antiracism; against police brutality; against President Trump,1,protest,0,0,0,0,1,1,,https://www.oregonlive.com/news/2020/08/portlands-66th-day-of-protests-already-underway-with-march-in-n-portland.html,,,Re-Centering Why We're Here,,,,,,,,,,,,,,,,,
Portland,Laurelhurst Park; Penumbra Kelly Building,,OR,US,2020-08-01,several hundred,300,,300,,,general protesters,antiracism; against police brutality,1,protest,2,0,0,1,0,1,,https://www.oregonlive.com/news/2020/08/portlands-66th-day-of-protests-already-underway-with-march-in-n-portland.html,https://www.nwaonline.com/news/2020/aug/02/portland-police-declare-unlawful-assembly-during-p/,https://www.oregonlive.com/news/2020/08/portland-police-smash-window-slash-tires-of-womans-prius-during-protest-dustup-video.html,,,1,,,,,,,,,,,,,,,
Portland,Martin Luther King Jr. Elementary School; Peninsula Park,,OR,US,2020-08-01,hundreds; several hundred,200,,300,,,We Gone Be Alright,"against racism, for criminal justice reform and racial equity in education",1,march,0,0,0,0,0,1,,https://www.kptv.com/news/demonstrators-marched-for-justice-reform-and-equity-in-education-in-n-portland/article_89cf3276-d451-11ea-82ac-0b6323c50cde.html,https://www.nwaonline.com/news/2020/aug/02/portland-police-declare-unlawful-assembly-during-p/,,,,,,,,,,,,,,,,,,,
Portland,Multnomah County Justice Center,,OR,US,2020-08-01,more than 500,500,,500,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,0,1,,https://www.oregonlive.com/news/2020/08/portlands-66th-day-of-protests-already-underway-with-march-in-n-portland.html,,,,,,,,,,,,,,,,,,,,
Portland,Multnomah County Justice Center; Pearl St,,OR,US,2020-08-01,around 500,500,,500,,,general protesters,antiracism; against police brutality,1,march; demonstration,0,0,0,0,0,1,,https://www.oregonlive.com/news/2020/08/portlands-66th-day-of-protests-already-underway-with-march-in-n-portland.html,,,,,,,,,,,,,,,,,,,,
Portland,Portland Firefighters Park,,OR,US,2020-08-01,,,,,,,Portland firefighters,"against racism, against police violence",1,protest,,,,,0,1,,https://www.oregonlive.com/portland/2020/08/firefighters-hold-black-lives-matter-protest-in-portland.html,https://www.oregonlive.com/news/2020/08/portlands-66th-day-of-protests-already-underway-with-march-in-n-portland.html,,Portland Firefighters for Black Lives Matter,,,,,,,,,,,,,,,,,
Radcliff,Radcliff City Park,,KY,US,2020-08-01,,,,,,,Our Sisters Keeper,calling for awareness to Military sexual trauma,0,rally,0,0,0,0,1,0,,https://www.wdrb.com/news/local-veterans-rally-against-military-sexual-assault-call-for-changes-to-reporting-laws/article_43763e08-d449-11ea-b438-7735a5f0f1b2.html,,,,,,,,,,,,,,,,,,,,
Raleigh,Halifax Mall,,NC,US,2020-08-01,hundreds,200,,200,,,Students for Trump,"in support of local law enforcement, for President Trump",2,rally,0,0,0,0,1,1,,https://www.cbs17.com/news/local-news/wake-county-news/hundreds-march-in-raleigh-to-show-support-for-law-enforcement/,,,,,,,,,,,,,,,,,,,,
Reading,Penn Street Bridge at 2nd and Penn Streets,,PA,US,2020-08-01,,,,,,,general protesters,"against police violence, for justice for Greg Longenecker",1,protest,0,0,0,0,1,1,,https://www.readingeagle.com/news/local/peaceful-protest-against-injustice-planned-in-memory-of-reading-man-killed-by-bulldozer/article_d28988da-d0fb-11ea-9533-4b359c5ef593.html,,,,,,,,,,,,,,,,,,,,
Reno,Washoe County School District headquarters,,NV,US,2020-08-01,,,,,,,general protesters,"for renaming Hug High School in honor of Dolores Feemster, for racial justice",1,rally; march,0,0,0,0,1,1,,https://www.rgj.com/picture-gallery/news/2020/08/01/people-rally-favor-renaming-hug-high-dolores-feemster/5564321002/,,,,,,,,,,,,,,,,,,,,
Richmond,East Henrico Recreation Center,,VA,US,2020-08-01,,,,,,,Students For Change,looking to help brighten students futures amid the covid pandemic; providing resources for students,0,rally,0,0,0,0,1,1,,https://www.wtvr.com/news/local-news/students-for-change-rally-henrico,,,,,,,,,,,,,,,,,,,,
Rockford,"Winnebago County Justice Center, at 650 W State St",,IL,US,2020-08-01,"at least 1,000",1000,,1000,,,Concerned Citizens for America of Northern Illinois; Illinois Family Institute,"Back the Blue, for patriotism, for President Trump, God bless the police, Thin Blue Line, more police funding",2,rally,unspecified,0,0,0,1,1,20200801-rockford-blm,https://www.wifr.com/2020/07/30/protest-group-makes-new-demands-in-light-of-rpd-may-30-protest-findings/,https://www.mystateline.com/news/local-news/pro-police-back-the-blue-rally-draws-counter-protesters-in-downtown-rockford/,,police and sheriff participated in rally; rally-goers clashed with counter-protesters; police intervened and used pepper spray,1,,1,,,,,,,,,,,,,,
Rockford,"Winnebago County Justice Center, at 650 W State St",,IL,US,2020-08-01,,,,,,,Rockford Youth Abolitionists,"against Back the Blue rally, for abolishing police, against white supremacy, against fascist police state",1,counter-protest,unspecified,0,0,0,0,1,20200801-rockford-blm,https://www.wifr.com/2020/07/30/protest-group-makes-new-demands-in-light-of-rpd-may-30-protest-findings/,https://www.mystateline.com/news/local-news/pro-police-back-the-blue-rally-draws-counter-protesters-in-downtown-rockford/,,clashed with rally-goers; police intervened and used pepper spray,1,,1,,,,,,,,,,,,,,
Sacramento,Cesar Chavez Plaza,,CA,US,2020-08-01,,,,,,,Our Sisters Keeper,for awareness of sexual assault in the military,0,rally,0,0,0,0,1,0,,https://www.abc10.com/article/news/local/sacramento/supporters-of-our-sisters-keeper-movement-gather-at-the-capitol-in-part-of-a-nationwide-rally/103-0946ec8d-dab9-4535-aaab-1d478898cf74,https://www.kcra.com/article/group-rallies-raises-awareness-about-sexual-harassment-assault-military/33490066,,,,,,,,,,,,,,,,,,,
Sacremento,California State Capitol,,CA,US,2020-08-01,about 300,300,,300,,,#WalkAway,"against Governor Newsom, against the radical left, against defunding police, for President Trump",2,rally,0,0,0,0,1,1,,https://www.kcra.com/article/crowds-protest-democratic-party-rally-reopen-churches-ca-capitol/33489797#,https://sacramento.cbslocal.com/2020/08/01/rescue-america-rally-held-at-state-capitol/,,Rescue America Rally,,,,,,,,,,,,,,,,,
Sacremento,California State Capitol,,CA,US,2020-08-01,over 50,50,,50,,,general protesters,for reopening churches during coronavirus pandemic,0,rally,0,0,0,0,0,1,,https://www.kcra.com/article/crowds-protest-democratic-party-rally-reopen-churches-ca-capitol/33489797#,,,,,,,,,,,,,,,,,,,,
Saint Louis,Ubuntu Center for Peace,,MO,US,2020-08-01,about 30,30,,30,,,Join Hands Peace Warriors,"in support of the Black community, for racial equality",1,protest,0,0,0,0,1,1,,https://www.bnd.com/news/local/article244656702.html,,,,,,,,,,,,,,,,,,,,
Saint Paul,Minnesota State Capitol,,MN,US,2020-08-01,few hundred,300,,300,,,general protesters,"against state coronavirus mask mandate, for freedom, for patriotism, fake crisis",2,rally,0,0,0,0,1,1,20200801-stpaul-covid,https://www.mprnews.org/story/2020/08/01/opponents-of-statewide-mask-mandate-rally-at-minnesota-capitol,https://www.southernminn.com/faribault_daily_news/news/state/article_d319d2e7-8efa-5b95-9759-4d294c2a95a0.html,,some openly carried firearms; verbal clashes with counter-protesters,0,1,,,,,,,,,,,,,,,
Saint Paul,Minnesota State Capitol,,MN,US,2020-08-01,a few,3,,3,,,general protesters,for state coronavirus mask mandate,0,counter-protest,0,0,0,0,0,1,20200801-stpaul-covid,https://www.mprnews.org/story/2020/08/01/opponents-of-statewide-mask-mandate-rally-at-minnesota-capitol,https://www.southernminn.com/faribault_daily_news/news/state/article_d319d2e7-8efa-5b95-9759-4d294c2a95a0.html,,verbal clashes with protesters,0,1,,,,,,,,,,,,,,,
Saint Petersburg,18th Avenue S; Bartlett Park,,FL,US,2020-08-01,about 15,15,,15,,,general protesters,for Black unity and empowerment,1,march,0,0,0,0,1,1,,https://www.tampabay.com/news/2020/08/01/in-south-st-pete-black-men-celebrate-victories-we-are-everything-but-a-rally-or-a-protest/,,,,,,,,,,,,,,,,,,,,
San Diego,Balboa Park,,CA,US,2020-08-01,nearly a dozen,12,,12,,,Our Sisters Keeper,against sexual assault in the U.S. military,0,rally,0,0,0,0,1,0,,https://www.sandiegouniontribune.com/news/watchdog/story/2020-08-01/military-veterans-demand-justice-for-victims-of-sexual-assault-at-balboa-park-rallyy,,,,,,,,,,,,,,,,,,,,
San Diego,"Del Mar Heights Rd & El Camino Real, Carmel Valley",,CA,US,2020-08-01,,,,,,,Carmel Valley for Equal Justice,"against racism, against police violence, Black Lives Matter, make America kind, end qualified immunity, stop the war on Black America, equal justice for all now",1,demonstration,,,,,1,1,,https://www.delmartimes.net/news/story/2021-05-23/carmel-valley-floyd-rallies,https://www.instagram.com/p/CDXJZusjIAC/,https://www.instagram.com/p/CDXJgrDDfBO/,,,,1,https://www.delmartimes.net/news/story/2020-08-05/carmel-valley-for-equal-justice-holds-weekly-protests,,,,,,,,,,,,,
San Francisco,Polk & California,,CA,US,2020-08-01,,,,,,,general protesters,anti fascism; anti Trump; anti federal police deployments to Portland,1,protest,,,,,1,1,,https://sf.funcheap.com/trumps-gestapo-protest-rally/,,,,,,1,,,,,,,,,,,,,,
San Francisco,"Washington St & Drumm St,; Sausalito, CA; Richmond, CA; Oakland, CA",,CA,US,2020-08-01,,,,,,,Bike Ride for Change,antiracism; Black Lives Matter,1,bicycle ride,,,,,1,1,,https://www.instagram.com/p/CDQFsEChm4m/,,,,,,1,,,,,,,,,,,,,,
San Geronimo,Nicasio Valley Road & Sir Francis Drake Blvd,,CA,US,2020-08-01,about 30,30,,30,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,,https://www.instagram.com/p/CDC_rU1BqRc/,https://www.marinij.com/2020/08/01/west-marin-protesters-call-for-racial-justice/,https://www.marinij.com/2020/08/01/west-marin-protesters-call-for-racial-justice/,,,,1,,,,,,,,,,,,,,
San Jose,San Jose City Hall,,CA,US,2020-08-01,,,,,,,general protesters,"for racial justice, united we roll",1,demonstration,,,,,1,1,,https://www.instagram.com/p/CDMnPOmhcAZ/,,,roller skating,,,1,,,,,,,,,,,,,,
San Leandro,"1933 Davis St, Walmart Parking Lot",,CA,US,2020-08-01,,,,,,,local employees of Amazon; essentual workers,aginast dangerous working conditions for Black workers and essential workers during coronavirus pandemic,1,caravan,,,,,1,1,,https://www.instagram.com/p/CDMlIOahrB5/,,,,,,1,,,,,,,,,,,,,,
Sandpoint,Bonner County Courthouse,,ID,US,2020-08-01,over 200,200,,200,,,general protesters,in support of law enforcement; Back the Blue,0,rally,,,,,1,1,,https://bonnercountydailybee.com/news/2020/jul/31/local-group-plans-back-the-bonner-blue-rally-7/,,,,,1,,,,,,,,,,,,,,,
Santa Clarita,McBean Parkway & Valencia Boulevard,,CA,US,2020-08-01,,,,,,,general protesters,for re-opening styling salons amid covid pandemic,0,protest,0,0,0,0,1,1,,https://signalscv.com/2020/08/scv-hair-stylists-protest-to-reopen-salons/,,,,,,,,,,,,,,,,,,,,
Seattle,23rd & Union; Jimi Hendrix Park/African American Museum,,WA,US,2020-08-01,,,,,,,general protesters,"for Black lives, for love and healing and unity and justice",1,parade,,,,,1,1,,https://www.capitolhillseattle.com/2020/07/in-summer-of-cancellations-umoja-parade-will-cross-central-district-saturday/,,,,,1,,,,,,,,,,,,,,,
Seattle,home of Chief Carmen Best,,WA,US,2020-08-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,,https://abcnews.go.com/US/wireStory/seattle-police-chief-upset-protesters-visit-home-72152217,,,,0,1,,,,,,,,,,,,,,,
