CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,Source1,Source2,Source3,Source4,Source5,Source6,
Upper Darby,Upper Darby Police Department,,PA,US,2020-07-02,more than 100; hundreds,100,,200,,,"members of the Sikh community; bikers from the Stars and Stripes, Bars and Pipes motorcycle group; family members of officers","in support of police, for patriotism, against defunding police, Back the Blue",2,rally,0,0,0,0,1,1,20200702-upperdarby-backtheblue,,https://6abc.com/community-events/many-gathered-in-upper-darby-township-for-back-the-blue-rally/6293643/,https://www.delcotimes.com/news/upper-darby-residents-rally-to-back-the-blue/article_e21f4884-bcc4-11ea-8f9c-8b1e21b8375e.html,,,,,
Waterbury,City Hall,,CT,US,2020-07-02,,,,,,,Rat Pack Motorcycle Club,"in defense of Christopher Columbus statue, against anti-racism protesters",2,counter-protest,0,0,0,0,1,1,20200702-waterbury-columbus,arrived; formed circle around statue; verbal exchanges with protesters,https://www.wtnh.com/news/connecticut/new-haven/george-floyd-memorial-rally-to-be-held-in-waterbury-today/,,,,,,
Windsor,,,NH,US,2020-07-02,,6,,6,,,general protesters,support for Windsor High School principal who was placed on paid leave after a Facebook post questioning the methods of the Black Lives Matter movement,0,rally,,,,,1,1,,,https://vtdigger.org/2020/07/03/lawsuit-and-protest-after-windsor-principal-ousted-over-black-lives-matter-post/?is_wppwa=true&wpappninja_cache=friendly,,,,,,
Bloomfield Township,Telegraph Rd & Exeter St,,MI,US,2020-07-03,about 25,25,,25,,,Michigan Conservative Coalition,"in support of police, for President Trump",2,rally,0,0,0,0,1,1,,,https://www.detroitnews.com/story/news/local/oakland-county/2020/07/03/demonstrators-gather-police-bloomfield-township/5373444002/,https://www.hollandsentinel.com/picture-gallery/news/local/michigan/oakland/2020/07/04/operation-back-blue-support-law-enforcement/5374115002/,,,,,
Boise,Boise City Hall,,ID,US,2020-07-03,more than 100; a few hundred,100,,300,,,Health Freedom Idaho,"against city coronavirus mask mandate, for freedom",2,protest,0,0,0,0,1,1,,,https://www.deseret.com/u-s-world/2020/7/21/21332831/coronavirus-idaho-covid-19-cases-hotspot,https://www.kivitv.com/news/people-protest-against-boise-mayors-mask-mandate,,,,,
Bozeman,Sacajawea Park,,MT,US,2020-07-03,,,,,,,Rage Against the State,"against COVID-related restrictions, for libertarianism",2,rally,,,,,1,1,,,https://helenair.com/news/state-and-regional/rage-against-the-state-rallies-raise-concerns-of-groups/article_5a56e56b-018c-5dd4-a7fe-988127755eef.html,,,,,,
Centerville,downtown Centerville,,OH,US,2020-07-03,,,,,,,"parents, grandparents, special education teachers, general protesters",against teacher layoffs and school service cuts due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,,https://www.whio.com/home/downtown-centerville-becomes-stage-protest-school-board-decision-cutting-teachers/GY23LB3NGVA7TB7DZZQXMS6GY4/,https://www.wdtn.com/news/local-news/centerville-parents-protest-cuts-to-school-districts-special-education-department/,,,,,
Charlotte,on Beatties Ford Road and Lasalle,,NC,US,2020-07-03,dozens,24,,24,,,general protesters,against criminal violence,0,march,0,0,0,0,1,1,,,https://www.wcnc.com/article/news/community/after-recent-deadly-shootings-on-beatties-ford-rd-community-calls-for-end-of-violence/275-16cbba01-a568-4a04-9d28-fd650f61b0c2,,,,,,
Cleveland,outside Cuyahoga Department of Children and Family Services,,OH,US,2020-07-03,,,,,,,Fathers Lives Matter; Black on Black Crime; Black Man Army,for improvements to foster care system,0,protest,0,0,0,0,1,1,,,https://www.news5cleveland.com/news/local-news/cleveland-metro/fathers-lives-matter-will-hold-demonstration-to-protest-kids-living-inside-cuyahoga-county-office-building,,,,,,
Dallas,Trinity Overlook Park,,TX,US,2020-07-03,hundreds,200,,200,,,general protesters,"against sexual harassment in the military, for justice for Vanessa Guillen",0,vigil; march,,,,,1,1,,Independence for Who?,https://www.dmagazine.com/frontburner/2020/07/after-nearly-50-days-of-sustained-protests-the-call-for-justice-continues/,,,,,,
Keystone,Mt. Rushmore,Pennington,SD,US,2020-07-03,several thousand,3000,,3000,,,Trump campaign,for President Trump,2,rally,0,0,0,0,1,1,20200703-keystone-trump,,https://www.washingtonpost.com/politics/trump-mount-rushmore-fireworks/2020/07/03/af2e84f6-bd25-11ea-bdaf-a129f921026f_story.html,https://www.pilotonline.com/coronavirus/ct-nw-trump-mount-rushmore-20200703-3ygu5zwosrfdbcocbrqqh3jm5e-story.html,https://www.wtxl.com/news/national/at-rushmore-trump-says-protesters-seek-to-defame-heroes,https://www.abcactionnews.com/news/national/at-rushmore-trump-says-protesters-seek-to-defame-heroes,https://www.pix11.com/news/national/at-rushmore-trump-says-protesters-seek-to-defame-heroes,https://www.theday.com/national-politics/20200704/at-mount-rushmore-trump-says-protesters-seek-to-wipe-out-our-history,
Keystone,Highway 16A; Iron Mountain Rd,Pennington,SD,US,2020-07-03,,,,,,,general protesters,"land back, for indigenous peoples' rights, against President Trump",1,counter-protest,21,0,0,0,0,1,20200703-keystone-trump,roadblock,https://www.bhpioneer.com/local_news/21-arrested-in-trump-protest-near-keystone/article_ae5db5b0-c06d-11ea-abf1-bb876a96c8f4.html,https://www.argusleader.com/story/news/2020/07/03/keystone-south-dakota-protesters-anti-trump-demonstration-mount-rushmore-rally-fireworks/5373812002/,https://rapidcityjournal.com/news/local/crime-and-courts/police-reports-tilsen-stole-shield-some-protesters-were-violent/article_f4ac146d-7678-5dfe-a536-d5f4c0200f56.html,,,,
Marion,Main St; Smyth County Courthouse,,VA,US,2020-07-03,hundreds,200,,200,,,American Patriots,"against Black Lives Matter protesters, for patriotism, for freedom, for Confederate heritage, All Lives Matter",2,counter-protest,0,0,0,0,1,1,20200703-marion-blm,many carried firearms; tactical gear; verbal confrontations with protesters; revved motorcycles to disrupt protesters' speeches,https://roanoke.com/news/virginia/black-lives-matter-all-lives-matter-protesters-square-off-in-marion/article_1468fec6-8e30-5926-9e0a-9c8054451329.html,https://heraldcourier.com/townnews/politics/watch-now-cross-burning-victim-led-marions-black-lives-matter-march/article_b08806bc-be68-11ea-bb92-3bfccd72e122.html,https://www.washingtonpost.com/local/a-teen-led-a-black-lives-matter-protest-in-his-small-town-a-cross-was-burned-in-his-yard/2020/07/15/6ea6e3d2-c1ef-11ea-b178-bb7b05b94af1_story.html,,https://www.wsls.com/news/local/2020/07/03/two-groups-of-protesters-come-face-to-face-in-marion/,,
Marshall,Harrison County Court House,,TX,US,2020-07-03,over 50,50,,50,,,general protesters,"against state coronavirus mask mandate, against Governor Abbott, against communism, for freedom",2,protest,0,0,0,0,1,1,,,https://www.arklatexhomepage.com/news/texarkana-news/marshall-residents-protest-gov-abbotts-mask-mandate-coronavirus-closures/,https://www.marshallnewsmessenger.com/covid-19/community-members-protest-state-closure-due-to-virus-outbreak/article_cb87c62e-bd90-11ea-b342-272d4ee7aeb5.html,,,,,
New Bern,Old Days Inn to Craven County Judicial Justice Building,,NC,US,2020-07-03,count pic,30,,40,,,Youth Navigating Toward Opportunities,"in support of victims of sexual assault, for police accountability",1,march,0,0,0,0,1,1,,Justice for Sam Justice for All,https://www.newbernsj.com/photogallery/NC/20200703/PHOTOGALLERY/703009991/PH/1,https://www.facebook.com/TheNCBeat/posts/3347981588566075,,,,,
Pensacola,Lee Square,,FL,US,2020-07-03,about 50,50,,50,,,general protesters,for keeping Confederate monument,2,protest,0,0,0,0,1,1,,BLM activists came to further dialogue but not counter-protest,https://www.pnj.com/story/news/2020/07/03/pensacola-lee-square-supporters-detractors-talk-peacefully-rally/5371305002/,,,,,,
San Fernando,,,CA,US,2020-07-03,,,,,,,Latina moms,"in remembrance of Vanessa Guillen, against sexual assault in the U.S. military",0,protest,0,0,0,0,1,1,,,https://abc7.com/society/vanessa-guillen-latina-moms-hold-solidarity-protest-in-san-fernando/6296679/,,,,,,
Santa Clarita,in front of Santa Clarita Valley Sheriff's Station,,CA,US,2020-07-03,more than 200,200,,200,,,residents,"in support of police, for President Trump",2,rally,0,0,0,0,1,1,,,https://signalscv.com/2020/07/pro-police-rally-held-in-front-of-scv-sheriffs-station/,,,,,,
Albuquerque,Civic Plaza,,NM,US,2020-07-04,about a dozen,12,,12,,,general protesters,"for President Trump, for patriotism",2,protest,0,0,0,0,1,1,,,https://www.krqe.com/news/albuquerque-metro/pro-trump-rally-held-in-civic-plaza-saturday/,,,,,,
Atlantic City,Atlantic Ave,,NJ,US,2020-07-04,count pic,2,,2,,,general protesters,"against Black Lives Matter, Blue Lives Matter, for patriotism, for President Trump",2,counter-protest,0,0,0,0,0,1,20200704-atlanticcity-blm,verbally confronted protesters,https://pressofatlanticcity.com/news/crime/atlantic-city-mayor-decries-organizers-motives-in-protest-against-racism/article_84cf981d-ee86-5a6d-8bcc-4a068019a895.html,https://www.nj.com/atlantic/2020/06/atlantic-city-trying-to-ward-off-george-floyd-protest-that-could-bring-pagans-bikers-to-town.html,https://www.nj.com/galleries/MEBSGHXTWVCDHKWPGGRNUZWFVQ/,,,,
Austin,Texas Governor's Mansion,,TX,US,2020-07-04,hundreds,200,,200,,,general protesters,"against coronavirus mandates, for freedom, for patriotism, against contact tracing, for Confederate heritage, for Second Amendment rights",2,caravan; rally,0,0,0,0,1,1,20200704-austin-covid,verbal and physical confrontations with counter-protesters,https://www.fox7austin.com/news/protesters-gather-at-texas-capitol-for-shed-the-mask-rally,https://www.kxan.com/news/local/austin/group-to-hold-anti-mask-protest-in-downtown-austin-today/,https://www.facebook.com/events/576361306354653/,,,,
Belgrade,Lewis and Clark Park,,MT,US,2020-07-04,,,,,,,Rage Against the State; Proud Boys,"against COVID-related restrictions, for libertarianism",2,rally,,,,,1,1,,,https://helenair.com/news/state-and-regional/rage-against-the-state-rallies-raise-concerns-of-groups/article_5a56e56b-018c-5dd4-a7fe-988127755eef.html,,,,,,
Bennington,Willow Park,,VT,US,2020-07-04,about 30,30,,30,,,general protesters,"against state coronavirus mandates, liberate Vermont",2,protest,0,0,0,0,1,1,,,https://www.benningtonbanner.com/uncategorized/liberate-vermont-protest-draws-30-to-willow-park/article_97d883ae-afc1-5ab9-a8d7-ccaf795508bf.html,,,,,,
Berkeley,I 80 Pedestrian Bridge,,CA,US,2020-07-04,,,,,,,National CODEPINK,"against war, for defunding the military, for defunding police, for investing in healthcare",1,banner drop,,,,,1,1,,,https://www.indybay.org/newsitems/2020/06/27/18834655.php,,,,,,
Bethlehem,Delaware Ave and Kenwood Ave,,NY,US,2020-07-04,,,,,,,general protesters,"in support of police, Back the Blue, for patriotism, All Lives Matter",2,counter-protest,0,0,0,0,1,1,20200704-bethlehem-blm,verbal clashes with protesters,https://www.timesunion.com/news/article/Tense-moments-at-competing-rallies-at-Bethlehem-15386199.php,,,,,,
Boston,Old State House,,MA,US,2020-07-04,about 50,50,,50,,,general protesters,"for President Trump, for patriotism",2,rally ,0,0,0,0,1,1,,,https://www.bostonglobe.com/2020/07/04/metro/dozens-hold-july-4-rally-old-state-house/,,,,,,
Brookings,parking lot of Goldilocks Antiques; GOP headquarters,Curry,OR,US,2020-07-04,,,,,,,Curry County Republicans,"for patriotism, for President Trump",2,rally,,,,,1,1,,,https://www.currypilot.com/news/gop-rally-101-cruise-planned-for-july-4/article_675b317e-bd48-11ea-8fe6-13a55b10d947.html,,,,,,
College Station,sidewalk and median at Texas Avenue and George Bush Drive,,TX,US,2020-07-04,more than 100,100,,100,,,general protesters,for justice for slain soldier Vanessa Guillen,0,protest,0,0,0,0,1,1,,,https://www.kbtx.com/2020/07/06/a-second-vanessa-guillen-demonstration-took-place-on-sunday-in-bryan/,https://theeagle.com/news/local/college-station-protest-draws-attention-to-slain-fort-hood-soldier-s-case/article_9298f706-be77-11ea-b6da-23b9d3a762dd.html,,,,,
