CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,,
Elko,Elko County Courthouse,Elko,NV,US,2019-09-05,,,,,,,Elko County Democratic Central Committee,protest the Trump administration’s handling of immigrants and asylum seekers and other issues,,protest; rally,,,,,,,https://elkodaily.com/news/local/govt-and-politics/elko-democrats-plan-protest-march/article_81f6da60-003a-56b9-9e35-82e631599d6d.html,,,,,,
Glen Falls,Centennial Circl,Warren,NY,US,2019-09-05,,,,,,,American Patriot Express,pro-Trump rally for women Trump supporters who love their country,,rally,,,,,,,https://poststar.com/news/local/pro-trump-rally-scheduled-for-thursday/article_88d56532-9ec9-5f55-bb45-a054d667964c.html,,,,,,
St. Louis,Washington University,St. Louis ,MO,US,2019-09-06,,,,,,,students,collective bargaining,0,Protest;march,0,0,0,0,1,1,https://www.kmov.com/news/demonstrators-block-streets-near-galleria-richmond-heights-pd-to-protest/article_802d28a8-d0fc-11e9-8e02-57dd98211a13.html,,,,,,
Mount Vernon,Hillcrest Park,Skagit,WA,US,2019-09-07,count pic,18,,18,,,Indivisible Skagit,Immigration; Against Trump's immigration policy,1,protest; relay,0,0,0,0,1,1,https://www.goskagit.com/news/local_news/skagit-activists-join-protest-against-trump-policies/article_bcec8bb5-d93b-5bbe-a23c-27b6e47a1003.html,,,,,,
Ada,Pontotoc County Courthouse,Pontotoc,OK,US,2019-09-07,,,,,,,general protesters,Addiction; Promoting addiction recovery,0,rally; march,0,0,0,0,1,1,https://www.theadanews.com/news/local_news/in-pictures-step-out-of-the-darkness-rally-held-saturday/article_4051b01a-5d91-56a1-b29a-1a00cfc1916c.html,,,,,,
Phoenix,Lyft Headquarters,Maricopa,AZ,US,2019-09-07,a dozen,12,,12,,,Lyft drivers,Collective bargaining; for better compensation,0,protest,0,0,0,0,1,1,https://www.fox10phoenix.com/news/demanding-a-change-valley-lyft-drivers-unite-and-protest-against-new-pay-rates,,,,,,
Colorado Springs,University of Colorado,El Paso,CO,US,2019-09-07,,,,,,,general protesters,For greater safety; Transportation,0,protest,0,0,0,0,1,1,https://www.fox21news.com/features/mothers-march-to-honor-their-children-killed-by-drunk-drivers/,,,,,,
Grand Rapids,Wealthy Theatre,Kent,MI,US,2019-09-07,,,,,,,general protesters,Civil Rights; Anti- LGBTQ+,0,protest,0,0,0,0,1,1,https://www.mlive.com/news/grand-rapids/2019/09/disability-drag-show-draws-sold-out-crowd-sparks-small-protest.html,,,,,,
Kingsport,Downtown,Sullivan,TN,US,2019-09-07,estimated 10000,10000,,10000,,,general protesters,Civil Rights; Pro- LGBTQ+,0,parade,0,0,0,0,1,1,https://www.timesnews.net/Community/2019/09/09/TriPride-draws-10-000.html,,,,,,
Kingsport,Downtown,Sullivan,TN,US,2019-09-07,from 9 to 5,5,,9,,,general protesters,Civil Rights; Anti- LGBTQ+,0,protest,0,0,0,0,1,1,https://www.timesnews.net/Community/2019/09/09/TriPride-draws-10-000.html,,,,,,
