CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
West Kendall,King Jesus International Ministry church,Dade,FL,US,2020-01-03,above 5000,5000,,5000,,,Evangelicals for Trump,for President Trump,2,rally,0,0,0,0,1,1,https://www.miamiherald.com/news/politics-government/article238811458.html,https://www.miamiherald.com/news/politics-government/national-politics/article238719928.html,,,
Albuquerque,Kirtland Airforce Base,Bernalillo,NM,US,2020-01-04,FB: 78; nearly a hundred ,78,,78,,,Answer Coalition,against war with Iran,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1440363672797726/,https://www.krqe.com/news/albuquerque-metro/new-mexicans-protest-additional-troops-in-middle-east/,,,
Algonquin,South Randell Rd,McHenry,IL,US,2020-01-04,more than 350 ,350,,350,,,Freedom Movement USA; Will County Young Republicans,for President Trump,2,rally,0,0,0,0,1,1,https://www.nwherald.com/2020/01/02/pro-trump-rally-scheduled-in-algonquin-1-of-many-across-midwest/a4g77dc/,https://www.kcchronicle.com/2020/01/04/pro-trump-rally-in-algonquin/au76juj/,https://www.dailyherald.com/news/20200104/hundreds-of-trump-supporters-rally-in-algonquin,,
American Canyon,Outside Las Casitas Mobile Home Park,Napa,CA,US,2020-01-04,more than a dozen,12,,12,,,general protesters,against eviction notices,0,protest,0,0,0,0,1,1,https://napavalleyregister.com/news/local/mobile-home-residents-protest-american-canyon-eviction-notices/article_e6bd7d24-d2db-5f9a-9286-3b3efadc27f3.html,,,,
Arlington,Mass Ave and Medford St; Arlington Center,Middlesex,MA,US,2020-01-04,,,,,,,Arlington United for Justice with Peace,against war with Iran,1,protest,,,,,1,1,https://twitter.com/LeisersonErin/status/1213495725402787840,https://www.facebook.com/events/3316401601709833/,,,
Asheville,Vance Monument,Buncombe,NC,US,2020-01-04,FB: 28,28,,28,,,Asheville Veterans for Peace,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/2835559023173354/,,,,
Athens ,the Arch in downtown Athens,Clarke,GA,US,2020-01-04,about 45,45,,45,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.redandblack.com/athensnews/athenians-protest-violence-in-iran-after-trump-ordered-killing-of/article_01401cf6-2fe5-11ea-b822-737f8c189fea.html,,,,
Atlanta,Little Five Points,Fulton,GA,US,2020-01-04,more than 100,100,,100,,,Answer Coalition,against war with Iran,1,protest,,,,,1,1,https://twitter.com/DSA_weed_caucus/status/1213565996528738305,https://www.facebook.com/events/478352799531934/,https://www.ajc.com/news/local/atlanta-protesters-demand-back-off-latest-middle-east-skirmish/yWiLEXRShSW6I4hr22dxcL/,,
Austin,Capitol,Travis,TX,US,2020-01-04,hundreds,200,,200,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/JesusPantel/status/1213571136728043527,https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.statesman.com%2Fnews%2F20200104%2Fhundreds-rally-at-capitol-to-protest-mounting-tensions-with-iran&data=02%7C01%7Cjeremy.pressman%40uconn.edu%7C8452834121c642ff374e08d7918f81e2%7C17f1a87e2a254eaab9df9d439034b080%7C0%7C0%7C637137917857838462&sdata=zYHlCNhJYEiFFDKm4H%2BDjvg%2Frjkg1G0UNq0qaE5Ggpo%3D&reserved=0,,,
Bethlehem,West Third and Wyandotte streets,Lehigh,PA,US,2020-01-04,about two dozen,24,,24,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.lehighvalleylive.com/bethlehem/2020/01/anti-war-protest-held-in-bethlehem-while-local-lawmakers-respond-to-escalating-tension-with-iran.html,,,,
