CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,AdHoc,CountLove,Source1,Source2,Source3,Misc.,TearGas,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,Source16,Source17
Richmond,Richmond City Justice Center,,VA,US,2020-09-01,dozens,24,,24,,,general protesters,"in protest of recent COVID-19 outbreak at county jail, for better protections against COVID-19 for inmates",1,protest,11,0,0,0,1,1,,,1,https://www.wtvr.com/news/local-news/arrests-made-during-protest-of-covid-19-outbreak-conditions-at-richmond-jail,https://www.wtvr.com/news/local-news/deputy-chief-addresses-clash-with-protesters-officer-did-what-he-had-to-do,,,0,,,,,,,,,,,,,,
Sacramento,Sacramento County Jail,,CA,US,2020-09-01,,,,,,,general protesters,"in solidarity with arrested protesters, Black Lives Matter",1,rally,,,,,1,1,,,1,https://www.kcra.com/article/group-rallies-outside-sacramento-county-jail-after-protesters-arrested/33866952#,,,,,,,,,,,,,,,,,,
San Francisco,,,CA,US,2020-09-01,,,,,,,Resistance SF,"for Medicare for all, for universal basic income; cancel rent; safe housing; living wage; equal education; racial justice",1,strike,,,,,1,1,,1,,https://www.instagram.com/p/CEYE01tBFWF/,,,,,,,,,,,,,,,,,,
San Jose,San Jose State University,,CA,US,2020-09-01,,,,,,,SJSU Football,Black Lives Matter,1,march,,,,,1,1,,1,,https://www.instagram.com/p/CElC5frhvbZ/,,,,,,,,,,,,,,,,,,
Saugerties,Market St and Main St,,NY,US,2020-09-01,,,,,,,general protesters,"against racism, against police brutality",1,demonstration,,,,,1,1,,1,,https://www.dailyfreeman.com/market-and-main-protest-against-injustice-in-saugerties-ny/video_3547c417-af6f-5f1b-8397-fb6b01334ac0.html,https://hudsonvalleyone.com/2020/07/24/letter-black-lives-matter/,,,,,,,,,,,,,,,,,
Seaside,outside Seaside City Hall,,FL,US,2020-09-01,,,,,,,general protesters,"against planned open-carry gun march, against terrorism",1,demonstration,0,0,0,0,1,1,,,1,https://www.oregonlive.com/news/2020/09/seaside-on-edge-over-planned-open-carry-march-sunday.html,,,,0,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-09-01,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,1,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,
Springfield,,,OR,US,2020-09-01,,,,,,,Springfield Education Association,"for delaying return to in-person school during coronavirus pandemic, for safe workplaces for teachers",0,demonstration,0,0,0,0,1,1,,,1,https://www.kezi.com/content/news/Springfield-teachers-union-leads-demonstration-against-in-person-classes-572289711.html,,,,0,,,,,,,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-09-01,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,,OH,US,2020-09-01,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-09-02,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,,,,,,,,,,,,,
Buffalo,"North Park Community School, Parkside Avenue",,NY,US,2020-09-02,,,,,,,community members,Black Lives Matter,1,protest,0,0,0,0,1,1,,,1,https://buffalonews.com/multimedia/black-lives-matter-demonstration-in-north-buffalo/collection_4fe31276-ed3d-11ea-84bc-5bca56d88bfc.html,,,,0,,,,,,,,,,,,,,
Burlington,Battery Park,,VT,US,2020-09-02,hundreds,200,,200,,,general protesters,"against racism, against police violence",1,occupation; march,0,0,0,0,1,1,,1,1,https://www.wcax.com/2020/09/09/burlington-city-council-holds-emergency-meeting-to-hear-from-protesters/,https://apnews.com/article/vt-state-wire-racial-injustice-327a803da820dc83a4569e0c81a3ebba,https://www.wcax.com/2020/09/02/weinberger-attempts-to-break-impasse-with-protesters/,,0,https://www.burlingtonfreepress.com/story/news/2020/09/02/protesters-firing-three-btv-officers-demonstration-continues-through-eighth-night-battery-park/5691150002/,,,,,,,,,,,,,
Charlottesville,The Lawn,,VA,US,2020-09-02,,,,,,,UVA Young Democratic Socialists of America,against in-person classes at University of Virginia during coronavirus pandemic,1,demonstration,0,0,0,0,1,1,,,1,https://dailyprogress.com/news/local/education/watch-now-uva-ydsa-holds-die-in-protest/video_f9c9cd87-826b-5e7c-95b9-2ced7ff94b81.html,,,die-in,0,,,,,,,,,,,,,,
