CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Chicago ,Cook County Jail,Cook,IL,US,2020-04-07,dozens; nearly 200,24,,200,,,"A Just Harvest; All of Us Or None Chicago; American Friends Service Committee; Assata’s Daughters; Believers Bail Out; Chicago Alliance Against Racist and Political Repression; Chicago Community Bond Fund; Circles & Ciphers; Community Renewal Society; Equity and Transformation (EAT); Liberation Library; Love & Protect; Moms United Against Violence and Incarceration; Organized Communities Against Deportations (OCAD); The People’s Lobby; Southsiders Organized for Unity and Liberation (SOUL); South Side Workers Center; Trinity United Church of Christ – Chicago, Unitarian Universalist Prison Ministry of Illinois; Westside Justice Center; Women’s Justice Institute; and Parole Illinois",for mass decarceration during COVID-19 pandemic,1,car protest,0,0,0,0,0,1,https://chicagobond.org/2020/04/07/statement-on-the-solidarity-caravan-calling-for-mass-release-of-incarcerated-people-in-the-name-of-public-health/,https://twitter.com/comradething/status/1247595511655383041,https://chicago.suntimes.com/coronavirus/2020/4/7/21212550/federal-judge-weighs-lawsuit-cook-cook-county-jail-coronavirus-response-tom-dart,http://www.fightbacknews.org/2020/4/8/chicago-over-200-cars-join-protest-demanding-mass-release-jails-detention-centers,
Lansing,State Capitol,Ingham,MI,US,2020-04-07,,,,,,,Michigan United for Liberty,against stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,https://www.detroitnews.com/story/news/politics/2020/04/07/govt-non-essential-protesters-hit-covid-19-restrictions/2960476001/,,,,
Miami,Krome Detention Center,,FL,US,2020-04-07,,,,,,,detainees,for release of detainees from ICE facility due to COVID-19 pandemic,0,demonstration,0,many,0,0,1,1,https://perilouschronicle.com/2020/04/07/uprising-at-krome-detention-center-florida/,,,,
Monroe,Barnes and Noble,Middlesex,NJ,US,2020-04-07,about 15,15,,15,,,Barnes and Noble employees,protest working while workers have been diagnosed with Covid-19,0,protest,0,0,0,0,1,1,https://www.nj.com/coronavirus/2020/04/with-5-infected-nj-warehouse-workers-protest-conditions-amid-coronavirus-outbreak.html,,,,
Dallas,General Electric Power Portfolio Facility,Dallas,TX,US,2020-04-08,at least a dozen,12,,12,,,GE workers,for increased workplace safety and making more ventilators during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.dallasnews.com/business/jobs/2020/04/08/hey-ge-we-can-make-ventilators-workers-protest-in-dallas-to-gain-work-increase-safety/,,https://www.usatoday.com/story/money/2020/04/08/covid-19-ge-workers-stage-protests-demanding-make-ventilators/2973582001/,https://www.usatoday.com/story/money/2020/04/08/covid-19-ge-workers-stage-protests-demanding-make-ventilators/2973582001/,
Fort Collins,Hospital Couriers office,Larimer,CO,US,2020-04-08,,,,,,,medical equipment couriers,for PPE for medical equipment couriers during coronavirus pandemic,1,sit in,0,0,0,0,1,1,https://www.coloradoan.com/story/news/2020/04/10/fort-collins-coronavirus-couriers-protest-sit-in-ppe-personal-protective-equipment-covid-19-tests/2974606001/,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2020-04-08,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Lynn,General Electric Facility,Essex,MA,US,2020-04-08,count pic ,12,,13,,,GE workers,for increased workplace safety and making more ventilators during coronavirus pandemic,0,stand-in,0,0,0,0,1,1,https://www.facebook.com/local201iuecwa/posts/3626726537397975,https://www.nbcboston.com/news/local/ge-workers-in-mass-to-protest-demanding-safety-measures-amid-coronavirus-pandemic/2104375/,https://www.dallasnews.com/business/jobs/2020/04/08/hey-ge-we-can-make-ventilators-workers-protest-in-dallas-to-gain-work-increase-safety/,https://www.usatoday.com/story/money/2020/04/08/covid-19-ge-workers-stage-protests-demanding-make-ventilators/2973582001/,
Minneapolis,U.S. Bank Plaza,Hennepin,MN,US,2020-04-08,dozens of cars,24,,24,,,general protestors,for cancellation of rent and mortgage payments during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.startribune.com/with-parade-of-vehicles-replacing-a-march-protesters-call-for-rent-and-mortgage-relief/569483722/,,,,
Monroe,Monroe Correctional Complex,Snohomish,WA,US,2020-04-08,estimated 50; 100-200,50,,200,,,prisoners,for better protections against COVID-19 in prison,0,protest,0,0,0,0,1,1,https://www.spokesman.com/stories/2020/apr/09/monroe-prison-back-under-control-after-inmates-pro/,https://perilouschronicle.com/2020/04/08/uprising-at-monroe-correctional-complex-washington-amidst-covid-19-outbreak/,,,
