CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
St. Louis,,,MO,US,8/6/2019,,,,,,,general protestors,pro-refugee; pro-immigrant,1,march,,,,,,1,https://twitter.com/JoshuaPotash/status/1158873698268528640,,,,,,
Albuquerque,First Unitarian Church of Albuquerque,,NM,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Asheville,Asheville Federal Building,,NC,US,8/7/2019,,,,,,,BeLoved Asheville,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Atlanta,intersection of Moreland Ave and Ponce de Leon.,,GA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://georgiapeace.org/2019/08/06/wed-aug-7-gpjc-vigil-stand-against-white-supremacy-and-racist-terrorism/,,,#ElPasoFirme Vigil,,,
Auburn,"First Universalist Church of Auburn, Unitarian Universalist",,ME,US,8/7/2019,,,,,,,Maine Poor People's Campaign,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Austin,Doug Sahm Hill at Butler Metro Park,,TX,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Austin,Emma S. Barrientos Mexican American Cultural Center,,TX,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/events/central-texas-community-vigil-for-the-el-paso-victims?referrer=referrer&rel=nofollow&source=source,,,#ElPasoFirme Vigil,,,
Brookfield,8 Corners,,IL,US,8/7/2019,,,,,,,Indivisible Brookfield,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Chicago,Douglas Park,,IL,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,,https://actionnetwork.org/events/vigil-to-honor-those-lost-in-chicago-el-paso-and-dayton?referrer=referrer&rel=nofollow&source=direct_link,,,#ElPasoFirme Vigil,,,
Chicago,Harrison Park,,IL,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Corpus Christi,La Retama Park,,TX,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Dallas,First Community Church,,TX,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Durham,School for Conversion parking lot,,NC,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
