CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Santa Fe,Bureau of Land Management’s headquarters,Santa Fe,NM,US,2018-12-05,,,,,,,"Tribal leaders, environmental groups, general protestors","protesting the sale of 84,000 acres of state lands for oil and gas drilling",1,protest,,,,,1,1,http://nmpoliticalreport.com/2018/12/04/opponents-to-rally-in-nm-over-sale-of-public-lands-for-drilling/,,,
Longmeadow,Longmeadow School Committee meeting,Hampden,MA,US,2018-12-05,several dozen,36,,36,,,general protestors,protesting the School Committee's decision not to renew the contract of Superintendent Martin O'Shea,0,protest,0,0,0,0,1,1,https://www.masslive.com/news/2018/12/dozens_attend_silent_protest_d.html,,,
Trenton,steps of the Statehouse Annex,Mercer,NJ,US,2018-12-05,dozens,24,,24,,,"New Jersey Sierra Club, Environment New Jersey, Food and Water Watch and Clean Water Action",rallying to pressure Gov. Phil Murphy to enact a moratorium on new natural gas infrastructure,0,rally,0,0,0,0,1,1,https://www.burlingtoncountytimes.com/news/20181205/environmental-groups-rally-for-moratorium-on-natural-gas-pipelines-other-infrastructure,,,
San Jose,city hall,Santa Clara,CA,US,2018-12-05,dozens,24,,24,,,general protestors,protesting city council's approval of land sale to Google,0,protest,8,0,0,0,1,1,https://sanfrancisco.cbslocal.com/2018/12/05/protesters-interrupt-sj-city-councils-google-land-vote-8-in-custody/,https://www.sfchronicle.com/business/article/Google-s-San-Jose-land-deal-vote-Police-remove-13443835.php?psid=bQY0R,,
Grand Rapids,Grand Valley State University Cook-DeVos Center for Health Sciences building,Kent,MI,US,2018-12-06,,,,,,,Movimiento Cosecha GR; general protestors,pro-immigration reform; against US use of tear gas at border,1,protest; march,0,0,0,0,1,1,https://www.woodtv.com/news/grand-rapids/protest-in-grand-rapids-over-tear-gas-at-border/1644478622,,,
Harrisburg,capitol rotunda,Dauphin,PA,US,2018-12-06,about a dozen,12,,12,,,general protestors,protest visitation and other restrictions on PA prisoners,0,protest,0,0,0,0,1,1,https://www.pennlive.com/news/2018/12/its-just-cruel-families-of-inmates-protest-gov-tom-wolf-at-christmas-ceremony.html,https://www.mcall.com/news/nationworld/pennsylvania/mc-nws-pennsylvania-capitol-tree-lighting-protest-20181206-story.html,,
Los Angeles,Cal State Northridge,Los Angeles,CA,US,2018-12-06,about 50,50,,50,,,students,protesting decrease in required cultural studies courses,0,protest,0,0,0,0,1,1,https://www.dailynews.com/2018/12/06/csun-students-faculty-protest-general-education-orders-they-fear-will-phase-out-cultural-studies/,,,
Nashville,outside Riverbend Maximum Security Institution,Davidson,TN,US,2018-12-06,40 or so,40,,40,,,general protestors,against capital punishment,0,protest,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/12/06/david-earl-miller-execution-death-penalty-protest-nashville-knoxville/2158571002/,,,
New Haven,Yale University,New Haven,CT,US,2018-12-06,over 100,100,,100,,,students,protest mandatory student income contribution at Yale,0,protest,0,0,0,0,1,1,https://yaledailynews.com/blog/2018/12/07/yalies-protest-sic/,,,
Oakland ,homeless encampment at Edes and Elmhurst in Deep East Oakland,Alameda,CA,US,2018-12-06,,,,,,,general protestors,protesting eviction of homeless encampment,1,protest,2,0,0,0,1,1,https://twitter.com/RickPaulas/status/1070829865224437760,,,
