CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Tipton,Iowa Courthouse on Main Street,IA,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,https://www.facebook.com/events/526402197748594/,,,,
Titusville,Space View Park,FL,US,2017-04-22,"hundreds; estimated 1,000",200,560,1000,220,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.floridatoday.com/story/news/local/2017/04/22/hundreds-titusville-march-science/100796452/,online submssion,,,
Tok,Memorial Park,AK,US ,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,https://www.facebook.com/events/1627010147606175/,,,,
Toledo,International Park in East Toledo,OH,US,2017-04-22,several hundred,300,300,300,330,270,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.toledoblade.com/local/2017/04/22/Earth-Day-rally-joins-hundreds-across-U-S.html,http://nbc24.com/news/local/march-for-science-toledo,,,
Toolik Lake,,AK,US ,2017-04-22,na,17,17,17,19,15,general protestors,March for Science,1,protest,0,0,0,0,1,1,https://www.polartrec.com/expeditions/arctic-ground-squirrel-studies-2017/journals/2017-04-22,,,count from pic at link,
Topeka,,KS,US,2017-04-22,,,,,,,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.kstatecollegian.com/2017/04/24/march-for-science-draws-hundreds-of-supporters-in-manhattan/,https://www.wibwnewsnow.com/earth-day-rally-promotes-eco-awareness-science-education/,,,
Trenton,Trenton War Memorial; march through downtown streets to New Jersey State House Annex,NJ,US,2017-04-22,about 1000,1000,1000,1000,1100,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.nj.com/mercer/index.ssf/2017/04/trenton_march_for_science_strikes_political_tone.html,,,,
Tucson,El Presidio Park,AZ,US,2017-04-22,about 2500,2500,2500,2500,2750,2250,general protestors,March for Science,1,rally; march,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/arizona-science/2017/04/21/march-science-events-expected-draw-thousands-arizona/100749772/,http://www.wildcat.arizona.edu/article/2017/04/march-for-science-tucson-ua-community-shows-their-colors-on-earth-day,http://tucson.com/news/science/tucson-s-science-rally-became-a-march-after-all/article_03796490-5afc-5597-8ea8-0a50897c8367.html,,
Tulsa,Johnson Park,OK,US,2017-04-22,a few hundred,300,300,300,330,270,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.tulsaworld.com/news/local/tulsa-earth-day-festivities-march-for-science-promote-environmentalism-empiricism/article_47b272a3-f1ac-50d8-bc1d-1436b42cf3aa.html,,,,
Twin Falls,outside the courthouse downtown,ID,US,2017-04-22,dozens; about 60,24,40,60,26,54,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.kmvt.com/content/news/Dozens-of-Magic-Valley-residents-march-for-science-in-Twin-Falls-420174563.html,,,,
Unity,,ME,US,2017-04-22,,,,,,,general protestors,March for Science,1,,,,,,1,1,http://mainepublic.org/post/more-1000-march-statewide-support-science#stream/0,,,,
Utica,Oneida Square to Franklin Square,NY,US,2017-04-22,approx 250,250,250,250,275,225,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.hitchnews.org/single-post/2017/04/25/Reports-on-the-March-for-Science,,,,
Valdosta,,GA,US,2017-04-22,,,,,,,general protestors,March for Science,1,,,,,,1,1,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,,,,
Walnut Creek,,CA,US,2017-04-22,na,1500,1500,1500,1650,1350,general protestors,March for Science,1,,,,,,1,1,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,,,,
Washington,National Mall; marched down Constitution Avenue to Capitol Hill,DC,US,2017-04-22,thousands; na,2000,19100,40000,2200,36000,general protestors,March for Science,1,march; rally,,,,,1,1,,http://www.miamiherald.com/news/local/community/miami-dade/article146173374.html,http://resistancereport.com/news/attendance-numbers-march-science/,,
Washington,,NC,US,2017-04-22,More than 250,250,250,250,275,225,Beaufort County Indivisble,March for Science,1,,,,,,1,1,http://www.witn.com/content/news/Thousands-attend-March-for-Science-events-420158743.html,http://www.wcti12.com/news/local-news/beaufort/250-people-march-on-science-in-washington/459105695,,,
Watertown,J.B. Wise Pavilion,NY,US,2017-04-22,about 160,160,160,160,176,144,Jefferson County Democratic Committee,March for Science,1,rally,0,0,0,0,1,1,http://www.watertowndailytimes.com/news03/watertown-plays-host-to-march-for-science-satellite-rally-20170423,,,,
Webster,Squirrel Ridge Farm,WI,US,2017-04-22,na,3,3,3,3,3,general protestors,March for Science,1,demonstration,0,0,0,0,1,1,https://www.facebook.com/events/358001147927893/,,,,
Wenatchee,Memorial Park,WA,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,https://www.wenatcheeworld.com/news/2017/apr/24/march-for-science/,,,,
West Palm Beach,march from Dreher Park to just across the way from Mar-a-Lago in Palm Beach,FL,US,2017-04-22,(see above),,,,,,general protestors,March for Science,1,march; rally,0,0,0,0,0,1,http://www.mypalmbeachpost.com/news/scientists-march-west-palm-get-our-voice-out-there/SxM0wclHlcspff67Z82KIN/,,,,
West Palm Beach,Meyer Amphitheater,FL,US,2017-04-22,several hundred,300,300,300,330,270,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.mypalmbeachpost.com/news/scientists-march-west-palm-get-our-voice-out-there/SxM0wclHlcspff67Z82KIN/,,,,
White Salmon,Rheingarten Park,WA,US,2017-04-22,,,,,,,general protestors,March for Science,1,march; rally,,,,,1,1,http://www.whitesalmonenterprise.com/news/2017/apr/13/march-science-will-walk-town-april-22/,,,,
Wichita,Sedgwick County Historic Courthouse/Mid-America Indian Center,KS,US,2017-04-22,,800,890,1000,880,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.kansas.com/news/local/article146193029.html,http://www.kwch.com/content/news/Hundreds-gather-in-Wichita-for-March-of-Science-420166743.html,,,
Wichita Falls,,TX,US,2017-04-22,,,,,,,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.newschannel6now.com/story/35217410/science-advocates-take-part-in-march-for-science,,,,
Wilkes-Barre,Luzerne County Courthouse,PA,US,2017-04-22,over 100,100,100,100,110,90,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://timesleader.com/news/local/653841/scores-rally-march-in-wilkes-barre-in-support-of-environment-science,,,,
Williamsburg,Merchant's Square to Capital Building,VA,US,2017-04-22,dozens; around 25,25,25,25,28,23,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.vagazette.com/news/va-vg-dozens-gather-locally-to-protest-science-funding-cuts-20170422-story.html,,,,
Wilmington,Roland Grise Middle School and ended at the Wilmington Earth Day Festival in Hugh MacRae Park,NC,US,2017-04-22,about 750,750,750,750,825,675,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.journalnow.com/news/local/triad-residents-join-global-protests-to-show-of-support-for/article_84749f8e-122c-53c6-805d-4dec92054b88.html,http://www.starnewsonline.com/news/20170422/wilmingtons-march-for-science-exceeds-expectations,,,
Winchester,Winchester City Hall,VA,US,2017-04-22,more than 100,100,100,100,110,90,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.winchesterstar.com/news/winchester/area-takes-part-in-march-for-science/article_db1cbd32-6e5f-59a4-ad04-41c7a7a63b4a.html,http://www.your4state.com/news/virginia/march-for-science-in-winchester/697426031,,,
Wooster,Public Square,OH,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,rally,0,0,0,0,1,1,https://www.the-daily-record.com/local%20news/2017/04/23/march-for-science-stresses-need-for-funding-scientific-research,,,,
Worcester,Institute Park; march to Elm Park,MA,US,2017-04-22,about 300,300,300,300,330,270,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.telegram.com/news/20170422/hundreds-stand-up-for-science-in-worcester,,,,
Yakima,downtown,WA,US,2017-04-22,about 200,200,200,200,220,180,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.yakimaherald.com/news/local/satellite-march-for-science-draws-about-to-downtown-yakima/article_f681aba2-27e7-11e7-b239-e300fd4a8e83.html,,,,
Yellow Springs ,downtown,OH,US,2017-04-22,na,25,30,35,28,32,general protestors,March for Science,1,,,,,,1,1,onsite eyewitness,https://www.facebook.com/events/327749827622093/,,,
Yellowstone National Park,Old Faithful,WY,US,2017-04-22,,,,,,,general protestors,March for Science,1,,,,,,1,1,http://www.kbzk.com/story/35218472/march-for-science-held-in-yellowstone,,,,
York,York County Courthouse,PA,US,2017-04-22,nearly 100,100,100,100,110,90,general protestors,rally for confederate flag supporters,2,rally,0,0,0,0,1,1,http://www.heraldonline.com/news/local/article146242199.html,,,,
Yosemite,Yosemite National Park,CA,US,2017-04-22,about 150,150,150,150,165,135,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.mercedsunstar.com/news/article146251284.html,,,,
Youngstown,Wick Park,OH,US,2017-04-22,about 200,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.thejambar.com/youngstown-stands-science/,,,,
Ypsilanti,in front of the Mark-Jefferson Science Complex building on the campus of Eastern Michigan University; Riverside Park,MI,US,2017-04-22,several hundred,300,300,300,330,270,Ypsi Huddle; general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2017/04/thousands_flood_streets_of_ann.html,http://purplewalruspress.blogspot.com/2017/04/hundreds-rally-and-march-for-science-in.html,,,
Bethel,School Street,CT,US,2017-04-23,as many as 500,500,500,500,550,450,general protestors,"Gay pride, pro-LGBTQ",1,march; rally,0,0,0,0,1,1,http://www.greenwichtime.com/local/article/Hundreds-march-in-Bethel-s-first-LGBTQ-pride-11093175.php,,,,
Concord,Outside Statehouse,NH,US,2017-04-23,about 350,350,350,350,385,315,general protestors,anti-Eversource new transmission line,0,protest,0,0,0,0,1,1,http://www.nh1.com/news/hundreds-circle-nh-statehouse-to-protest-northern-pass/,,,,
Dubuque,24 N. Grandview Ave,IA,US,2017-04-23,,,,,,,general protestors,March for Science,1,march,0,0,0,0,1,1,https://www.facebook.com/events/420145925010653/,,,,
Louisville,Metro Hall,KY,US,2017-04-23,hundreds; na,200,650,1200,220,1080,general protestors,March for Science/People’s Climate March,1,march; rally,0,0,0,0,1,1,https://www.facebook.com/events/387706918261497/permalink/391098531255669/,https://insiderlouisville.com/metro/social_good/supporters-of-science-to-gather-for-march-for-sciencepeoples-climate-march/,eyewitness count,,
Fort Snelling,1 Federal Way,MN,US,2017-04-23,eyewitness,49,,57,,,ACLU of Minnesota,"against ICE, for DREAMers, against Muslim ban, against border wall",1,rally,0,0,0,0,1,1,https://www.facebook.com/aclumn/photos/pb.75611556475.-2207520000.1493039486./10154613532771476/?type=3,online submission,,,
Philadelphia,Outside Philly PD,PA,US,2017-04-23,,,,,,,general protestors,protesting recent marijuana arrest,0,protest,0,0,0,0,1,1,http://www.phillyvoice.com/marijuana-advocates-plan-protest-outside-philly-police-headquarters-after-bust/,,,,
Portsmouth,Market Square,NH,US,2017-04-23,several hundred,300,300,300,330,270,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.seacoastonline.com/news/20170422/hundreds-join-occupy-nh-seacoasts-march-for-science,,,,
Santa Cruz,Sherriff's Posse's meeting house,CA,US,2017-04-23,50 or so,50,50,50,55,45,Ocean Street Extension Neighborhood Association,Anti-proposed new housing,0,protest,0,0,0,0,1,1,http://www.santacruzsentinel.com/government-and-politics/20170423/ocean-street-extension-residents-rally-against-santa-cruz-housing-project,,,,
Waynesville,Outside Courthouse,NC,US,2017-04-23,more than 300,300,323,350,330,315,general protestors,Protesting changes to ACA; support Obamacare,1,protest; rally,0,0,0,0,1,1,http://wlos.com/news/local/waynesville-protesters-rally-in-support-of-obamacare,,,,
Los Angeles ,Armenian Genocide Memorial Square,CA,US,2017-04-24,,,,,,,Unified Young Armenians,102nd anniversary of Armenian genocide,0,rally; march,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-armenian-genocide-march-20170423-htmlstory.html,,,,
Los Angeles ,Outside Turkish Consulate on Wilshire Boulevard,CA,US,2017-04-24,tens of thousands,10000,10000,10000,11000,9000,Armenian Genocide Committee,102nd anniversary of Armenian Genocide,0,rally; march,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-armenian-genocide-march-20170423-htmlstory.html,,,,
St. Paul,capitol,MN,US,2017-04-24,,,,,,,general protestors,pro-choice; protest MN anti-abortion bills,1,protest,0,0,0,0,1,1,http://minnesota.cbslocal.com/2017/04/24/anti-abortion-bills-debate/,,,,
Washington,Georgetown University,DC,US,2017-04-24,,,,,,,students,"protest Sebastian Gorka, President Trump’s top counterterrorism aide",1,protest,0,0,0,0,1,1,http://forward.com/fast-forward/369861/breaking-gorka-storms-out-of-georgetown-conference-after-student-questions/,,,,
Ypsilanti,Eastern Michigan University,MI,US,2017-04-24,more than 100,100,100,100,110,90,students,protest in response to St. Louis County grand jury decision not to charge Ferguson police officer in connection with shooting; against police brutality; against racism,0,protest; march,0,0,0,0,1,1,http://www.easternecho.com/article/2014/11/students-march-on-campus-in-protest-of-ferguson-decision,,,,
Flint,March to City Hall,MI,US,2017-04-25,,,,,,,Flint residents,"march to commemorate 3 years without clean water, pro-environment",0,march; protest,0,0,0,0,1,1,http://wwmt.com/news/state/flint-residents-march-to-mark-three-years-dealing-with-water-crisis,,,,
New Haven,Outside home of Yale president,CT,US,2017-04-25,,,,,,,Yale staff and students,protesting lack of union negotioations; support labor rights,0,protest,0,0,0,0,1,1,http://wtnh.com/2017/04/26/demonstrators-gather-at-yale-protest-lack-of-union-contract-negotiations/,,,,
New Haven,"outside President's House, Yale University",CT,US,2017-04-25,,,,,,,students,persuade Yale to begin collective bargaining; support labor rights,0,protest,0,0,0,0,1,1,http://yaledailynews.com/blog/2017/04/26/local-33-members-begin-hunger-strike/,,,,
New Haven,"outside President's House, Yale University",CT,US,2017-04-25,,,,,,,student union Local 33,persuade Yale to begin collective bargaining; support labor rights,0,hunger strike,0,0,0,0,0,1,http://yaledailynews.com/blog/2017/04/26/local-33-members-begin-hunger-strike/,,,,
Tulsa,Helmerich Park,OK,US,2017-04-25,about 40,40,40,40,44,36,general protestors,protesting signs restricting access to park,0,protest,0,0,0,0,1,1,http://www.tulsaworld.com/news/government/illegal-dumb-signs-limiting-activities-for-part-of-helmerich-park/article_3d558b65-8b47-5181-9881-be49a763536f.html,,,,
Vista,1800 Thibodo Rd,CA,US,2017-04-25,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,
Vista,1800 Thibodo Rd.,CA,US,2017-04-25,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,
Athens,Campus of University of Georgia,GA,US,2017-04-26,close to 30,30,30,30,33,27,students and community memebers,Protest new campus gun laws; against guns on campus; education,1,protest,0,0,0,0,1,1,http://www.redandblack.com/uganews/students-gather-at-the-arch-to-protest-campus-carry/article_b7a742fc-2ada-11e7-ac9b-9f5db717f332.html,,,,
Austin,State Capitol,TX,US,2017-04-26,,,,,,,general protestors,protesting bill that would make sanctuary cities illegal in Texas,1,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/unconstitutional-raucous-crowd-protests-sanctuary-cities-bill-texas-capitol/mUBFreXJZxStBG9QLwZF3K/,,,,
Austin,State Capitol,TX,US,2017-04-26,,,,,,,"students, parents",rally for charter school funding; education,0,rally,0,0,0,0,1,1,http://kxan.com/2017/04/26/kids-parents-rally-for-charter-school-funding/,,,,
Dayton,Outside school board meeting,OH,US,2017-04-26,hundreds,200,200,200,220,180,teachers,support new budget; education,0,rally,0,0,0,0,1,1,http://www.mydaytondailynews.com/news/local/dayton-teachers-rally-outside-school-board-meeting-contract-negotiations-continue/7cKZ0FDgFktAjLXEEqSHTP/,,,,
Honolulu,Campus of Heald College,HI,US,2017-04-26,,,,,,,students,protesting the college closing; education,0,rally; protest,0,0,0,0,1,1,http://khon2.com/2015/04/27/community-rallies-in-support-of-displaced-heald-college-students/,,,,
Independence,Fort Osage High School,MO,US,2017-04-26,around 100,100,100,100,110,90,parents and students,protesting racist social media posts,0,protest,0,0,0,0,1,1,http://www.kctv5.com/story/35254580/fort-osage-high-school-students-parents-protest-after-racist-threat,,,,
Indian Springs,Outside US Air Force base,NV,US,2017-04-26,about 25,25,25,25,28,23,general protestors,protesting military use of drones,1,protest,7,0,0,0,1,1,https://lasvegassun.com/news/2017/apr/26/7-arrested-in-protest-at-us-air-force-drone-base-i/,,,,
Kerr,Kerr County Courthouse,TX,US,2017-04-26,,,,,,,TX-21 Indivisible,for progressive climate change policy; pro-environment,1,rally,0,0,0,0,1,1,http://dailytimes.com/news/local/article_77bd7410-2588-11e7-8a6d-2f824f7de48d.html,,,,
Lansing,State Capitol,MI,US,2017-04-26,about 400,400,400,400,440,360,general protestors,pro-gun rights,2,rally,0,0,0,0,1,1,http://www.lansingstatejournal.com/story/news/2017/04/26/gun-rights-activists-rally-capitol/100943112/,,,,
New Haven,"outside President's House, Yale University",CT,US,2017-04-26,,,,,,,students,persuade Yale to begin collective bargaining; support labor rights,0,,,,,,1,1,http://wtnh.com/2017/04/26/demonstrators-gather-at-yale-protest-lack-of-union-contract-negotiations/,,,,
Pittsburgh,Outside Gov. Wolf's house,PA,US,2017-04-26,several,,,,,,general protestors,environmental policy protest; pro-environment,1,protest,0,0,0,0,1,1,http://www.observer-reporter.com/20170426/protesters_descend_on_wolfx2019s_pittsburgh_office_to_clear_the_air_on_methane,,,,
Providence,Outside state house,RI,US,2017-04-26,dozens,24,24,24,26,22,general protestors,rally to bring back free RIPTA fare,0,rally,0,0,0,0,1,1,http://wpri.com/2017/04/26/ripta-riders-rally-to-bring-back-free-fare/,,,,
Sacramento,March to Capitol,CA,US,2017-04-26,hundreds,200,200,200,220,180,nurses,rally for CA's new healthcare bill,1,rally; march,0,0,0,0,1,1,http://gazette.com/the-latest-california-nurses-rally-for-health-care-for-all/article/feed/455972,,,,
Schenectady,Outside GE building,NY,US,2017-04-26,dozens,24,24,24,26,22,Current and former GE employees,For better working conditions; support labor rights,0,protest,0,0,0,0,1,1,https://dailygazette.com/galleries/2017/04/26/union-rally-outside-ge,,,,
Sedalia,Smith-Cotton high school,MO,US,2017-04-26,more than 200,200,200,200,220,180,general protestors,protesting bullying,0,protest,0,0,0,0,1,1,http://sedaliademocrat.com/news/23726/hundreds-protest-suicides-bullying-in-sedalia-2,,,,
Washington,In front of US capitol,DC,US,2017-04-26,,,,,,,Coal miners and their suppporters,rally to keep healthcare for retired miners,1,rally,0,0,0,0,1,1,http://www.dominionpost.com/Miners-rally-for-benefits-breakt,,,,
Yonkers,,NY,US,2017-04-26,some,,,,,,students,for more school funding; education,0,rally,0,0,0,0,1,1,http://westchester.news12.com/news/yonkers-students-officials-rally-for-funding-to-rebuild-schools-1.13528951,,,,
Berkeley,Campus of UC Berkeley,CA,US,2017-04-27,hundreds,200,200,200,220,180,students,protesting Ann Coulter's cancellation,0,protest,0,0,0,0,1,1,http://www.brownsvilleherald.com/news/entertainment/article_a85544df-e700-57cd-9362-dc0cd252c55a.html,,,,
Berkeley,university; marched to California Hal,CA,US,2017-04-27,around 80,80,80,80,88,72,students; others,drop police charges vs student protestors,0,protest,0,0,0,0,1,1,http://www.dailycal.org/2016/04/29/protesters-gather-sproul-plaza-call-charges-student-demonstrators-dropped/,,,,
Binghamton,Couper Administration Building; Binghamton University,NY,US,2017-04-27,,,,,,,students; The Frances Beal Society,opposed to security measures seen as surveillance,0,sit-in,0,0,0,0,1,1,http://www.pressconnects.com/story/news/local/2017/05/01/binghamton-u-students-protest-city-security-measures/100972342/,,,,
Boulder,University of Colorado chancellor's office,CO,US,2017-04-27,,,,,,,students,support university divestment from fossil fuels; support addressing climate change,0,sit-in,0,0,0,0,1,1,http://www.dailycamera.com/cu-news/ci_30961638/student-activists-meet-cus-chancellor-urge-university-divest,,,,
New Haven,"outside President's House, Yale University",CT,US,2017-04-27,,,,,,,students,persuade Yale to begin collective bargaining; support labor rights,0,protest,0,0,0,0,1,1,http://fox61.com/2017/04/27/yale-grad-students-demonstrate-for-student-union-rights/,,,,
Amherst,Student Union to Hampshire House,MA,US,2017-04-28,estimated 50,50,50,50,55,45,students,demanding new contract for graduate employees; support labor rights,0,march; protest,0,0,0,0,1,1,http://dailycollegian.com/2017/04/28/geo-holds-rally-for-better-working-conditions/,,,,
Berkeley,Sproul Plaza,CA,US,2017-04-28,,,,,,,students,protesting arrest of a graduate student,0,protest,0,0,0,0,1,1,http://www.dailycal.org/2017/04/27/students-protest-arrest-campus-graduate-student-sproul-plaza/,,,,
Berkeley,university; Savio Steps,CA,US,2017-04-28,,,,,,,students; others,drop police charges vs student protestors,0,protest,0,0,0,0,1,1,http://www.dailycal.org/2017/04/27/students-protest-arrest-campus-graduate-student-sproul-plaza/,,,,
Hartford,outside the Abraham A. Ribicoff Federal Building,CT,US,2017-04-28,,,,,,,general protestors,against deportation of Luis Barrios,1,rally,0,0,0,0,1,1,http://www.courant.com/politics/hc-derby-father-deportation-rally-20170428-story.html#nt=oft12aH-1gp2,,,,
Jeffersonville,in front of Quartermaster Station,IN,US,2017-04-28,approximately 20,20,20,20,22,18,general protestors,protesting TrumpCare,1,protest,0,0,0,0,1,1,http://www.tribstar.com/indiana/news/local-protesters-fear-an-obamacare-replacement/article_f678c2c2-8d2f-5c5f-95cb-945b83b8d4f1.html,,,,
Las Cruces,Ramada Las Cruces Hotel and Conference Center,NM,US,2017-04-28,,,,,,,general protestors,support The Organ Mountains-Desert Peaks National Monument,1,rally,0,0,0,0,1,1,http://krwg.org/post/supporters-organ-mountains-desert-peaks-national-monument-rally-las-cruces,,,,
Las Cruces,Ramada Las Cruces Hotel,NV,US,2017-04-28,hundreds,200,200,200,220,180,general protestors,protesting Trump's recent executive order which jeopordized national parks,1,rally; protest,0,0,0,0,1,1,http://www.lcsun-news.com/story/news/local/2017/04/28/hundreds-attend-rally-support-national-monument/101050112/,,,,
New Haven,Beinecke Plaza,CT,US,2017-04-28,,,,,,,Yale College Republicans,against Yale union hunger strike; against labor rights,0,BBQ,0,0,0,0,1,1,http://yaledailynews.com/blog/2017/04/30/yale-college-republicans-hold-bbq-near-local-33/,,,,
Valdosta,across street from Lowndes County Courthouse,GA,US,2017-04-28,about 35,35,35,35,39,32,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,http://www.valdostadailytimes.com/news/local_news/tale-of-two-trumps-residents-rally-for-against-president-remain/article_b29d727b-7602-5861-8f52-b88da871856a.html,,,,
Valdosta,steps of the Lowndes County Courthouse,GA,US,2017-04-28,about 35,35,35,35,39,32,general protestors,anti-Trump; support impeachment,1,protest,0,0,0,0,0,1,http://www.valdostadailytimes.com/news/local_news/tale-of-two-trumps-residents-rally-for-against-president-remain/article_b29d727b-7602-5861-8f52-b88da871856a.html,,,,
Virginia Beach,,VA,US,2017-04-28,,,,,,,Southern Environmental Law Center; Business Alliance for Protecting the Atlantic Coast,Protest Trump's executive order approving offshore drilling,1,protest,0,0,0,0,1,1,http://wavy.com/2017/04/28/protest-in-va-beach-over-trump-offshore-drilling-order/,,,,
Akron,Wallhaven/Hardesty Park,OH,US,2017-04-29,,,,,,,general protestors,People's Climate March; support addressing climate change,1,,,,,,1,1,http://www.cleveland.com/weather/blog/index.ssf/2017/04/peoples_climate_march_planned.html,,,,
Asheville,downtown,NC,US,2017-04-29,,,,,,,general protestors,People's Climate March; support addressing climate change,1,march,0,0,0,0,1,1,http://wlos.com/news/local/march-for-climate-change-awareness-takes-over-downtown-asheville,,,,
Atlanta,Woodruff Park,GA,US,2017-04-29,hundreds,200,200,200,220,180,general protestors,Rallying for gun control,1,rally,0,0,0,0,1,1,http://wsav.com/ap/john-lewis-rallies-gun-control-advocates-as-nra-convenes/,,,,
Augusta,state house,ME,US,2017-04-29,more than 2000,2000,2000,2000,2200,1800,general protestors,People's Climate March; support addressing climate change,1,rally,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/ct-peoples-climate-march-20170429-story.html,,,,
Austin,from the Capitol to the University of Texas,TX,US,2017-04-29,about 3500,3500,3500,3500,3850,3150,general protestors,People's Climate March; support addressing climate change,1,march; rally,0,0,0,0,1,1,http://www.nydailynews.com/newswires/news/national/latest-thousands-texas-join-rallies-climate-article-1.3117454,,,,
Bend,"Drake Park Amphitheatre, march through downtown Bend to the Education Center",OR,US,2017-04-29,,,,,,,general protestors,People's Climate March; support addressing climate change,1,march; rally,,,,,1,1,https://www.facebook.com/events/100993850431743/,,,,
Boston,Boston Common,MA,US,2017-04-29,thousands,2000,2000,2000,2200,1800,general protestors,People's Climate March; support addressing climate change,1,,,,,,1,1,http://www.chicagotribune.com/news/nationworld/ct-peoples-climate-march-20170429-story.html,https://www.bostonglobe.com/metro/2017/04/29/rally-set-boston-common-demand-action-climate-change/V1usoUzk5GNE6EgWdfQPxJ/story.html,,,
Bozeman,Lindley Park,MT,US,2017-04-29,around 400,400,400,400,440,360,general protestors,People's Climate March; support addressing climate change,1,rally,0,0,0,0,1,1,http://www.kpax.com/story/35287158/peoples-climate-march-hits-the-streets-in-bozeman,,,,
Buffalo,Niagara Square then marched to the marina in Buffalo,NY,US,2017-04-29,hundreds,200,200,200,220,180,general protestors,People's Climate March; support addressing climate change,1,march; rally,0,0,0,0,1,1,http://www.wgrz.com/news/local/peoples-climate-march-held-in-buffalo/435228351,http://www.wkbw.com/news/hundreds-of-wnyers-rally-for-climate-change,,,
Caldwell,Caldwell Town Green,NJ,US,2017-04-29,,,,,,,general protestors,People's Climate March; support addressing climate change,1,,,,,,1,1,http://www.nj.com/politics/index.ssf/2017/04/climate_change_march_heres_how_to_participate.html,,,,
Calexico,at the International Border Fountain,CA,US,2017-04-29,,,,,,,Black Live Matters Imperial County; the NAACP Imperial County; Imperial Valley Social Justice,"to rally support of former Calexico resident Juan Montes, deported in February",1,rally,0,0,0,0,1,1,http://www.ivpressonline.com/news/local/black-lives-matter-rally-in-support-of-daca-deportee/article_99ff02ee-2d69-11e7-b64d-975377bfe317.html,,,,
Cedar Rapids,Green Square in Downtown Cedar Rapids to Representative Rod Blum's office and the Federal Courthouse,IA,US,2017-04-29,,,,,,,general protestors,People's Climate March; support addressing climate change,1,rally; march,,,,,1,1,http://www.kcrg.com/content/news/Sierra-Club-holds-climate-change-rally-in-Cedar-Rapids-420831504.html,,,,
Charlotte,Marshall Park,NC,US,2017-04-29,about 200,200,200,200,220,180,general protestors,People's Climate March; support addressing climate change,1,march; rally,,,,,1,1,http://www.charlotteobserver.com/news/local/article147608354.html,,,,
Cherry Valley,walk from the Old School Cafe on Genesee Street through the village and return to the Old School,NY,US,2017-04-29,,,,,,,Positive Action Cherry Valley,People's Climate March; support addressing climate change,1,march; rally,,,,,1,1,http://www.thedailystar.com/news/local_news/local-events-to-coincide-with-d-c-climate-rally/article_3f3de436-5025-5554-b019-1a5a2b363288.html,,,,
Chicago,from the city's federal plaza to Trump Tower,IL,US,2017-04-29,more than 2000,2000,2000,2000,2200,1800,general protestors,People's Climate March; support addressing climate change,1,march; rally,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/ct-peoples-climate-march-20170429-story.html,http://www.chicagotribune.com/news/local/breaking/ct-trump-climate-change-march-protest-chicago-20170429-story.html,,,
