CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Colorado Springs,outside City Hall,CO,US,2017-04-22,more than 800,800,890,1000,880,900,"general protestors; Unite Colorado Springs; The Colorado Springs Independent; the local Democratic, Green and Socialist parties",March for Science,1,rally,0,0,0,0,1,1,http://gazette.com/hundreds-rally-in-colorado-springs-for-fact-based-policies-on-climate-environment/article/1601554,,,,
Columbia,Eighth Street and Peace Park; rally at the Boone County Courthouse amphitheater ,MO,US,2017-04-22,hundreds,200,785,1500,220,1350,March for Science in Mid-Missouri,March for Science,1,march; rally,0,0,0,0,1,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,march organizers,,,
Columbia,State House,SC,US,2017-04-22,dozens; more than 1000,24,463,1000,26,900,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.wistv.com/story/35217915/march-for-science-rally-in-columbia-a-part-of-nationwide-demonstration,http://www.thestate.com/news/local/article146182714.html,,,
Columbus,Statehouse; High Street,OH,US,2017-04-22,Around 2000,2000,2900,4000,2200,3600,general protestors,March for Science,1,march; rally,,,,,1,1,http://abc6onyourside.com/news/local/rally-for-science-hits-columbus,https://twitter.com/ChemMan2013/status/855985765683277824,,,
Concord,statehouse,NH,US,2017-04-22,hundreds; about 2000,200,1010,2000,220,1800,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,"http://www.unionleader.com/Hundreds-gather-in-Concord-and-worldwide-in-celebration-of-science,-Earth-Day&template=mobileart",http://www.concordmonitor.com/Science-march-rally-for-Donald-Trump-held-hours-apart-in-Concord-9431928,,,
Coos Bay,downtown,OR,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,http://theworldlink.com/news/local/coos-bay-to-march-for-science/article_2d320748-b0c8-554b-b580-a4d05ccb6993.html,,,,
Corning,Corning-Painted Post High School,NY,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,http://www.stargazette.com/story/news/local/2017/04/20/march-science-saturday-corning/100702702/,,,,
Corpus Christi,bayfront,TX,US,2017-04-22,dozens,24,24,24,26,22,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.kristv.com/story/35218860/locally-and-nationwide-crowds-join-in-march-for-science,,,,
Corvallis,downtown,OR,US,2017-04-22,estimated 4000 to 5000,4000,4450,5000,4400,4500,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.gazettetimes.com/news/local/thousands-turn-out-for-corvallis-science-march/article_dcd992ec-31c7-54e4-b2d2-9e4df4908660.html,,,,
Coupeville,,WA,US,2017-04-22,,,,,,,general protestors,March for Science,1,march; rally,,,,,1,1,http://www.seattletimes.com/seattle-news/science/seattle-march-for-science-draws-thousands-on-earth-day-including-a-nobel-prize-winner/,,,,
Dallas,Dallas City Hall; ended at Fair Park,TX,US,2017-04-22,na,2500,2725,3000,2750,2700,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,https://www.dallasnews.com/news/science-medicine/2017/04/22/dallas-joins-600-cities-global-march-science,DPD estimate via lead organizer (web form),,
Davenport,Fejervary Park,IA,US,2017-04-22,about 200,200,200,200,220,180,general protestors; three Quad-City moms,March for Science,1,rally,0,0,0,0,1,1,http://qctimes.com/news/science-is-not-a-belief-but-a-truth/article_06dce578-9251-500b-8c98-7bc62923e45f.html,,,,
