City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
Bethlehem,Library to MLK Jr. Park,PA,US,2018-04-04,,,,,,,Bethlehem NAACP,March for racial equality,0,march,0,0,0,0,1,1,http://www.wfmz.com/news/lehigh-valley/bethlehem-rally-to-remember-mlk/725300207,,,,,
Boston,Boston PD HQ,MA,US,2018-04-04,,,,,,,general protestors,Protesting police brutality,0,protest,0,0,0,0,1,1,http://www.wcvb.com/article/protest-against-police-brutality-in-boston-on-anniversary-of-mlk-s-death/19688369,,,,,
Chandler,Hamilton High School,AZ,US,2018-04-04,,,,,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,https://www.abc15.com/news/region-phoenix-metro/central-phoenix/red-for-ed-arizona-teachers-protest-as-they-call-for-higher-pay,,,,,
Chapel Hill,Franklin Street and Columbia Street,NC,US,2018-04-04,FB: 11,11,,11,,,Carolina Circumcision Crisis Protest; Bloodstained Men,Protesting child circumcision,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/279005485928594/,http://www.bloodstainedmen.com/upcoming-events,,,,
Charlottesville,University of Virginia,VA,US,2018-04-04,over 100,100,,100,,,Students,Protesting sexual violence,0,protest,0,0,0,0,1,1,http://www.cavalierdaily.com/article/2018/04/uva-take-back-the-night-vigil-honors-survivors-of-sexual-assault,,,,,
Chicago,Daley Plaza,IL,US,2018-04-04,,,,,,,Black Lives Matter,Protesting state violence,0,protest,0,0,0,0,1,1,https://www.chicagomaroon.com/article/2018/4/7/professor-helps-organize-downtown-rally-solidari-2/,,,,,
Chicopee,,MA,US,2018-04-04,about 75,75,,75,,,Chicopee Education Association,Protesting stalled contract talks,0,protest,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2018/04/chicopee_teachers_protest_for.html,,,,,
Dayton,Outside Cargill,VA,US,2018-04-04,,,,,,,general protestors,Labor protest,0,protest,9,0,0,0,1,1,http://www.whsv.com/content/news/Nine-protesters-arrested-outside-Cargill-in-Dayton--478826273.html,,,,,
Des Moines,State Capitol,IA,US,2018-04-04,hundreds,200,,200,,,general protestors,Rallying for educational choice,0,rally,0,0,0,0,1,1,https://www.radioiowa.com/2018/04/05/school-choice-supporters-rally-at-the-iowa-state-capitol/,,,,,
East Lansing,Michigan State university,MI,US,2018-04-04,,,,,,,El-Sayed Election campaign,Campaign rally,1,rally,0,0,0,0,1,1,http://statenews.com/article/2018/04/abdul-el-sayeds-talks-gun-control-immigration-and-more-at-rally,,,,,
Escondido,City Hall,CA,US,2018-04-04,about 150,150,,150,,,general protestors,Rallying for sanctuary cities,1,rally,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/sd-no-escondido-protests-20180404-story.html,,,,,
Escondido,City Hall,CA,US,2018-04-04,a handful,5,,5,,,general protestors,Protesting sanctuary cities,2,protest,0,0,0,0,0,1,http://www.sandiegouniontribune.com/news/sd-no-escondido-protests-20180404-story.html,,,,,
Gary,MLK Jr. Blvd.,IN,US,2018-04-04,FB: 17,17,,17,,,United Afrikan Movement Gary/Chigao,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/508517132879483/,,,,,
Greensboro,Dorothy Brown Park,NC,US,2018-04-04,FB: 23,23,,23,,,Artists 4 Justice,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/373938499682001/,,,,,
Hampton,Bethel Church,VA,US,2018-04-04,FB: 38,38,,38,,,Hampton NAACP,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1887859134558336/,,,,,
