CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Decatur,Eisenhower High School,Macon ,IL,US,2019-11-05,,,,,,,general protesters,for new teaching assistant contracts,0,rally,0,0,0,0,1,1,https://herald-review.com/news/local/decatur-teaching-assistants-rally-for-new-contract-supports-address-school/article_65a711c5-9747-5bb1-a872-dd599e03ab67.html,,,,
Evanston,Northwestern University,Cook,IL,US,2019-11-05,around 150,150,,150,,,general protetsers,against decision to host former Attorney General Jeff Sessions,0,protest,0,0,0,0,1,1,https://dailynorthwestern.com/2019/11/06/campus/students-protest-jeff-sessions-speech-police-presence/,,,,
Honolulu,,Honolulu,HI,US,2019-11-05,about 200,200,,200,,,general protesters,against a bill that would ban a range of single-use plastic items,0,protest,0,0,0,0,1,1,https://www.westhawaiitoday.com/2019/11/07/hawaii-news/business-leaders-protest-honolulu-single-use-plastics-bill/,,,,
Kileen,Kileen City Hall,Bell,TX,US,2019-11-05,More than a dozen,12,,12,,,general protesters,the city government allegedly stopping this group from conducting an anti-crime march,1,protest,0,0,0,0,1,1,https://kdhnews.com/news/local/residents-protests-after-killeen-government-allegedly-refuses-them-to-hold/article_5831d758-002d-11ea-b246-274ccc35e72d.html,https://www.newsbreak.com/news/0NH1lpjX/residents-protests-after-killeen-government-allegedly-refuses-them-to-hold-anti-crime-march-through-town,,,
Kingsport,City Hall,Sullivan,TN,US,2019-11-05,,,,,,,general protesters,against the city's decision to prohibit structures placed in the right of way ,0,protest,0,0,0,0,1,1,https://www.timesnews.net/Local/2019/11/05/Protesters-pack-BMA-meeting.html,,,,
Mount Pleasant,Finch Fieldhouse at Central Michigan University,Isabella,MI,US,2019-11-05,na,8,,8,,,students,against animal cruelty and use of animals in circus entertainment,0,protest,0,0,0,0,1,1,http://www.cm-life.com/article/2019/11/students-protest-circus-nov-5-2019,,,,
New Haven,Yale University,New Haven,CT,US,2019-11-05,na,5,,5,,,students,against professor associated with military,0,protest,0,0,0,0,1,1,https://yaledailynews.com/blog/2019/11/06/students-protest-professors-seminar/,,,,
Oakland,,Alameda,CA,US,2019-11-05,dozens,24,,24,,,general protetsters,against AB5; for right to be independent contractors,0,protest,0,0,0,0,1,1,https://www.sfchronicle.com/business/article/Truckers-protest-California-gig-work-law-that-14815249.php,,,,
Portland,Portland International Airport,Multnomah ,OR,US,2019-11-05,about 15,15,,15,,,general protesters,against Gordon Sondland in Trump impeachment case,1,protetst,0,0,0,0,1,1,https://pamplinmedia.com/pt/9-news/442942-357213-sondland-returning-from-dc-greeted-by-protesters-at-pdx,,,,
Vancouver,port of Vancouver,Clark,WA,US,2019-11-05,about 20,20,,20,,,Portland Rising Tide and Mosquito Fleet,"against construction of a pipeline, pro-environment",1,protest,5,0,0,0,1,1,https://www.columbian.com/news/2019/nov/05/protestors-block-ship-from-entering-port-of-vancouver/,,,"suspicion of criminal trespass, obstruction, and failure to disperse",
Willoughby Hills,,Lake,OH,US,2019-11-05,count pic,21,,21,,,general protesters,against failed levy; for funding school,0,walk out,0,0,0,0,1,1,https://fox8.com/2019/11/06/students-from-willoughby-eastlake-school-district-walk-out-in-protest-of-failed-levy/,,,,
Atherton,outside home of former Uber board member,San Mateo,CA,US,2019-11-06,30-some,30,,30,,,members of Mobile Workers Alliance,against Uber profit at expense of drivers pay,0,protest,0,0,0,0,1,1,https://www.latimes.com/business/story/2019-11-06/uber-lock-up-period-ends-with-falling-stock-protests,,,,
Atherton,,San Mateo,CA,US,2019-11-06,about 30,30,,30,,,general protesters,to improve working conditions and wages for gig economy workers; against Uber,0,protest; march,0,0,0,0,1,1,https://www.almanacnews.com/news/2019/11/06/atherton-uber-drivers-other-contract-workers-protest-outside-of-uber-investors-home,,,,
Bedford,,Westchester,NY,US,2019-11-06,,,,,,,general protesters,against possible school closings,0,protest,0,0,0,0,1,1,http://hudsonvalley.news12.com/story/41289442/bedford-parents-protest-possible-school-closings,,,,
Bennington,Bennington College,Bennington ,VT,US,2019-11-06,more than 100,100,,100,,,general protesters,for faster process toward new contract for unionized workers,0,protest,0,0,0,0,1,1,"https://www.benningtonbanner.com/stories/students-rally-to-support-unionized-college-workers,589517",,,,
Beverly Hills,in front of the homes of Uber co-founder,Los Angeles,CA,US,2019-11-06,,,,,,,members of Mobile Workers Alliance,against Uber profit at expense of drivers pay,0,protest,0,0,0,0,1,1,https://www.cnet.com/news/uber-sees-sinking-stock-and-driver-protests-as-lockup-period-ends/,https://twitter.com/GenaroMolina47/status/1192268851171360768,,,
Bloomsburg,Bloomsburg University,Columbia,PA,US,2019-11-06,around 500,500,,500,,,general protetsters,against racism ,0,protest; march,0,0,0,0,1,1,https://wnep.com/2019/11/06/bloomsburg-students-protest-racist-attitudes-on-social-media/,,,,
Boston,Boston Medical Center,Suffolk,MA,US,2019-11-06,hundreds; some 250,200,,250,,,employees of the Boston Medical Center,against visit by Melania Trump,1,protest,0,0,0,0,1,1,https://www.bostonherald.com/2019/11/06/melania-trump-focuses-on-addicted-babies-not-protests/,https://www.cnn.com/2019/11/06/politics/melania-trump-boston-protests/index.html,https://www.boston.com/news/local-news/2019/11/05/boston-medical-center-employees-to-protest-melania-trumps-visit-on-wednesday,,
