date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-09-01,New York,NY,"New York City Hall, Manhattan",,,,,Legal Aid Society; 1199 SEIU; VOCAL-NY; UAW,lawyers; clients,"against filthy and unsafe conditions in city courthouses during coronavirus pandemic, for safer workplaces for lawyers and court employees",0,protest,,,,,,,,,,,,https://www.amny.com/police-fire/courts/lawyers-defendants-rally-against-filthy-conditions-in-city-courthouses/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,New York,NY,"Presbyterian Hospital, 512 E 71st St, Manhattan",,,,,,,"against COVID-19 vaccination mandate for healthcare workers, coercion is not consent, heroes to zeroes, no jab no job no way ",2,protest,,,,,,,,,,,,https://twitter.com/ScooterCasterNY/status/1433104257541148680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,New York,NY,"United Metro Energy Corp., 500 Kingsland Ave, Brooklyn",,,,,Teamsters Local 553,,for higher pay and better health benefits for United Metro Energy workers,0,strike; picket,,,,,,,,,,,,https://inthesetimes.com/article/united-metro-energy-labor-politics-unions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Norcross,GA,"Mondelez International/Nabisco Foods, 6300 Brook Hollow Pkwy",,,,,BCTGM,workers,"for a fair contract for Nabisco Bakery workers, against unfair labor practices, against outsourcing jobs to Mexico",0,strike,,,,,,,,,,,,https://www.oregonlive.com/business/2021/08/strike-at-ne-portland-nabisco-bakery-spreads-to-5-other-facilities-gains-national-attention.html?utm_campaign=oregonian_sf&utm_source=twitter&utm_medium=social,https://twitter.com/MorePerfectUS/status/1429833171776983044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Omaha,NE,"St. Francis Ministries - Nebraska, 3311 N 93rd St",,three,3,3,,employees,against excessive workloads for child welfare case managers with St. Francis Ministries,0,walkout,,,,,,,,,,,,https://omaha.com/news/state-and-regional/govt-and-politics/st-francis-workers-protest-high-caseloads/article_e208dae0-0cf5-11ec-831b-8b8193cfc8a4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Oxford,MS,"Baptist Memorial Hospital-North Mississippi, 1100 Belk Rd",,more than 100,100,100,Mississippians Against Mandates,healthcare workers; families; friends; associates,"against COVID-19 vaccination mandate for healthcare workers, my body my choice",2,protest,,,,,,,,,,,,https://www.oxfordeagle.com/2021/09/01/choice-not-force-baptist-memorial-employees-associates-protest-vaccine-mandate/,https://cdispatch.com/news/2021-09-03/workers-protest-mississippi-hospitals-covid-vaccine-mandate/,https://www.hottytoddy.com/2021/09/04/medical-workers-and-supporters-protest-vaccination-mandate/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Parker,CO,Legend High School,,count video,40,50,,students,"against coronavirus mask mandate in schools, against child abuse, for patriotism",2,walkout,,,,,,,,,,,,https://townhall.com/tipsheet/scottmorefield/2021/09/01/colorado-high-school-students-stage-walkout-to-protest-mask-mandate-n2595182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Pontiac,MI,Oakland County Circuit Court,,count video,25,35,Michigan Cannabis Freedom Coalition,,"for justice for Rudi Gammo, against excessive punishment for drug crimes",0,protest,,,,,,,,,,,,https://www.clickondetroit.com/news/local/2021/09/01/rick-wershe-jr-and-others-protest-prison-sentence-of-metro-detroit-dispensary-owner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Portland,ME,Monument Square,,dozens; about 50,24,50,Planned Parenthood of Northern New England,,"for abortion rights, for women's rights, bans off our bodies",1,protest,,,,,,,,,,,,https://www.newscentermaine.com/article/news/politics/national-politics/mainers-take-to-portland-streets-to-protest-new-texas-anti-abortion-law/97-1b0eedb4-9c8b-4b1a-b737-3d9227ee5596,https://www.pressherald.com/2021/09/01/advocates-in-portland-protest-texas-approval-of-law-banning-most-abortions/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Portland,OR,"Mondelez International Bakery, 100 NE Columbia Blvd",,,,,BCTGM Local 364,workers,"for a fair contract for Nabisco Bakery workers, against unfair labor practices, against outsourcing jobs to Mexico",0,strike; picket,,,,,,,,,,,,https://www.wweek.com/news/2021/09/01/the-bakers-strike-at-the-nabisco-factory-heats-upwith-both-sides-digging-deep-into-their-playbooks/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
