CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Albany,Capitol,Albany,NY,US,2019-03-05,,,,,,,Healthcare Association of New York,Healthcare; Against budget,0,rally,0,0,0,0,1,1,https://www.watertowndailytimes.com/news03/heath-care-services-across-state-participate-in-albany-rally-20190305,,,20477
Albany,Capitol,Albany ,NY,US,2019-03-05,,,,,,,New York Immigration Coalition,Other; For greater funding; Census,0,rally,0,0,0,0,0,1,https://apnews.com/0fb4342de2f146f0a249ede9034e4b5c,,,20479
Albany,Capitol,Albany,NY,US,2019-03-05,,,,,,,general protestors,Against budget; Education,0,rally,0,0,0,0,0,1,https://www.wgrz.com/article/news/education/groups-to-rally-at-state-capitol-for-higher-education-funding/71-bd68b9af-e141-4e05-b752-4fe4b47c0952,,,20497
Boulder,City Council,Boulder,CO,US,2019-03-05,,,,,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,0,protest,0,0,0,0,1,1,https://www.denverpost.com/2019/03/05/boulder-council-officers-black-man-picking-up-trash/,,,20553
Carthage,Carthage Area Hospital,Jefferson,NY,US,2019-03-05,,,,,,,1199 SEIU United Healthworkers East,Healthcare; Against budget,0,rally,0,0,0,0,1,1,https://www.watertowndailytimes.com/news03/heath-care-services-across-state-participate-in-albany-rally-20190305,,,20478
Cincinnati,Kroger Headquarters,Hamilton ,OH,US,2019-03-05,,,,,,,PETA,For animal welfare; Other,0,protest,0,0,0,0,1,1,https://www.cincinnati.com/story/news/2019/03/04/kroger-face-peta-protest-tuesday-over-egg-source/3054984002/,,,20464
Denver,Capitol,Denver,CO,US,2019-03-05,,,,,,,general protestors,Environment; For fossil fuels,2,protest,0,0,0,0,1,1,https://www.sentinelcolorado.com/news/state-and-region/legislature/colorado-lawmakers-and-protesters-from-both-sides-start-on-contentious-oil-gas-overhaul/,,,20472
Denver,Capitol,Denver,CO,US,2019-03-05,,,,,,,general protestors,Environment; Against fossil fuels,1,protest,0,0,0,0,0,1,https://www.sentinelcolorado.com/news/state-and-region/legislature/colorado-lawmakers-and-protesters-from-both-sides-start-on-contentious-oil-gas-overhaul/,,,20483
Escondido,Central Elementary School,San Diego,CA,US,2019-03-05,about 15,15,,15,,,teachers,Collective Bargaining; For better compensation,0,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/communities/north-county/sd-no-escondido-teachers-protest-20190305-story.html,,,20485
Homestead,Miami-Dade Juvenile Residential Facility,Miami-Dade,FL,US,2019-03-05,,,,,,,general protestors,Families; For compassionate immigration; Immigration,1,protest,0,0,0,0,1,1,https://wsvn.com/news/local/protesters-rally-outside-homestead-juvenile-center/,,,20480
