CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,Source4,Source5
Columbus,Ohio Statehouse,OH,USA,2017-03-04,Groups of hundreds,200,200,200,220,180,March 4 Trump,Pro Trump,2,demonstrations,0,0,0,0,1,1,http://www.cbsnews.com/news/trump-supporters-opponents-clash-outside-ohio-statehouse-on-day-of-protests/,http://www.dispatch.com/news/20170304/protesters-disrupt-pro-trump-rally-outside-statehouse,,,,
Council Bluffs,West Broadway and 16th Street,IA,USA,2017-03-04,Close to a hundre,75,86,100,83,90,Spirit of America,Pro-Trump,2,Demonstration,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/join-pro-trump-rally-in-the-bluffs-similar-gatherings-held/article_c5a668fd-f7c6-57e8-836b-44669359d185.html,http://www.3newsnow.com/news/local-news/council-bluffs-crowd-rallies-in-support-of-president-donald-trump,,/////,,
Davenport,"Warehouse next to Davenport Guns, 3701 Mississippi Ave., Davenport",IA,USA,2017-03-04,Hundreds; More than 200,200,200,200,220,180,Spirit of America; Davenport Guns,Pro-Trump,2,Rally,0,0,0,0,1,1,http://qctimes.com/news/local/trump-rally-attracts-support-in-davenport/article_69fc8d0e-4c33-56a0-b27d-aed08fa9f5a9.html,http://www.kwqc.com/content/news/Trump-supporters-gather-in-Davenport-Saturday-415405183.html,,,,
Denver,State Capitol,CO,USA,2017-03-04,hundreds,200,200,200,220,180,General protestors,March 4 Trump,2,rally,0,0,0,0,1,1,http://www.thedenverchannel.com/news/politics/march-4-trump-rally-brings-dozens-of-supporters-to-colorado-state-capitol,http://www.denverpost.com/2017/03/04/hundreds-rally-outside-capitol-to-show-support-for-president-trump/,http://www.koaa.com/story/34666337/several-hundred-people-attend-march-4-trump-rally-in-denver,,,
Denver,State Capitol,CO,USA,2017-03-04,dozens,24,31,40,26,36,antifa,anti-Trump,1,rally,1,0,0,0,0,1,http://www.thedenverchannel.com/news/politics/march-4-trump-rally-brings-dozens-of-supporters-to-colorado-state-capitol,http://www.denverpost.com/2017/03/04/hundreds-rally-outside-capitol-to-show-support-for-president-trump/,http://www.koaa.com/story/34666337/several-hundred-people-attend-march-4-trump-rally-in-denver,,,
Des Moines,Capitol Building,IA,USA,2017-03-04,A few hundred,200,200,200,220,180,Spirit of America,Pro-Trump,2,Rally,0,0,0,0,1,1,http://www.kcci.com/article/march-4-trump-rallies-held-in-iowa/9092487,http://www.desmoinesregister.com/story/news/politics/2017/03/04/trump-supporters-gather-spirit-america-rally/98739128/,,,,
Eden Prairie,Eden Prairie Park,MN,USA,2017-03-04,More than 150 people,150,150,150,165,135,India Association of Minnesota,Anti-hate,1,Rally; peace march; vigil,0,0,0,0,1,1,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,,,,,
Erie,West Perry Square,PA,USA,2017-03-04,About 100,100,100,100,110,90,Spirit of America,Pro Trump policies,2,demonstration,0,0,0,0,1,1,http://www.goerie.com/news/20170304/supporters-rally-for-trump-in-erie,http://www.foxnews.com/us/2017/03/05/arrests-made-after-some-march-4-trump-rallies-turn-violent.html?null,,,,
Farmington,Farmington Museum at Gateway Park,NM,USA,2017-03-04,dozens; between 85 and 90,85,87,90,94,81,organizer Steve Clark; general protestors,Pro immigration,1,demonstration,0,0,0,0,1,1,http://www.daily-times.com/story/news/local/farmington/2017/03/04/pro-immigrant-rally-draws-dozens-participants/98747704/,,,,,
Fort Mayne,Allen County Courthouse,IN,USA,2017-03-04,Around 20,20,20,20,22,18,March 4 Trump,Pro-Trump,2,demonstration,0,0,0,0,1,1,http://wane.com/2017/03/04/supporters-gather-to-march-4-trump-amidst-counter-protest/,,,,,
Fort Mayne,Allen County Courthouse,IN,USA,2017-03-04,na,40,40,40,44,36,General Protest,counter protest; anti-Trump,1,demonstration,0,0,0,0,0,1,http://wane.com/2017/03/04/supporters-gather-to-march-4-trump-amidst-counter-protest/,,,,,
Grand Rapids,Calder Plaza,MI,USA,2017-03-04,More than 100,100,100,100,110,90,March 4 Trump,Pro Trump,2,rally,0,0,0,0,1,1,http://www.hollandsentinel.com/news/20170304/dual-protests-boast-support-and-defiance-towards-president-trump,http://startrends.xyz/news/Anti-Trump-protest-held-in-Grand-Rapids,,,,
Grand Rapids,Rosa Parks Circle,MI,USA,2017-03-04,More than 100,100,100,100,110,90,General protest,counter protest; anti-Trump,1,counterprotest,0,0,0,0,0,1,http://www.hollandsentinel.com/news/20170304/dual-protests-boast-support-and-defiance-towards-president-trump,http://startrends.xyz/news/Anti-Trump-protest-held-in-Grand-Rapids,,,,
Hood River,Overlook Memorial Park,OR,USA,2017-03-04,about 20 people,13,16,20,14,18,General Protestors,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,https://www.facebook.com/events/1383006838485521/,http://www.hoodrivernews.com/news/2017/mar/15/standing-trump/,,,,
Hot Springs,Downtown,AK,USA,2017-03-04,more than a hundred,100,100,100,110,90,Organizers with the Republican Party of Arkansas,March 4 Trump; pro-Trump,2,Rally,0,0,0,0,1,1,http://www.nwahomepage.com/news/more-than-a-hundred-people-gather-for-march-4-trump/667064450,,,,,
Houston,Fry Road Park,TX,USA,2017-03-04,dozens: more than 75,24,47,75,26,68,General protestors,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,http://www.topix.com/forum/houston/TVCJ1O5FA7OKU6CN3,http://www.chron.com/news/houston-texas/article/Dozens-of-Trump-supporters-gather-in-Katy-to-10977238.php,,,,
Indianapolis,Statehouse,IN,USA,2017-03-04,About 30; thirty five to forty,30,35,40,33,36,March 4 Trump,March 4 Trump; pro-Trump,2,demonstration,0,0,0,0,1,1,http://www.news-sentinel.com/news/us-and-world/The-Latest--30-gather-at-pro-Trump-rally-in-Indianapolis,http://www.indystar.com/picture-gallery/news/2017/03/04/march-4-trump-in-indianapolis/98741162/,,,,
Kingston,Broadway,NY,USA,2017-03-04,,500,500,500,550,450,General protestors,"support more funding for education, support prison reform",0,demonstration,0,0,0,0,1,1,http://www.midhudsonnews.com/News/2017/March/05/Kings_ed_aid_rally-05Mar17.htm,,,,,
Lake Oswego,George Rogers City Park,OR,USA,2017-03-04,roughly 200; 387 went,200,284,387,220,348,Patriot Prayer,"for President Trump, for patriotism, for police, for white supremacy, for antisemitism",2,rally; march,0,1,0,0,1,1,http://portlandtribune.com/lor/48-news/348398-227938-trump-supporters-protesters-clash-in-lake-oswego,https://www.facebook.com/events/283725755375146/,http://www.opb.org/news/article/march-4-trump-lake-oswego-oregon-rally/,,https://www.wweek.com/news/2017/03/04/lake-oswego-march-4-trump-devolves-into-incoherent-animal-noises/,https://newlinesmag.com/argument/how-portland-stopped-the-proud-boys/
Lake Oswego,George Rogers City Park,OR,USA,2017-03-04,20-30,20,25,30,22,27,General protestors,"against President Trump, against white supremacy and fascism",1,counter-protest,3,0,0,0,0,1,http://portlandtribune.com/lor/48-news/348398-227938-trump-supporters-protesters-clash-in-lake-oswego,https://www.facebook.com/events/283725755375146/,http://www.opb.org/news/article/march-4-trump-lake-oswego-oregon-rally/,,,
Lakeview,513 N Center St,OR,USA,2017-03-04,31 went,31,31,31,34,28,General protestors,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,https://www.facebook.com/events/1944192455808949/?active_tab=about,,,,,
Lansing,State Capitol,MI,USA,2017-03-04,about 200,200,200,200,220,180,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,http://www.reuters.com/article/us-usa-trump-supporters-idUSKBN16B0O8?utm_campaign=trueAnthem:+Trending+Content&utm_content=58bb957704d3011dd2384809&utm_medium=trueAnthem&utm_source=twitter,,,,,
Lansing,State Capitol,MI,USA,2017-03-04,About 100,100,100,100,110,90,general Protest,Counter rally; Anti-Trump,1,counterprotest,0,0,0,0,0,1,http://www.detroitnews.com/story/news/local/michigan/2017/03/04/demonstrators-clash-pro-trump-rally-lansing/98740832/,,,,,
Las Vegas,Trump International Building,NV,USA,2017-03-04,suggested 200,200,200,200,220,180,General protestors,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,http://www.reviewjournal.com/news/politics-and-government/nevada/pro-trump-demonstrators-rally-outside-las-vegas-hotel,http://news3lv.com/news/local/about-200-march-for-and-against-president-trump-in-las-vegas,,,,
Las Vegas,,NV,USA,2017-03-04,,,,,,,General protestors,counter-protestors; anti-Trump,1,counter-protest,,,,,0,1,http://www.reviewjournal.com/news/politics-and-government/nevada/pro-trump-demonstrators-rally-outside-las-vegas-hotel,,,,,
Longmont,6th Ave and Main St,CO,USA,2017-03-04,300,300,,300,,,Indivisible,"against President Trump, for immigrants' rights, for ACA",1,vigil,,,,,1,1,online submission,,,,,
Matthews,outside Stumpton Park,NC,USA,2017-03-04,dozens,24,24,24,26,22,general protesters,anti-Trump,1,counterprotest,0,0,0,0,0,1,http://www.wcnc.com/news/local/supporters-hold-rally-in-support-of-president-trump/419818887,http://www.wsoctv.com/news/local/trump-supporters-come-together-hold-rally-after-presidents-controversial-tweets/499605824,,,,
Matthews,Stumpton Park,NC,USA,2017-03-04,About 100; Hundreds,100,145,200,110,180,Spirit of America,Pro Trump,2,rally,0,0,0,0,1,1,http://www.wcnc.com/news/local/supporters-hold-rally-in-support-of-president-trump/419818887,http://www.wsoctv.com/news/local/trump-supporters-come-together-hold-rally-after-presidents-controversial-tweets/499605824,,,,
Middletown,intersection on Rt. 35,NJ,USA,2017-03-04,About 150,150,150,150,165,135,General Protest,Pro Trump policies,2,rally,0,0,0,0,1,1,http://www.nj.com/monmouth/index.ssf/2017/03/usa_usa_pro-trump_rally_chants_as_horns_blare_at_n.html,,,,,
Minneapolis,Capitol Building,MN,USA,2017-03-04,,,,,,,Spirit of America,Pro Trump,2,Rally,,,,,1,0,http://www.kare11.com/news/local/st-paul-rally-in-support-of-trump-draws-counterprotesters/419795294,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,,,
Minneapolis,Capitol Building,MN,USA,2017-03-04,,,,,,,general protestors,Anti Trump,1,counter-protest,,,,,0,0,http://www.kare11.com/news/local/st-paul-rally-in-support-of-trump-draws-counterprotesters/419795294,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,,,
Nashville,Legislative Plaza,TN,USA,2017-03-04,More than 1000,1000,1000,1000,1100,900,Spirit of America,Pro Trump policies,2,rally,2,0,0,0,1,1,http://www.tennessean.com/story/news/local/2017/03/04/trump-supporters-rally-legislative-plaza-nashville/98738604/,http://www.foxnews.com/us/2017/03/05/arrests-made-after-some-march-4-trump-rallies-turn-violent.html?null,,,,
New York,midtown Manhattan,NY,USA,2017-03-04,More than a thousand,1000,1045,1100,1100,990,People’s March for Education Justice,"support more funding for education, support prison reform",0,rally,0,0,0,0,1,1,http://pix11.com/2017/03/04/peoples-march-for-education-justice-heads-to-cuomos-nyc-office/,,,,,
Oklahoma City,South Plaza of the State Capitol,OK,USA,2017-03-04,150 went; hundreds; 250-300,150,218,300,165,270,General Protestors,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,https://www.facebook.com/events/216559938810772/,http://kosu.org/post/trump-supporters-rally-oklahoma-state-capitol,http://www.oudaily.com/news/hundreds-celebrate-president-donald-trump-in-oklahoma-city/article_1b3dc8a4-0128-11e7-96a6-7f299bcd73db.html,,,
Olympia,Heritage Park,WA,USA,2017-03-04,About 200 Trump supporters and 125 protestors; several hundred,200,256,325,220,293,Spirit of America,Pro Trump,2,rally,4,0,1,0,1,1,http://www.king5.com/news/local/4-arrested-at-pro-trump-rally-in-olympia-for-assaulting-police/419825006,http://www.thenewstribune.com/news/local/article136511618.html,,,,
Olympia,,,,2017-03-04,,,,,,,,Anti Trump,1,counter-protest,,,,,0,1,http://www.king5.com/news/local/4-arrested-at-pro-trump-rally-in-olympia-for-assaulting-police/419825006,http://www.thenewstribune.com/news/local/article136511618.html,,,,
Ottumwa,Ottumwa Park,IA,USA,2017-03-04,na,29,29,29,32,26,Spirit of America,Pro-Trump,2,Rally,0,0,0,0,1,1,https://www.facebook.com/events/692062447631688/?active_tab=about,,http://www.ottumwacourier.com/news/ottumwa-rally-speakers-see-hope-for-future/article_006fdaf8-0169-11e7-bc58-eb7a0705c639.html,,,
Overland Park,Interstate 435 and Lamar Avenue,KS,USA,2017-03-04,some 200,200,200,200,220,180,Conservative Party of Kansas,March 4 Trump; pro-Trump,2,rally,0,0,0,0,1,1,http://www.kansascity.com/news/politics-government/article136491758.html,,,,,
Palm Beach,Mar-a-Lago,FL,USA,2017-03-04,Roughly 100,100,100,100,110,90,Spirit of America,Pro Trump policies,2,rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/florida/articles/2017-03-04/trump-supporters-opponents-rally-near-his-mar-a-lago-estate,,,,,
Palm Springs,Downtown,CA,USA,2017-03-04,about a dozen; dozens,12,17,24,13,22,General protestors,March 4 Trump; pro-Trump,2,Rally,0,0,0,0,1,1,http://www.desertsun.com/story/news/politics/2017/03/04/valley-trump-supporters-join-nationwide-march-4-trump/98750792/,http://www.kesq.com/news/supporters-to-gather-for-march-4-trump-rally-in-palm-springs/374385299,,,,
Palmdale,Outside townhall,CA,USA,2017-03-04,dozens; nearly 300,24,148,300,26,270,General protestors; Democratic clubs,Pro-Obamacare,1,protest,0,0,0,0,1,1,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-dozens-of-protestors-gather-outside-1488652427-htmlstory.html,http://ktla.com/2017/03/04/congressman-steve-knight-holds-town-hall-meeting-in-palmdale-amid-obamacare-nationwide-obamacare-discussions/,,,,
Papillion,Jerzes Sports Bar near Highway 370,IA,USA,2017-03-04,About 50,24,36,50,26,45,Spirit of America,Pro-Trump,2,Demonstration,0,0,0,0,1,1,http://www.ketv.com/article/4-year-old-ohio-girl-literally-blown-away-by-winds/9114468,http://www.omaha.com/news/nebraska/join-pro-trump-rally-in-the-bluffs-similar-gatherings-held/article_c5a668fd-f7c6-57e8-836b-44669359d185.html,,,,
