CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Daytona Beach,Embry-Riddle Aeronautical University,Volusia,FL,US,2018-11-02,,,,,,,general protestors,against hate and hate speech,0,vigil,0,0,0,0,1,1,https://twitter.com/wilsonti7/status/1058490667113025536,,,,
Fairmont,Knights of Columbus,Marion,WV,US,2018-11-02,na,200,,200,,,Democratic campaign,rallying support for Democratic candidates,1,rally,0,0,0,0,1,1,https://www.timeswv.com/news/manchin-stops-in-fairmont-for-rally/article_ae19780e-df33-11e8-92de-8b75a0c8c4a2.html,,,,
Flint,,Genessee,MI,US,2018-11-02,,,,,,,Democratic campaign/Garlin Gilchrist,rallying Democratic support,1,rally,0,0,0,0,1,1,https://nbc25news.com/news/local/garlin-gilchrist-rallies-in-flint-for-get-out-the-vote-bus-tour,,,,
Front Royal,Warren County Democratic Committee Headquarters,Warren,VA,US,2018-11-02,,,,,,,Warren County Democrats,rallying Democratic support,1,rally,0,0,0,0,1,1,https://www.nvdaily.com/news/front-royal/th-district-candidate-rallies-troops/article_1e4e9d0f-1c98-5a89-a6ac-e67919eed079.html,,,,
Hattiesburg,Temple B’nai Shalom,Forrest,MS,US,2018-11-02,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/MaggieMagster1/status/1058520700229746688,,,,
Green Bay ,,Brown,WI,US,2018-11-02,nearly 200,200,,200,,,Black Lives United Green Bay from WI and Native Lives Matter from Minneapolis,"Green Bay police immorally murdered Jonathon Tubby, an indigenous man ",0,vigil,0,0,0,0,1,1,http://www.fightbacknews.org/2018/11/7/green-bay-wi-rally-protests-killing-indigenous-man,,,,
Huntington,airport hangar,Cabell,WV,US,2018-11-02,na ,8000,,8000,,,Trump campaign,"for Republican candidates, for President Trum",2,rally,0,0,0,0,1,1,https://www.donaldjtrump.com/rallies/,https://6abc.com/trump-admits-republicans-could-lose-the-house-during-rally/4606048/,https://www.kiro7.com/news/politics/trump-tweets-bob-knight-will-join-him-in-indiana-rally/865111852?utm_source=homestream&utm_medium=site_navigation&utm_campaign=homestream_click,feat. President Trump,
Huntington,airport hangar,Cabell,WV,US,2018-11-02,approximately 30,30,,30,,,general protestors,against President Trump rally,1,counter-protest,0,0,0,0,1,1,https://www.herald-dispatch.com/news/small-gathering-protests-trump-outside-gop-rally-at-tri-state/article_ab9ae0fb-d6d3-5eed-aa45-8eeb662a54ce.html,https://www.register-herald.com/news/trump-rally-at-w-va-airport-draws-a-crowd-/article_e905fd89-f2ee-5b66-bf9c-617c48893f70.html,,,
Huntsville,Temple B’nai Sholom,Madison,AL,US,2018-11-02,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/saschofield/status/1058529753173495810,,,,
Indianapolis,Southport High School Fieldhouse,Marion,IN,US,2018-11-02,About 8500,8500,,8500,,,Trump campaign,"for Republican candidates, for President Trum",2,rally,0,0,0,0,1,1,https://www.donaldjtrump.com/rallies/,https://www.cbsnews.com/news/trump-rally-indiana-today-maga-mike-pence-mike-braun-live-stream-2018-11-02/,https://www.hoosiertimes.com/herald_times_online/news/state/trump-set-for-twin-indiana-political-rallies-in-coming-days/article_e7f6ba6f-64a0-5d62-b3e2-659522a44429.html,feat. President Trump,
Kansas City,Hy-Vee Arena,Jackson,MO,US,2018-11-02,several hundred,300,,300,,,American Conservative Union; Family Research Council Action,support Senate candidate Josh Hawley in Missouri and governor candidate Kris Kobach in Kansas,2,rally,0,0,0,0,1,1,https://www.kctv5.com/news/local_news/pence-lauds-economy-in-rally-to-help-kansas-missouri-gop/article_95bf2544-de8c-11e8-9394-4bac41e09ff7.html,https://fox4kc.com/2018/11/02/live-vice-president-mike-pence-arrives-in-kc-to-rally-for-republican-candidates-in-missouri-kansas/,,,
La Verne,in front of chapel; University of La Verne,Los Angeles,CA,US,2018-11-02,around 70,70,,70,,,general protestors,against violent attack on Pittsburgh synagogue and in Kentucky,0,vigil,0,0,0,0,1,1,https://lvcampustimes.org/2018/11/la-verne-community-gathers-in-solidarity/,,,,
