CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Grandville ,Congressman Bill Huizenga's local office ,MI,US,2017-02-02,count video,30,35,40,33,36,General Protest,oppose Congressman's support for travel ban; immigration,1,demonstration,0,0,0,0,1,1,http://www.mlive.com/news/grand-rapids/index.ssf/2017/02/congressmans_support_of_immigr.html,,,,
New York,City wide,NY,US,2017-02-02,,1000,1500,2000,1100,1800,Bodega owners,"end the ""Muslim ban"", immigration",1,strike,0,0,0,0,1,1,https://twitter.com/maitelsadany/status/827227875736690688?ref_src=twsrc%5Etfw,http://www.npr.org/sections/thesalt/2017/02/02/513118265/new-york-city-bodegas-strike-in-protest-of-trumps-travel-ban,https://www.nytimes.com/2017/02/02/nyregion/new-yorks-yemeni-owned-bodegas-close-to-protest-trumps-immigration-ban.html,,
Philadelphia,Comcast ,PA,US,2017-02-02,,800,800,800,880,720,Comcast employees,protest immigration ban,1,rally,0,0,0,0,1,1,http://technical.ly/philly/2017/02/02/comcast-protest-sree-kotay/,,,,
Sacramento,Sacramento State campus,CA,US,2017-02-02,,150,175,200,165,180,students,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://fox40.com/2017/02/02/150-sacramento-state-students-march-in-no-ban-no-wall-protest/,http://statehornet.com/2017/02/hundreds-march-against-trump-travel-ban-at-sac-state/,,,
San Francisco,Uber SF Headquarters,CA,US,2017-02-02,,50,50,50,55,45,general protestors,protest Uber CEO on Trump advisory council,1,demonstration,0,0,0,0,1,1,http://www.sfweekly.com/news/protest-slams-uber-despite-ceo-dumping-trump/,,,,
San Luis Obispo,Mission Plaza,CA,US,2017-02-02,,100,,100,,,general protestors,"anti-oil drilling off Central Coast; support Chumash Heritage National Marine Sanctuary, pro-environment",1,rally; protest,0,0,0,0,0,1,http://www.sanluisobispo.com/news/local/article130485629.html,https://article.wn.com/view/2017/02/03/Watch_Crowd_rallies_in_SLO_to_support_Chumash_marine_sanctua/,,,
Santa Clarita,Republican Rep. Steve Knight's district office in Santa Clarita,CA,US,2017-02-02,,173,173,173,190.3,155.7,general protestors,against repealing Obamacare; health care,1,demonstration,0,0,0,0,1,1,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-hundreds-of-democratic-activists-1486074950-htmlstory.html,,,,
Sunnyvale,Comcast,CA,US,2017-02-02,,,,,,,Comcast employees,Immigration ban,1,rally,0,0,0,0,1,1,http://www.philly.com/philly/blogs/comcast-nation/Comcast-workers-expected-to-protest-Trump-immigrant-ban-today-in-Philadelphia.html,,,,
Washington,Comcast,DC,US,2017-02-02,,100,150,200,110,180,Comcast employees,Immigration ban,1,Protest,0,0,0,0,1,1,http://www.usatoday.com/story/tech/2017/02/02/comcast-employees-stage-anti-trump-immigration-rallies/97415678/,http://www.washingtonexaminer.com/comcast-workers-in-philly-stop-working-to-protest-trumps-immigration-policies/article/2613777,,,
West Chester,Comcast ,PA,US,2017-02-02,,,,,,,Comcast employees,protest immigration ban,1,rally,0,0,0,0,1,1,http://www.washingtonexaminer.com/comcast-workers-in-philly-stop-working-to-protest-trumps-immigration-policies/article/2613777,,,,
Bozeman,Senator Steve Daines' office,MT,US,2017-02-03,,300,300,300,330,270,General protestors,Protest immigration ban,1,Demonstration,0,0,0,0,1,1,http://helenair.com/news/local/helena-demonstrators-object-to-travel-ban-support-immigration/article_c8beb6e6-a921-5f35-986e-b48c10d40de3.html,https://www.youtube.com/watch?v=yxL8ldN9k5o,,,
Cleveland ,Market Square,OH,US,2017-02-03,,200,200,200,220,180,General Protest,protest immigration ban,1,rally,0,0,0,0,1,1,http://fox8.com/2017/02/03/group-to-protest-trumps-immigration-order-in-cleveland/,,,,
Columbia,Boone County Courthouse,MO,US,2017-02-03,,30,30,30,33,27,"Missouri Rural Crisis Center, Missouri Faith Voices, community members",support ACA; health care,1,rally,0,0,0,0,1,1,http://www.columbiatribune.com/news/local/columbia-residents-rally-in-support-of-the-affordable-care-act/article_b168443f-71be-52ab-a9bf-cf1f20133057.html,,,,
Dallas,Earle Cabell Federal Building,TX,US,2017-02-03,,100,100,100,110,90,General protestors,Protest keystone pipeline,1,demonstration,0,0,0,0,1,1,http://www.dallasnews.com/news/photos/2017/02/03/watch-protesters-rally-dakota-access-pipelines-dallas,,,,
Dayton,Downtown Dayton,OH,US,2017-02-03,,200,200,200,220,180,General Protest,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://wdtn.com/2017/02/03/hundreds-protest-against-president-trumps-travel-ban-in-downtown-dayton/,,,,
Fort Mayne ,Allen County Courthouse,IN,US,2017-02-03,,300,300,300,330,270,General Protest,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://wane.com/2017/02/03/rally-to-protest-trump-executive-orders-set-for-saturday/,,,,
Frederick,Islamic Society of Frederick,MD,US,2017-02-03,,200,200,200,220,180,General protest ,"end the ""Muslim ban"", immigration",1,rally,0,0,0,0,1,1,http://www.fredericknewspost.com/news/lifestyle/religion/after-executive-order-banning-immigrants-frederick-rallies-around-local-muslim/article_6fa49f60-670b-5581-9661-3ea4cff7b9e0.html,,,,
Helena,Downtown Walking Mall ,MT,US,2017-02-03,,300,300,300,330,270,Montana for Immigrants,Protest immigrant ban,1,Demonstraton,0,0,0,0,1,1,http://www.greatfallstribune.com/story/news/local/2017/02/03/rally-celebrates-immigrants-blasts-presidents-order/97470116/,http://helenair.com/news/local/helena-demonstrators-object-to-travel-ban-support-immigration/article_c8beb6e6-a921-5f35-986e-b48c10d40de3.html,,,
Houston,Gallaria Mall area,TX,US,2017-02-03,,100,150,200,110,180,"Houston Socialist Movement, #FightFor15 supporters, anarchists, Familias Inmigrantes y Estudiantes en the Lucha and other activist groups ",Protest immigrant ban and building of wall,1,demonstration,0,0,0,0,1,1,http://www.khou.com/news/local/more-than-200-protest-trumps-immigration-policies-in-galleria-area/397055442,http://www.chron.com/news/houston-texas/article/More-than-100-protest-Trump-immigration-policies-10907517.php,,,
Los Angeles,University of Southern California; outside of Tommy Trojan,CA,US,2017-02-03,,90,,100,,,USC students,anti-Trump; anti-immigration ban,1,rally; protest,0,0,0,0,0,1,http://dailytrojan.com/2017/02/05/trump-era-ignites-newfound-passion-protest/,http://dailytrojan.com/2017/02/04/students-rally-nobannowall-protest/,https://thetab.com/us/usc/2017/02/03/no-ban-no-wall-protestors-congregate-tommy-trojan-despite-rain-3846,,
New York,"JFK Airport, Queens",NY ,US,2017-02-03,,150,150,150,165,135,General protest,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.nbcnewyork.com/news/local/Immigrant-Rights-President-Donald-Trump-Travel-Ban-Executive-Order-Syria-Yemen-JFK-Airport-Protest-Detain-412683143.html,,,,
Omaha,Nebraska senator Deb Fischer,NE,US,2017-02-03,,100,150,200,110,180,"Suit Up Nebraska, the Women’s March of Omaha and Indivisible organizations across Nebraska","Protest Betsy DeVos, education, education ",1,Demonstration,0,0,0,0,1,1,http://www.kmtv.com/news/local-news/protesters-to-rally-outside-sen-fischers-office,http://www.ketv.com/article/protesters-meet-outside-sen-fischer-s-office/8675041,http://www.omaha.com/news/metro/protest-deb-fischer-s-support-of-betsy-devos-in-omaha/article_6ad89a82-5abb-5a91-a75e-574a0675b8f8.html,,
Philadelphia,Comcast Company Headquarters; City Hall,PA,US,2017-02-03,,200,,1200,,,Comcast employees,Protest immigration ban; anti-Trump,1,protest; march,0,0,0,0,0,1,http://sanfrancisco.cbslocal.com/2017/02/02/comcast-protest-president-donald-trump-travel-refugee-ban/,https://www.jsonline.com/story/tech/2017/02/02/comcast-employees-stage-anti-trump-immigration-rallies/97415678/mcast-workers-expected-to-protest-Trump-immigrant-ban-today-in-Philadelphia.html,http://www.philly.com/philly/blogs/comcast-nation/Co,,
Rochester ,Rochester City Hall,NY,US,2017-02-03,,200,200,200,220,180,General Protest,"Against Cutting funding to ""Sanctuary Cities"", immigration",1,demonstration,0,0,0,0,1,1,http://www.twcnews.com/nys/rochester/news/2017/02/3/refugee-rally-immigration-ban.html,,,,
Stillwater,OSU Campus,OK,US,2017-02-03,,150,150,150,165,135,General protesters,Resisting fascism,1,protest,0,0,0,0,1,1,http://www.ocolly.com/news/article_7e5efcce-ea93-11e6-a129-0f671057c652.html,,,,
Tempe ,Downtown,AZ,US,2017-02-03,,200,200,200,220,180,general protestors,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.abc15.com/news/region-southeast-valley/tempe/we-are-all-america-silent-march-through-tempe-expresses-support-for-refugees-immigrants,http://www.azcentral.com/story/news/local/tempe/2017/02/03/hundreds-protest-trump-policies-tempe-march/97467138/,,,
Tucson,6840 N Oracle Rd Ste 150 (Senator Flake's Local Office),AZ,US,2017-02-03,,50,125,200,55,180,general protestors,protest immigration ban,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1451100144921948/?active_tab=discussion,,,,
Washington,From Trump tower to White House,DC,US,2017-02-03,,200,250,300,220,270,WERK for peace ,protest immigration ban,1,march; dance,0,0,0,0,1,1,http://wtop.com/dc/2017/02/protesters-dance-trump-hotel-white-house/slide/1/,,,,
Annapolis,residence of Maryland Gov. Larry Hogan,MD,US,2017-02-04,,400,400,400,440,360,General Protest,against Trump's cabinet picks and immigration ban ,1,demonstration,0,0,0,0,1,1,https://www.washingtonpost.com/local/md-politics/protesters-gather-outside-gov-hogans-residence-demanding-he-take-on-trump/2017/02/04/64ef2328-eafb-11e6-b82f-687d6e6a3e7c_story.html?utm_term=.93abc130115c,,,,
Atlanta ,Georgia Institute of Technology ,GA,US,2017-02-04,,200,200,200,220,180,University body,protest immigration ban,1,rally,0,0,0,0,1,1,http://news.wabe.org/post/georgia-tech-community-protests-trumps-travel-ban,,,,
Baltimore,from St. Paul's Episcopal Church on North Charles Street to the cathedral.,MD,US,2017-02-04,,350,350,350,385,315,General Protest,protest immigration ban,1,march,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/bs-md-march-for-refugees-20170204-story.html,,,,
Boulder,Central Park,CO,US,2017-02-04,,1000,1000,1000,1100,900,general protestors,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://kdvr.com/2017/02/04/large-crowd-gathers-in-downtown-to-support-muslim-neighbors-in-denver/,,,,
Chambersburg,downtown Chambersburg,PA,US,2017-02-04,,50,50,50,55,45,Franklin County Democratic Committee.,Protest Trump's policies,1,demonstration,0,0,0,0,1,1,http://www.pennlive.com/news/2017/02/dozens_attend_trump_protest_in.html,http://www.publicopiniononline.com/story/news/2017/02/04/dozens-protest-president-trump-chambersburg/97485702/,,,
Charleston,outside Sen. Shelley Moore Capito’s Charleston office ,WV,US,2017-02-04,,200,225,250,220,225,West Virginia’s American Federation of Teachers,Denouncing Sen Capito support for DeVos; education,1,demonstration,0,0,0,0,1,1,http://www.wvgazettemail.com/news-education/20170204/despite-protests-capito-still-supports-devos,,,,
Charlotte,Marshall Park,NC,US,2017-02-04,,60,60,60,66,54,general protestors,protest immigration ban,1,rally,0,0,0,0,1,1,http://www.charlotteobserver.com/news/local/article130825494.html,,,,
