date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-01-02,Fresno,CA,"Trader Joe's, Friant Rd",Burn the Mask,,,,,anti-mask protesters,"against requirement to wear mask in grocery store during coronavirus pandemic, against Governor Newsom",0,protest,responded to reports of disturbance; arrived on scene and intervened in unspecified way,blocked store entrance and exit,,,,,,,,,,https://kmph.com/news/local/anti-mask-protesters-rally-outside-fresno-trader-joes,https://www.yourcentralvalley.com/news/local-news/burn-the-mask-protest-temporarily-closes-fresno-trader-joes/,https://abc30.com/trader-joes-protest-mask-fresno/9315861/,https://www.sfgate.com/coronavirus/article/antimask-covid-protest-Fresno-Trader-Joes-15842614.php,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Greenwich,NY,Mowry Park,,,,,,,"in remembrance of George Floyd, against police brutality, for racial justice, Black Lives Matter",1,vigil,,,,,,,,,,,,https://www.timesunion.com/news/article/How-one-woman-kept-George-Floyd-s-story-alive-in-16210166.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Grovetown,GA,,,,,,,,for Democratic candidates for U.S. Senate,1,rally,,,,,,,,,,Feat. Stacey Abrams,,https://www.augustachronicle.com/story/news/politics/elections/2021/01/02/stacey-abrams-columbia-county-rally-warnock-and-ossoff/4112525001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Hackensack,NJ,Bergen County Jail,A Call to Musical Arms,,,,Verona for Black Lives Matter,,in solidarity with ICE detainees during coronavirus pandemic,1,demonstration,,,,,,,,,,,,https://twitter.com/protest_nyc/status/1345357925938823169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Houston,TX,"Miller's Cafe, N Shepherd Dr",,25,25,25,,anti-maskers,"against enforcement of COVID-19 mask mandate by restaurant, for President Trump",2,protest,,carried flags; entered restaurant without masks,,,,,,,,,,https://houston.culturemap.com/news/city-life/01-04-21-millers-cafe-houston-shepherd-protest-masks-sylvester-turner/,https://abc13.com/millers-cafe-protest-houston-face-mask-shepherd-drive/9343368/,https://www.click2houston.com/news/local/2021/01/05/local-cafe-gets-community-support-after-being-abused-by-anti-mask-protestors/,https://www.khou.com/article/news/local/hundreds-of-people-including-houston-mayor-order-from-small-garden-oaks-cafe-to-show-support-after-anti-mask-protestors-call-for-boycott/285-8302d506-293c-4ca0-9a05-fd1ebd862e11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Los Gatos,CA,Town Plaza Park,Stop the Steal,65-75,65,75,,Vietnamese Movement for Trump,"for President Trump, against election fraud",2,rally,,,,,,,,,20210102-losgatos-trump,"Protesters and counter-protesters clashed after event, and police were called, but no injuries or arrests were reported.",,https://www.sfgate.com/news/bayarea/article/Pro-And-Anti-Trump-Protestors-Clash-After-A-15843599.php,https://sanjosespotlight.com/trump-supporters-held-a-stop-the-steal-protest-in-san-jose-unlike-the-one-in-d-c-it-didnt-turn-into-a-riot/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Los Gatos,CA,Town Plaza Park,,8-10,8,10,,counter-protesters,against President Trump,1,counter-protest,,,,,,,,,20210102-losgatos-trump,"Protesters and counter-protesters clashed after event, and police were called, but no injuries or arrests were reported.",,https://www.sfgate.com/news/bayarea/article/Pro-And-Anti-Trump-Protestors-Clash-After-A-15843599.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Louisville,KY,Dundee Rd,Won't Back Down Rally,FB: 9,9,9,DC UNDER SIEGE,,"for President Trump, against election fraud, against corruption in government",2,rally,,,,,,,,,,,,https://www.facebook.com/events/146091593689350/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Louisville,KY,home of U.S. Senator Mitch McConnell,,,,,,vandals,"for financial relief during coronavirus pandemic, against Senator McConnell",1,direct action,,,,,,graffiti,,,,,,https://sanfrancisco.cbslocal.com/2021/01/03/report-pelosi-san-francisco-home-vandalized-graffiti-apparent-pigs-head/#.X_MehVJKGi0.twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Lowell,MA,Lowell Police Department,,approximately 100,100,100,,,"against racism, against police brutality, for justice for Moses Harris",,vigil; march; protest,,,,,,,,,,,,https://www.wcvb.com/article/family-of-lowell-massachusetts-man-wants-answers-after-he-disappears-during-police-pursuit/35111450#,https://www.nbcboston.com/news/local/suspect-still-missing-after-jumping-into-river-to-escape-lowell-police-his-family-demands-answers/2270369/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Madison,WI,,March for Life Chicago,,,,weDignify,,against abortion,2,rally,,,,,,,,,,,,https://www.ncregister.com/news/pro-lifers-march-on-plans-for-major-national-events-modified-for-2021-6wbjg9rk,https://marchforlifechicago.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Miami,FL,West End Park; home of U.S. Senator Marco Rubio,,dozens,24,24,Enough 2021,,"demanding that Senator Rubio reject election results, for President Trump, against election fraud",2,demonstration; march,,,,,,,,,,,,https://www.local10.com/news/local/2021/01/02/protestors-march-to-sen-marco-rubios-home-demanding-he-reject-electoral-college-results/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Moline,IL,John Deere Rd & 16th St,Racial Equality Now!,,,,Progressive Action for the Common Good,,"for racial justice and equality, Black Lives Matter",1,rally,,,,,,,,,,,,http://www.pacgqc.org/blog/racial-equality-now-rally-what-you-can-do-now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Naples,FL,"Gecko's, Sarasota, FL; home of U.S. Senator Rick Scott",,,,,Enough 2021,,"demanding that Senator Rubio reject election results, for President Trump, against election fraud",2,protest,,,,,,,,,,,,https://floridapolitics.com/archives/391539-protesters-to-convene-on-marco-rubios-rick-scotts-homes-to-demand-challenge-to-joe-biden-win,https://enough2021.org/event-locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,New York,NY,"Amsterdam Ave and W 92nd St, Manhattan",,a dozen,12,12,,,against mandatory vaccination for coronavirus,0,protest,,,,,,,,,,,,https://uk.news.yahoo.com/demonstrators-protest-against-proposed-bill-055438306.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,,,https://www.instagram.com/p/CJjNQ-6Flri/,https://www.instagram.com/p/CJkAceBjusF/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,gathering,,,,,,,,,,,,https://twitter.com/protest_nyc/status/1345357925938823169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,New York,NY,"Prospect Park, Brooklyn",Nationwide Candlelight Vigil,FB: 40,40,40,Black Hammer,,in remembrance of victims of COVID-19,0,vigil,,,,,,,,,,,,https://www.facebook.com/events/468190114573315/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Newtown,PA,219 Court St,,,,,Newtown Friends Peace & Justice Committee,,Black Lives Matter,1,vigil,,,,,,,,,,,,https://www.quakersbucks.org/events/newtown-meeting-black-lives-matter-silent-vigil-zd8th-yghjc-6hrpk-942l2-t7fx9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Olympia,WA,415 15th Ave SW,,count video,40,50,United Voice of Washington,,"for reopening businesses during coronavirus pandemic, against state coronavirus mandates, end the lockdown",2,protest,,,,,,,,,,home of Washington State Department of Labor & Industries Director Joel Sacks,,https://twitter.com/BGOnTheScene/status/1345496385630556161,https://twitter.com/BGOnTheScene/status/1345498120029835264,https://www.wa4change.org/calendar.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Palisade,MN,Great River Rd,,dozens,24,24,,water protectors,"against Line 3 pipeline project, for environmental protection, for native peoples' rights",1,demonstration,clashed with protesters,clashed with police,,,14,,,,,,,https://www.desmogblog.com/2021/01/08/enbridge-line-3-pipeline-indigenous-resistance-courts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
