CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Queensbury,outside of the Queensbury Church of Christ on Aviation Road,Warren,NY,US,2019-01-06,na,6,,6,,,Kailey Strafford,protesting anti-immigration sign at area church,1,protest,0,0,0,0,1,1,https://poststar.com/news/local/sign-sparks-immigration-protest-though-church-says-it-was-misinterpreted/article_89c73329-8e90-520a-8990-a97f72fbc4ad.html,http://www.oleantimesherald.com/news/state/sign-sparks-immigration-protest-though-church-says-it-was-misinterpreted/article_ecb7e79e-d068-53c2-97ff-0ff93c72adc3.html,,,,,
Birmingham,in front of the Birmingham Civil Rights Institute,Jefferson,AL,US,2019-01-07,count pic,6,,6,,,general protestors ,protest cancellation of award for Angela Davis; Israel-Palestine,0,protest,0,0,0,0,1,1,https://www.al.com/news/2019/01/activists-protest-civil-rights-institute-decision-to-withdraw-award-for-angela-davis.html,https://www.nhregister.com/news/world/article/The-Latest-Activists-protest-move-to-rescind-13514295.php,,,,,
Houlton,,Aroostook,ME,US,2019-01-07,na,17,,17,,,teachers,protesting contract dispute,1,protest,0,0,0,0,1,1,https://thecounty.me/2019/01/09/news/teachers-rsu-29-at-contract-impasse/,,,,,,
Johnson County,Johnson County Supervisor’s Budget Meeting,Johnson,IA,US,2019-01-07,,,,,,,animal rights advocates,protesting tax payer money spent on child rodeos,0,protest,0,0,0,0,1,1,https://kwwl.com/news/top-stories/2019/01/07/iowas-protest-tax-money-funding-child-rodeos/,,,,,,
Manhattan,Barnard College,Queens,NY,US,2019-01-07,,,,,,,"Clinton, Cuomo",rally for reproductive rights,1,rally,0,0,0,0,1,1,https://www.amny.com/news/clinton-cuomo-abortion-rights-1.25657795,,,,,,
Philadelphia,Independence National Historical Park,Philadelphia,PA,US,2019-01-07,,,,,,,federal workers,over the pay freeze and government shutdown,1,rally,,,,,1,1,https://www.inquirer.com/news/government-shutdown-worker-protest-afge-nteu-philadelphia-20190107.html,https://6abc.com/politics/furloughed-workers-rally-at-liberty-bell-amid-shutdown/5035165/,,,,,
Pittsburgh ,City Hall,Allegheny,PA,US,2019-01-07,hundreds,200,,600,,,general protestors ,Pro-gun rally; protesting proposed gun regulations ,2,protest,0,0,0,0,1,1,https://triblive.com/local/allegheny/14423646-74/gun-owners-plan-armed-protest-against-proposed-pittsburgh-firearms-regulations,https://triblive.com/local/allegheny/14477426-74/hundreds-of-protesters-many-armed-expected-to-rally-in-downtown-pittsburgh,https://www.cbsnews.com/news/pittsburgh-gun-rally-brings-hundreds-of-protesters-to-downtown/,https://triblive.com/local/pittsburgh-allegheny/pittsburgh-guns-rights-group-spar-over-signs-posted-ahead-of-monday-rally/,,,
Santa Clarita,Saugus,Los Angeles,CA,US,2019-01-07,na,1,,1,,,general protestor ,Civil Rights; For racial justice; National anthem,1,protest,0,0,0,0,1,1,https://signalscv.com/2019/02/saugus-board-meeting-turns-heated-over-board-members-protest/,,,,,,
St. Louis,outside the federal government center on Goodfellow,St. Louis,MO,US,2019-01-07,about half a dozen,6,,6,,,Federal workers,protest partial govt shutdown,0,protest,0,0,0,0,1,1,https://fox2now.com/2019/01/07/tsa-agents-in-st-louis-working-without-pay-while-furloughed-workers-protest-shut-down/,,,,,,
Inglewood,City Hall,Los Angeles,CA,US,2019-01-08,,,,,,,Inglewood residents,protesting rent increases,0,protest,0,0,0,0,1,1,https://abc7.com/society/residents-business-owners-protest-large-rent-increases-in-inglewood/5037326/,,,,,,
