CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,
Chicago,Rogers Park,IL,US,2018-06-23,hundreds,200,,200,,,general protestors,Protesting Trump immigration policy,1,protest,0,0,0,0,1,1,https://wgntv.com/2018/06/23/across-the-city-chicagoans-protest-trump-immigration-policies/,,,,,,,
Chicago,Saint Clement Catholic Church,IL,US,2018-06-23,,,,,,,general protestors,Protesting Trump immigration policy,1,protest,0,0,0,0,0,1,https://wgntv.com/2018/06/23/across-the-city-chicagoans-protest-trump-immigration-policies/,,,,,,,
Cincinnati,Downtown; Sawyer Point,OH,US,2018-06-23,na,100000,,100000,,,Cincinnati Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.wcpo.com/news/local-news/hamilton-county/cincinnati/photos-2018-cincinnati-pride-parade,,,,,,,
Conway,Coastal Carolina University,SC,US,2018-06-23,,,,,,,S.C. Gov. Henry McMaster,campaign rally for McMaster,2,rally,0,0,0,0,1,1,https://www.heraldonline.com/news/politics-government/article213658399.html,,,,,,,
Des Moines,Iowa State Fairgrounds,IA,US,2018-06-23,FB: 3,3,,3,,,No More Thoughts and Prayers,against gun show,1,protest,,,,,1,1,https://www.facebook.com/events/1949441545085546/,,,,,,,
Detroit,ICE field office,MI,US,2018-06-23,dozens,24,,24,,,general protestors,protesting the jailing and separation of immigrant children and families,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1993683450650242/,https://www.metrotimes.com/news-hits/archives/2018/06/25/occupy-ice-protesters-attempt-to-shut-down-detroit-office,,plan to stay a week,,,,
Fort Wayne,Allen County Courthouse,IN,US,2018-06-23,hundreds,200,,200,,,The Latino Democrats of Allen County,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.wane.com/news/local-news/hundreds-protest-trump-immigration-policy-at-allen-county-courthouse/1258902476,,,,,,,
Glen Burnie,Ordnance Road Correctional Center,MD,US,2018-06-23,,,,,,,Casa de Maryland,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://wtop.com/maryland/2018/06/maryland-democrats-protest-prison-housing-ice-detainees/,,,,,,,
Glendale,Southwest Key facility,AZ,US,2018-06-23,,,,,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.tucsonnewsnow.com/story/38497253/arizonans-protest-outside-southwest-key-shelter-in-glendale-thats-holding-immigrant-children,,,,,,,
Guilford,Outside Guilford Fairgrounds,CT,US,2018-06-23,FB: 10,10,,10,,,general protestors,Protesting the treatment of shellfish,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1744011502355271/,,,,,,,
Hartford,West Hartford Town Hall,CT,US,2018-06-23,FB: 95,95,,95,,,Rally for Humanity; Action Together CT,against jailing and separating immigrant children from their families,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/228076651321453/,,,,,,,
Homer,city hall; Lake Street,AK,US,2018-06-23,about 75,75,,75,,,general protestors; Kachemak Bay Family Planning Clinic,Pro-LGBTQ,1,march,0,0,0,0,1,1,http://peninsulaclarion.com/local/news/2018-06-29/soldotna-shows-its-pride-two-spirit-march-shows-love-lgbtq-community,,,,,,,
Homestead,288 Street & 137th Avenue,FL,US,2018-06-23,na,1000,,1000,,,Women's March,Marching against the jailing and separation of immigrant families,1,march;rally;vigil,0,0,0,0,1,1,https://www.facebook.com/events/1950598218564066,https://www.wptv.com/news/national/hundreds-march-to-homestead-immigrant-shelter-lawmakers-visit,,,,,,
Houston,Downtown,TX,US,2018-06-23,thousands,2000,,2000,,,Pride Houston,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,http://abc13.com/community-events/thousands-head-downtown-for-2018-houston-pride-parade/3643778/,,,,,,,
Klamath Falls,Klamath County Courthouse,OR,US,2018-06-23,,,,,,,Klamath County Democrats,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.heraldandnews.com/news/demonstrators-protest-child-separation-policy/article_36fd546c-136c-574f-b85d-f38c32c19b81.html,,,,,,,
Knoxville,Downtown,TN,US,2018-06-23,approximately a dozen,12,,12,,,white nationalists,anti-LGBTQ,0,protest,1,0,0,0,1,1,https://www.knoxnews.com/story/news/crime/2018/06/13/knoxville-pridefest-parade-white-nationalists-protest/697812002/,https://www.knoxnews.com/story/news/2018/06/23/knox-pridefest-protest-tennessee-gay-lesbian-lgbt-white-nationalist/726192002/,,,,,,
Knoxville,Downtown,TN,US,2018-06-23,,,,,,,general protestors,counter-protesting white nationalists,0,counter-protest,0,0,0,0,0,1,https://www.knoxnews.com/story/news/2018/06/23/knox-pridefest-protest-tennessee-gay-lesbian-lgbt-white-nationalist/726192002/,,,,,,,
Lakewood,6801 W Alameda Ave,CO,US,2018-06-23,FB: 17,17,,17,,,The Humane League,Protesting Mcdonald's treatment of chickens,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/637598566579500/,,,,,,,
Las Vegas,outside Republican convention,NV,US,2018-06-23,at least 300,300,,300,,,general protestors,protesting Trump visit,1,protest,0,0,0,0,1,1,http://www.tampabay.com/the-latest-trump-promotes-tax-cuts-reduced-regulations-ap_national01d97c0a3e144ea791372d8821d38b86,,,,,,,
Lexington ,Courthouse Plaza,KY,US,2018-06-23,hundreds,200,,200,,,Kentucky chapter of the National Organization for Women (NOW),against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.kentucky.com/news/local/counties/fayette-county/article213731109.html,,,,,,,
Lexington ,from Keeneland to Camp Nelson in Jessamine County,KY,US,2018-06-23,,,,,,,Mission 22,raising awareness for veteran suicide,0,march,0,0,0,0,0,1,https://www.wtvq.com/2018/06/23/veterans-march-22-miles-veteran-suicide-awareness/,,,,,,,
Los Angeles,Federal Building,CA,US,2018-06-23,,,,,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,0,1,https://www.dailynews.com/2018/06/23/demonstators-protest-trumps-immigration-policies/,,,,,,,
Los Angeles,LA Fresh Poultry,CA,US,2018-06-23,FB: 26,26,,26,,,Los Angeles for Animals,Protesting treatment of slaughterhouse livestock,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1875783455785429/,,,,,,,
Madison,Library Mall,WI,US,2018-06-23,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.channel3000.com/news/madisonians-march-to-speak-out-against-immigration-policy/757662348,,,,,,,
McAllen,migrant detention center,TX,US,2018-06-23,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.cnn.com/2018/06/23/us/texas-detention-center-bus-protest/index.html,https://www.dallasnews.com/news/immigration/2018/06/23/lawmakers-get-close-look-border-crisis-protesters-call-tolerance,,,,,,
McAllen,near a federal courthouse,TX,US,2018-06-23,,,,,,,the Robert F. Kennedy Human Rights organization,against jailing and separating immigrant children from their families,1,hunger strike,0,0,0,0,0,1,http://thehill.com/latino/393824-activists-hold-hunger-strike-to-protest-trump-immigration-policy,,,hunger strike; planned to continue for 24 days,,,,
Merrimack,Saint-Gobain Performance Plastics,NH,US,2018-06-23,,,,,,,Merrimack Citizens for Clean Water (MCCW),protesting plastic plant causing pollution,0,protest,0,0,0,0,1,1,http://www.unionleader.com/article/20180624/NEWS2201/180629760,,,,,,,
Montclair,Rand Park to Church Street,NJ,US,2018-06-23,about 100,100,,100,,,general protestors,against jailing and separating immigrant children from their families,1,protest; march,0,0,0,0,1,1,http://www.montclairlocal.news/wp/index.php/2018/06/28/montclair-residents-clergy-protest-child-separations-at-border/,,,,,,,
Moore Haven,Glades County ICE Detention Center,FL,US,2018-06-23,dozens,24,,24,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.nbc-2.com/clip/14442683/protesters-rally-against-trump-policy-at-glades-county-ice-detention-center,,,,,,,
Myrtle Beach,Coastal Carolina University,SC,US,2018-06-23,about 400,400,,400,,,Republicans; Trump/Pence supporters,Rally in support of Gov. McMaster,2,rally,0,0,0,0,1,1,https://www.myrtlebeachonline.com/news/politics-government/article213658409.html,,,,,,,
Myrtle Beach,Coastal Carolina University,SC,US,2018-06-23,about 40,40,,40,,,general protestors,Protesting appearance by VP Mike Pence,1,protest,0,0,0,0,0,1,https://www.myrtlebeachonline.com/news/politics-government/article213658409.html,,,,,,,
Nashville,Downtown,TN,US,2018-06-23,thousands,2000,,2000,,,Nashville Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/06/23/nashville-pride-festival-equity-walk-lgbt/720213002/,,,,,,,
New Haven,Trinity on the Green,CT,US,2018-06-23,,,,,,,Integrated Refugee & Immigrant Services and ActionNow Connecticut,against jailing and separating immigrant children from their families,1,rally,0,0,0,0,1,1,https://www.mysanantonio.com/news/article/Residents-rally-in-New-Haven-with-urgency-to-13020727.php,,,,,,,
New York,201 Varrick Street,NY,US,2018-06-23,,,,,,,general protestors,Protesting ICE,1,protest,,,,,1,1,https://twitter.com/RCPress_Sean/status/1010608419546583040,,,,,,,
New York,Cayuga Centers shelter,NY,US,2018-06-23,,,,,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,0,1,https://www.brownsvilleherald.com/news/texas/activists-rally-at-new-york-facility-housing-immigrant-kids/article_93b03e4f-1e98-58b9-81c6-3ea2082d702d.html,,,,,,,
New York,Miller Field,NY,US,2018-06-23,FB: 120; over 200,120,,200,,,Assemblywoman Malliotakis,Protesting against Staten Island property tax hike,0,protest,0,0,0,0,1,1,https://www.silive.com/news/2018/06/property_tax_relief_malliotaki.html,https://www.facebook.com/events/621768838185896/,,,,,,
Newport,City Hall,OR,US,2018-06-23,,,,,,,general protestors,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://newportnewstimes.com/article/immigration-protest-organized,,,,,,,
Newton,Newton Green,NJ,US,2018-06-23,dozens,24,,24,,,Newton Pride,Pro-LGBTQ,1,rally,0,0,0,0,1,1,http://www.townshipjournal.com/apps/pbcs.dll/article?AID=/20180625/NEWS01/180629988/0/FRONTPAGE/Pride-Month-rally-in-Newton-promotes-solidarity-and-fellowship,,,,,,,
Newtown,town hall,CT,US,2018-06-23,FB: 192,,,,,,Rally for Humanity,against jailing and separating immigrant children from their families,1,rally,,,,,1,1,https://www.facebook.com/events/2077868255768183/,,,,,,,
Phoenix,near Tatum Boulevard and Thunderbird Road,AZ,US,2018-06-23,roughly 100,100,,100,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,0,1,https://www.12news.com/article/news/local/arizona/phoenix-demonstrators-speak-out-against-immigration-policies/75-566950389,,,,,,,
Phoenix,State Capitol,AZ,US,2018-06-23,,,,,,,RedForEd,rallying for education funding,1,rally,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/arizona-education/2018/06/23/redfored-latest-arizona-rally-school-funding-capitol-education-ballot-measure/726638002/,,,,,,,
Phoenix,State Capitol,AZ,US,2018-06-23,,,,,,,Patriot Movement AZ,counter-protesting RedForEd,2,protest,0,0,0,0,0,1,https://www.azcentral.com/story/news/local/arizona-education/2018/06/23/redfored-latest-arizona-rally-school-funding-capitol-education-ballot-measure/726638002/,,,,,,,
Pittsburgh,South Side,PA,US,2018-06-23,around 100,100,,100,,,general protestors,protesting killing of local black man by police,1,protest,0,0,0,0,1,1,http://www.post-gazette.com/local/city/2018/06/23/antwon-rose-shooting-death-pittsburgh-protest-police-violence-south-side-east-carson-street-leon-ford/stories/201806230108,,,,,,,
Ridgewood,Unitarian Society of Ridgewood,NJ,US,2018-06-23,about 100,100,,100,,,Join Organize Lead Teach (JOLT),against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.northjersey.com/story/news/bergen/ridgewood/2018/06/23/ridgewood-nj-rallies-against-children-being-separated-parents-mexican-border/725705002/,,,,,,,
San Diego,Civic Center Plaza to ICE office,CA,US,2018-06-23,as many as 5000,5000,,5000,,,Families Belong Together,protesting against the jailing and separation of immigrant children and families,1,march;rally,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/immigration/sd-me-family-separation-march-20180623-story.html,,,,,,,
San Diego,Otay Mesa Rd to Otay Mesa Detention Center,CA,US,2018-06-23,hundreds,200,,200,,,general protestors,Protesting the separation of immigrant families,1,march; protest,1,0,0,0,0,1,https://fox5sandiego.com/2018/06/23/hundreds-of-interfaith-leaders-to-march-to-detention-facility/,,,,,,,
Santa Cruz,intersection of Water and Front Streets,CA,US,2018-06-23,more than 50,50,,50,,,Poor People's Campaign,against racism and poverty,1,protest,0,0,0,0,1,1,http://www.santacruzsentinel.com/government-and-politics/20180623/poor-peoples-campaign-kicks-off-with-rally-in-santa-cruz,,,,,,,
Santa Fe,Runge Park,TX,US,2018-06-23,FB: 129,129,,129,,,This is Texas Freedom Force; general protestors,Rallying to support arming teachers,2,rally,0,0,0,0,1,1,https://www.facebook.com/events/231702020923840/?active_tab=about,,,,,,,
Seattle,intersection of 6th and Pike,WA,US,2018-06-23,,,,,,,Poor People's Campaign,against racism and poverty,1,protest,7,0,0,0,1,1,https://www.king5.com/article/news/local/seattle/protesters-arrested-after-blocking-downtown-seattle-streets/281-566993726,,,,,,,
Seneca Falls,Women’s Rights National Historical Park on Fall Street,NY,US,2018-06-23,,,,,,,We Exist Coalition of the Finger Lakes,support transgender rights,0,rally,,,,,1,1,http://www.fltimes.com/news/civil-rights-rally-for-transgender-community-june-in-sf/article_8c1465b6-87b5-54c6-bddb-6465d4e15efc.html,,,,,,,
St Petersburg,Downtown Waterfront,FL,US,2018-06-23,,,,,,,St Pete Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.stpetepride.com/en/events/2018-parade,,,,,,,
Staten Island,Miller Field,NY,US,2018-06-23,over 200,200,,200,,,general protestors,protesting high property taxes,1,protest,0,0,0,0,1,1,https://www.silive.com/news/2018/06/property_tax_relief_malliotaki.html,,,,,,,
Tacoma,outside Northwest Detention Center,WA,US,2018-06-23,,,,,,,general protestors,Protesting ICE,1,protest,0,0,0,0,1,1,https://q13fox.com/2018/06/23/protesters-fighting-for-immigrant-rights-camp-outside-northwest-detention-center/,,,Start of an ongoing protest,,,,
Tornillo,Tornillo-Guadalupe Toll Plaza,TX,US,2018-06-23,FB: 59,59,,59,,,Physicians & Nurses,against jailing and separating immigrant children from their families,1,march,0,0,0,0,1,1,https://www.facebook.com/events/185732215465213/,,,,,,,
Verona,Shenandoah Valley Juvenile Center,VA,US,2018-06-23,more than 250,250,,250,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.dailyprogress.com/news/politics/demonstrators-gather-at-verona-juvenile-center-to-protest-trump-policies/article_2abd55ae-773f-11e8-b90b-6788b1247b1c.html,https://www.newsleader.com/story/news/local/2018/06/24/svjc-protesters-stop-torturing-children-rally/728875002/,,,,,,
Washington,,DC,US,2018-06-23,thousands,2000,,2000,,,Poor People's Campaign,"against poverty, racism",1,protest,0,0,0,0,1,1,https://www.dailykos.com/stories/2018/6/23/1774890/-Open-thread-for-night-owls-Poor-People-s-Campaign-rallies-in-DC-preps-for-next-phase-of-its-push,,,,,,,
West Hartford,Town Hall,CT,US,2018-06-23,FB: 95,95,,95,,,"Action Together Connecticut, Rallies for Humanity, CT Working Families",against jailing and separating immigrant children from their families,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/228076651321453/,,,,,,,
Albany,Albany High School graduation at the Times Union Center ,NY,US,2018-06-24,more than a dozen,12,,12,,,students,protesting school board president,0,protest,0,0,0,0,1,1,https://www.timesunion.com/news/article/Student-protest-disrupts-Albany-High-grad-ceremony-13022473.php,,,,,,,
Avon,The Vail Church,CO,US,2018-06-24,,,,,,,general protestors,counter-protest; protesting Westboro Baptist Church,0,protest,0,0,0,0,1,1,https://www.vaildaily.com/news/protesters-counter-protesters-visit-vail-area-churches-sunday-services-not-disrupted/,,,,,,,
Berkeley,Berkeley Repertory Theatre,CA,US,2018-06-24,several,4,,4,,,Stop Urban Shield,protesting mayor Jesse Arreguin support of Urban Shield,1,protest,0,0,0,0,0,1,http://www.dailycal.org/2018/06/26/berkeley-mayor-jesse-arreguin-delivers-state-city-address-amid-stop-urban-shield-protest/,,,,,,,
Berkeley,HS Lordships,CA,US,2018-06-24,,,,,,,restaurant employees,protesting poor severance pay,0,protest,0,0,0,0,1,1,http://www.dailycal.org/2018/06/26/hs-lordships-workers-protest-severance-one-week-restaurant-closure/,,,,,,,
Boston,Jamaica Plain,MA,US,2018-06-24,dozens,24,,24,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2018/06/24/jamaica-plain-demonstrators-protest-family-separation/hmp88YcI82sLjMBuVfZPhJ/story.html#comments,,,,,,,
Chicago,Uptown,IL,US,2018-06-24,hundreds of thousands,200000,,200000,,,Chicago Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.nbcchicago.com/blogs/worth-the-trip/chicago-pride-parade-boystown-north-side-photos-2018-486447791.html,,,,,,,
Cincinnati,Lee’s Famous Recipe Chicken in Hartwell,OH,US,2018-06-24,,,,,,,general protestors,protesting racist treatment of customer,0,protest,0,0,0,0,1,1,https://www.cincinnati.com/story/news/2018/06/25/lees-famous-chicken-why-protesters-were-lined-up/729922002/,,,,,,,
Dallas,First Baptist Church Dallas,TX,US,2018-06-24,about 20,20,,20,,,general protestors,"atheists protesting ""america is a christian nation"" sermon",0,protest,0,0,0,0,1,1,https://www.star-telegram.com/news/local/community/fort-worth/article213764164.html,,,,,,,
Denver,State Capitol,CO,US,2018-06-24,FB: 2200,2200,,2200,,,Resistance 5280,Marching for immigrant children,1,march;rally,,,,,1,1,https://www.facebook.com/events/213010762643316/,,,,,,,
Fort Lauderdale,Federal Courthouse,FL,US,2018-06-24,300 or so,300,,300,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://miami.cbslocal.com/2018/06/24/rally-fort-lauderdale-family-separation-policy/,https://www.miamiherald.com/news/local/community/broward/article213744649.html,,,,,,
Glen Allen,West Broad Street close to Short Pump,VA,US,2018-06-24,around 200,200,,200,,,general protestors,against jailing and separating immigrant children from their families; against zero-tolerance immigration policies,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/873908119462263/,https://www.facebook.com/events/873908119462263/,,,,,,
Grand Island,outside of the district office of Congressman Adrian Smith ,NE,US,2018-06-24,about 100,100,,100,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.theindependent.com/news/local/families-belong-together-protesters-gather-in-g-i/article_057a83c2-7823-11e8-a877-bb0f81eeef73.html,,,,,,,
Kansas City,JC Nichols Fountain on the Country Club Plaza ,MO,US,2018-06-24,"hundreds, maybe more than a thousand",200,,1000,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.kmbc.com/article/hundreds-gather-for-immigration-protest-on-the-plaza/21925525,https://www.kansascity.com/news/local/article213684619.html,,,,,,
Minneapolis,Fourth Precinct,MN,US,2018-06-24,na,350,,400,,,general protestors,Protesting police shooting,1,protest;rally,0,0,0,0,1,1,https://www.mprnews.org/story/2018/06/24/hundreds-protest-minneapolis-police-shooting-of-31yearold-man,https://www.mprnews.org/story/2018/06/24/hundreds-protest-minneapolis-police-shooting-of-31yearold-man,,,,,,
Minneapolis,Hennepin Avenue,MN,US,2018-06-24,,,,,,,general protestors,Protesting police shooting,1,protest,0,0,0,0,0,1,http://www.startribune.com/pride-parade-will-get-underway-at-11-a-m-sunday/486382741/,,,,,,,
Minneapolis,Hennepin Avenue,MN,US,2018-06-24,tens of thousands,20000,,20000,,,Twin Cities Pride,Pro-LGBTQ,1,parade; rallies,0,0,0,0,0,1,https://www.mprnews.org/story/2018/06/24/photos-twin-cities-pride-parade-2018,,,,,,,
Napa,Veteran's Memorial Park,CA,US,2018-06-24,several hundred,300,,300,,,Women's March Napa Valley; Latinos Unidos de Napa,Protesting the separation of immigrant families,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/2058060801133400/,,,,,,,
New York,,NY,US,2018-06-24,"estimated crowd of 2 million; about 50,000 marched and over a million spectators",1050000,,2000000,,,NYC Pride,pro-LGBTQIA+; anti-Trump,1,march,,,,,1,1,http://www.nydailynews.com/new-york/ny-metro-gay-pride-parade-20180624-story.html,https://www.fastcompany.com/40586423/photos-nyc-pride-march-draws-a-defiant-and-resilient-crowd,https://pix11.com/2018/06/24/thousands-take-part-in-annual-nyc-pride-parade/,,,,,
Portland,ICE Headquarters,OR,US,2018-06-24,FB: 1100,1100,,1100,,,general protestors,Protesting ICE,1,rally;protest,0,0,0,0,1,1,https://www.facebook.com/events/289930988114507/,,,,,,,
San Francisco,"Market Street, from Embarcadero to Civic Center.",CA,US,2018-06-24,nearly one million; hundreds of thousands,200000,,1000000,,,San Francisco Lesbian Gay Bisexual Transgender Pride Celebration Committee,pro-LGBTQIA+; anti-Trump,1,march,,,,,1,1,http://sanfrancisco.cbslocal.com/2018/06/24/nearly-1-million-gather-for-san-francisco-pride-parade/,,,,,,,
Seattle,4th Avenue,WA,US,2018-06-24,as many as 300000,300000,,300000,,,Seattle Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,http://mynorthwest.com/1027150/thousands-to-pack-seattle-streets-for-annual-pride-parade/,,,,,,,
St Louis,Market Street,MO,US,2018-06-24,thousands,2000,,2000,,,PrideSTL,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.stltoday.com/news/local/metro/thousands-watch-the-colorful-pride-parade-march-down-market-street/collection_b979c708-aa75-5731-b29f-43a404a208df.html#1,,,,,,,
Tornillo,to tent camp for immigrants,TX,US,2018-06-24,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,march,,,,,1,1,https://twitter.com/AmyLSchuh/status/1008933402228264960,https://www.elpasotimes.com/story/news/immigration/2018/06/24/protesters-separation-children-detention-families-tornillo-trump-zero-tolerance-policy-immigration/728948002/,,,,,,
West Chester,the courthouse at 2 N. High Street,PA,US,2018-06-24,,,,,,,general protestors,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,http://www.dailylocal.com/general-news/20180622/foes-of-trump-policies-plan-immigration-rally-set-in-chesco,,,,,,,
West Columbia,Airport High School,SC,US,2018-06-24,,,,,,,Indivisible Midlands,protesting Trump appearance at McMaster governmental rally,1,protest,,,,,1,1,http://www.wistv.com/story/38496789/indivisible-midlands-hosting-rally-protesting-trump-visit-to-sc-for-mcmaster-campaign,,,,,,,
Westport,Ruth Steinkraus Cohen Bridge,CT,US,2018-06-24,FB: 24,24,,24,,,general protestors,protesting against the jailing and separation of immigrant children and families,1,protest,,,,,1,1,https://www.facebook.com/events/211606179465084/,,,,,,,
Woodstock,Woodstock Square,IL,US,2018-06-24,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.nwherald.com/lists/2018/06/22/fe8b083958714ea687549f4a5d4232dd/index.xml?page=8,,,,,,,
Wooster,Public Square,OH,US,2018-06-24,na,250,,250,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.the-daily-record.com/news/20180624/were-all-immigrants-wooster-rally-highlights-recent-immigrant-struggles,,,,,,,
Ames,outside of U.S. Rep. Steve King's office,IA,US,2018-06-25,just under 80,80,,80,,,NextGen Iowa,protesting Rep. King's views,1,protest,0,0,0,0,1,1,http://www.amestrib.com/news/20180625/protesters-rally-against-steve-king8217s-immigration-views-outside-ames-office,,,,,,,
Cincinnati,outside of the Dalton Avenue post office,OH,US,2018-06-25,,,,,,,postal workers,protesting job cutbacks,1,protest,0,0,0,0,1,1,https://www.wcpo.com/news/local-news/hamilton-county/cincinnati/local-postal-workers-protest-job-cutbacks-ahead-of-national-contract-negotiations,,,,,,,
Houston,downtown,TX,US,2018-06-25,,,,,,,Justice for John,protesting alleged racist killing and mistrial in case,0,protest,0,0,0,0,1,1,http://abc13.com/rally-protests-mistrial-in-deadly-fight-outside-dennys/3651655/,,,,,,,
Kansas City,County Club Plaza,MO,US,2018-06-25,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families; against zero-tolerance policies; against 287(g) program,1,protest,0,0,0,0,1,1,http://www.newstribune.com/news/missouri/story/2018/jun/25/hundreds-rally-kansas-city-against-immigrant-separation/732016/,,,,,,,
Knoxville,City Council Building,TN,US,2018-06-25,more than 500,500,,500,,,coalition of organizations,against jailing and separating immigrant children from their families; against zero-tolerance policies; against 287(g) program,1,protest,0,0,0,0,1,1,https://www.knoxnews.com/story/news/2018/06/25/more-than-500-protest-trump-immigration-policies-downtown-knoxville/732059002/,,,,,,,
Knoxville,City Council Building,TN,US,2018-06-25,about 5,5,,5,,,general protestors,supporting zero-tolerance immigration policy,2,counter-protest,0,0,0,0,1,1,https://www.knoxnews.com/story/news/2018/06/25/more-than-500-protest-trump-immigration-policies-downtown-knoxville/732059002/,,,,,,,
Montclair,Park Street,NJ,US,2018-06-25,about 25,25,,25,,,general protestors,protesting proposed apartment building construction,0,protest,0,0,0,0,1,1,http://www.montclairlocal.news/wp/index.php/2018/06/29/neighbors-protest-11-apartment-park-street-proposal/,,,,,,,
Montpelier,State House,VT,US,2018-06-25,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.timesargus.com/articles/zero-tolerance-rally-monday/,"https://www.benningtonbanner.com/stories/hundreds-rally-in-montpelier-to-protest-trumps-immigration-policy,543238",,,,,,
Portland,Lobsterman's Park,ME,US,2018-06-25,more than 200,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.centralmaine.com/2018/06/25/downtown-protest-targets-immigration-policy/,,,,,,,
Providence,Statehouse,RI,US,2018-06-25,about 20,20,,20,,,general protestors,"protesting the passage of ""Kristen's Law""",0,protest,0,0,0,0,1,1,https://www.ricentral.com/kent_county_daily_times/advocates-hold-rally-against-signing-of-kristen-s-law/article_cc155b56-795e-11e8-8c99-775fadfc720b.html,http://turnto10.com/politics/protesters-rally-against-kristens-law-ask-raimondo-not-to-sign-bill,,,,,,
Raleigh,,NC,US,2018-06-25,about 1000,1000,,1000,,,farmers,protesting farming bill,0,protest,0,0,0,0,1,1,https://www.cbs17.com/news/local-news/farmers-gather-in-raleigh-for-rally-concerning-controversial-bill_20180625224509/1263403386,https://www.cbs17.com/news/north-carolina-news/about-1-000-attend-nc-agriculture-rally-in-raleigh/1263523055,,,,,,
Reading,outside the Berks County Services Center,PA,US,2018-06-25,about a dozen,12,,12,,,union employees,protesting pending anti-union supreme court decision,1,protest,0,0,0,0,1,1,http://www.readingeagle.com/news/article/union-workers-hold-rally-in-reading/1,,,,,,,
Reno,World of Life Church to Peppermill Casino,NV,US,2018-06-25,more than 200,200,,200,,,coalition of organizations,against jailing and separating immigrant children from their families; protesting appearance by Jeff Sessions,1,protest; march,0,0,0,0,1,1,http://www.poconorecord.com/news/20180625/demonstrators-block-reno-road-to-protest-immigration-policy,,,,,,,
San Angelo,on the steps of the Tom Green County Courthouse,TX,US,2018-06-25,a few dozen,36,,36,,,general protestors,against jailing and separating immigrant children from their families,1,prayer rally,0,0,0,0,1,1,https://www.gosanangelo.com/story/news/local/2018/06/25/san-angelo-prayer-rally-detained-immigrants-calls-compassion/733163002/,,,,,,,
