CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Augusta,Langford Middle School,Richmond,GA,US,2019-04-04,about 500,500,,500,,,students  ,For greater awareness; Healthcare; Mental health,0,walkout; march,0,0,0,0,1,1,https://www.augustachronicle.com/news/20190404/langford-middle-students-march-to-raise-autism-awareness,,21012,
Boise,State Capitol,Ada,ID,US,2019-04-04,nearly 100,100,,100,,,general protestors,Executive; For greater transparency,1,rally,0,0,0,0,1,1,https://www.idahopress.com/news/local/boise-rally-calls-for-release-of-full-mueller-report/article_c2616611-d1ca-5a63-ac02-2a1c5c28c1f9.html,,21035,
Boston,Boston Common,Suffolk,MA,US,2019-04-04,hundreds,200,,200,,,general protestors,Executive; For greater transparency,1,rally,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2019/04/04/hundreds-rally-for-mueller-report-release-boston-common/ChJ6P3H5nk0kYXTwfZzcGL/story.html,,21034,
Boulder,Glen Huntington Memorial Bandshell,Boulder,CO,US,2019-04-04,about 150,150,,150,,,MoveOn,Executive; For greater transparency,1,rally,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_32556468/crowd-rallies-boulder-release-mueller-report,,21029,
Bradenton,downtown Bradenton office of State Senate President Bill Galvano,Manatee,FL,US,2019-04-04,count pic,10,,10,,,Food & Water Watch,Against fossil fuels; Environment,1,protest,0,0,0,0,1,1,https://www.heraldtribune.com/news/20190404/bradenton-demonstrators-seek-total-ban-on-fracking,,21005,
Canton,Park St and Main St,St. Lawrence,NY,US,2019-04-04,,,,,,,MoveOn; Indivisible; Stand Up America; Common Cause,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.watertowndailytimes.com/news04/north-country-activists-join-nationwide-releasethereport-protest-20190405,,21039,
Chicago,Federal Plaza,Cook,IL,US,2019-04-04,more than 100,100,,100,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.chicagotribune.com/news/local/breaking/ct-met-mueller-report-protest-20190404-story.html,,21100,
College Station,Texas A&M,Brazons,TX,US,2019-04-04,dozens,24,,24,,,Texas A&M Student Affairs Health Promotion,Against sexual/domestic violence; Other; Take Back the Night,0,rally,0,0,0,0,1,1,https://www.theeagle.com/news/local/take-back-the-night-rally-at-texas-a-m-raises/article_f0835ad8-5761-11e9-a9ca-b33f8c34eb4d.html,,21055,
Danville,Main St,Boyle,KY,US,2019-04-04,NA,20,,20,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.amnews.com/2019/04/12/20-protest-for-release-of-mueller-report-in-danville/,,21199,
Daytona Beach,International Speedway Boulevard and Beach St,Volusia,FL,US,2019-04-04,about 70,70,,70,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.news-journalonline.com/news/20190404/daytona-protesters-demand-mueller-reports-release,,21017,
