CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-10-01,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,,,https://www.bkreader.com/2020/11/02/heres-what-happens-at-the-nightly-anti-racist-gathering-in-mccarren-park/,,,,,,,,,,,,,,,,,,
New York,"PS 128, Middle Village, Queens",,NY,US,2020-10-01,approximately three dozen,36,,36,,,parents,for live instruction during remote schooling due to coronavirus,0,protest,,,,,0,1,,,,https://www.amny.com/education-2/queens-parents-protest-outside-of-middle-village-school-over-lack-of-live-instruction-for-blended-learning-students/,https://qns.com/2020/10/middle-village-parents-protest-outside-of-p-s-128q/,,,,,,,,,,,,,,,,,
New York,"The Stonewall Inn, Manhattan",,NY,US,2020-10-01,,,,,,,The Stonewall Protests,"for Black trans liberation, for community building",1,march,,,,,0,1,,,,https://www.instagram.com/p/CQMyh8yDOZB/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,
Overland Park,Center for Women's Health,,KS,US,2020-10-01,,,,,,,40 Days for Life,against abortion rights,2,vigil,,,,,1,1,,,,http://theleaven.org/co-founder-of-40-days-for-life-campaign-leads-rally/,,,,,,,,,,,,,,,,,,
Park Ridge,,,IL,US,2020-10-01,,,,,,,general protesters,for resumption of in-person schooling during coronavirus pandemic,0,rally,,,,,1,1,,,,https://www.chicagotribune.com/suburbs/park-ridge/ct-prh-open-school-rally-tl-1001-20200929-smnr2p3fbzcl3d364nev5ugy5u-story.html,,,,,,,,,,,,,,,,,,
Parkersburg,"Kroger, 930 Division St",,WV,US,2020-10-01,,,,,,,UFCW Local 400,for better wages and healthcare and safer workplace conditions during coronavirus pandemic for Kroger grocery store workers in West Virginia,0,car caravan,,,,,1,1,,,,https://wvva.com/2020/10/01/local-kroger-workers-protesting-today/,,,,,,,,,,,,,,,,,,
Pawleys Island,Pawleys Island Town Hall,,SC,US,2020-10-01,more than a dozen,12,,12,,,NAACP of Georgetown,"against racism, for resignation of mayor",1,demonstration,,,,,1,1,,,,https://www.postandcourier.com/georgetown/news/naacp-protests-will-continue-until-pawleys-island-mayor-brian-henry-resigns/article_b9c303ee-0422-11eb-9e25-9f71d0cc1426.html,,,,,,,,,,,,,,,,,,
Peoria,"Planned Parenthood, 2709 Knoxville Ave",,IL,US,2020-10-01,,,,,,,40 Days for Life,against abortion rights,2,vigil,,,,,1,1,,,,https://www.pjstar.com/photogallery/IP/20201028/PHOTOGALLERY/102809998/PH/1,,,,,,,,,,,,,,,,,,
Pflugerville,,,TX,US,2020-10-01,,,,,,,Pflugerville Education Association,for transparency in school board communication during coronavirus pandemic,0,rally,,,,,1,1,,,,https://www.kxan.com/news/education/pflugerville-isd-teachers-rally-for-transparency-free-speech-amid-rumors-of-covid-19-outbreaks-within-district/,,,,,,,,,,,,,,,,,,
Philadelphia,"Germantown Ave, Mount Airy",,PA,US,2020-10-01,,,,,,,general protesters,"against racism, against police violence",1,march,,,,,0,1,,,,https://www.phillytrib.com/race-discussions-spur-march-by-mt-airy-residents/article_7b19521e-3104-50b6-8f74-ebe4dfff9166.html,,,,,,,,,,,,,,,,,,
Philadelphia,Malcolm X Park,,PA,US,2020-10-01,FB: 201,201,,201,,,Party for Socialism and Liberation-Philly,"against racism, against police violence, for justice for Breonna Taylor",1,vigil,,,,,1,1,,,,https://www.facebook.com/events/1316686775344391/,,,,,,,,,,,,,,,,,,
Pittsburgh,Mellon Green,,PA,US,2020-10-01,,,,,,,Put People First-PA; Thomas Merton Center; Green Party of Allegheny County,"for hazard pay and workplace safety for healthcare workers during coronavirus pandemic, against tax breaks for University of Pittsburgh Medical Center, for expansion of medicaid, for a state public healthcare advocate",1,march,,,,,1,1,,Medicaid March,,https://www.wesa.fm/post/demonstrators-march-downtown-calling-medicaid-all-taxes-upmc#stream/0,https://www.facebook.com/events/310722463525022/,,,,,,,,,,,,,,,,,
Pittsburgh,Pittsburgh City-County Building,,PA,US,2020-10-01,,,,,,,Trans YOUniting,for respect for transgender and nonbinary people,1,protest,,,,,0,1,,,,https://www.pghcitypaper.com/pittsburgh/trans-youniting-addresses-violence-lack-of-support-in-final-march-of-the-season/,,,,,,,,,,,,,,,,,,
Portland,Coe Circle,,OR,US,2020-10-01,,,,,,,Shift 2 Bikes,against rush to fill vacant U.S. Supreme Court seat,1,bicycle ride,,,,,1,1,,naked bike ride,,https://komonews.com/news/nation-world/naked-bike-ride-will-pedal-through-portland-to-protest-senates-rush-to-replace-ginsberg-1,,,,,,,,,,,,,,,,,,
Pottstown,High St and North Hanover St,,PA,US,2020-10-01,,,,,,,parents; student athletes,against cancellation of fall school sports season in Pottstown School District due to coronavirus,0,protest,,,,,1,1,,Let Them Play,,https://www.wfmz.com/news/area/southeastern-pa/parents-student-athletes-in-pottstown-protest-school-boards-decision-regarding-fall-sports/article_72e9ff38-042a-11eb-8415-735da8cd5f96.html,,,,,,,,,,,,,,,,,,
Providence,Hope High School to Providence Place Mall,,RI,US,2020-10-01,just under 50,50,,50,,,general protesters,"against racism, for community",1,march,,,,,1,1,,,,https://upriseri.com/2020-10-01-just-because/,,,,,,,,,,,,,,,,,,
Reading,Berks County Services Center,,PA,US,2020-10-01,count pic,8,,8,,,"Amalgamated Transit Union, Local 1345",for hazard pay for BARTA and Red Rose bus drivers during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://www.masstransitmag.com/management/news/21156899/pa-barta-red-rose-transit-workers-rally-outside-berks-county-services-center-for-hazard-pay,"BARTA, Red Rose transit workers rally outside Berks County Services Center for hazard pay | Coronavirus | readingeagle.com",,,,,,,,,,,,,,,,,
Riverside,University of California Riverside,,CA,US,2020-10-01,about 30,30,,30,,,Cops Off Campus,"for abolishing university police, against racism",1,demonstration; caravan; teach-in,0,0,0,0,1,1,,,,https://www.highlandernews.org/75168/faculty-and-students-participate-in-statewide-day-of-action-to-remove-police-from-uc-campuses/,,,,,,,,,,,,,,,,,,
