CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Linda Vista,Morley St Apartments,San Diego,CA,US,2019-05-02,,,,,,,San Diego Tenants Union,increased housing prices,0,protest,0,0,0,0,1,1,https://www.10news.com/news/local-news/tenants-hold-rally-to-fight-back-against-rising-rent,,,,,,
New York,Nadler's Office (201 Varick St),New York,NY,US,2019-05-02,,,,,,,SOSAmerica2019,against president trump; pro-impeachment,1,rally,0,0,0,0,1,1,https://www.eventbrite.com/e/sosamerica2019-nyc-rally-to-petition-rep-nadler-to-begin-impeachment-tickets-60809380494,,,,,,
Olympia,Plum St and 8th Ave SE at McDonalds,Thurston,WA,US,2019-05-02,,,,,,,Pacific Northwest Regional Council of Carpenters,pro workers rights,2,rally,0,0,0,0,1,1,https://www.theolympian.com/news/local/article229827094.html,,,Daily for past year,,,
Oxford,Butler County Area I Court,Butler,OH,US,2019-05-02,about 50,50,,50,,,general protestors,pro animal welfare,0,protest,0,0,0,0,1,1,https://www.journal-news.com/news/large-protest-supporting-starved-dog-signaled-butler-county-recent-boost-animal-cruelty-cases/ruuRhtKTMLrDggEYR61w8J/,https://www.journal-news.com/news/watch-protesters-outside-courthouse-for-butler-county-man-appearance-after-emaciated-dog-death/Aznsgqj1cC9wb6XI4mfLpM/,,,,,
Providence,State Capitol,Providence,RI,US,2019-05-02,,,,,,,general protestors,against drugs,1,protest,0,0,0,0,1,1,https://www.wpri.com/news/zombies-descend-upon-state-house-to-rally-against-tobacco-e-cigarette-industry/,,,,,,
Sacramento,,Sacramento,CA,US,2019-05-02,Few Dozen,36,,36,,,general protestors,pro civil rights,1,protest,0,0,0,0,1,1,https://www.sacbee.com/news/local/article229956704.html,,,,,,
San Fransisco,San Fransisco Municiple Transportation Agency,San Francisco,CA,US,2019-05-02,roughly a hundred,100,,100,,,parking control officers union,against violence,0,rally,0,0,0,0,1,1,https://www.sfexaminer.com/the-city/parking-control-officers-protest-assaults-on-ticket-writers/,,,,,,
San Marcos,California State University,San Diego,CA,US,2019-05-02,hundreds,200,,200,,,students,against violence,1,rally,0,0,0,0,1,1,https://www.10news.com/news/local-news/cal-state-san-marcos-students-expected-to-rally-against-hate-hold-candle-lighting-ceremony,,,,,,
Woodburn,,Pamplin,OR,US,2019-05-02,count pic,3,,3,,,teachers,improve funding,1,rally,0,0,0,0,1,1,https://pamplinmedia.com/wbi/152-news/427286-334297-teachers-rally-for-funding,,,,,,
Albuquerque,Albuquerque,Bernalillo,NM,US,2019-05-03,,,,,,,students,anti fossil fuels,1,protest,0,0,0,0,1,1,https://www.kob.com/albuquerque-news/high-school-students-block-traffic-during-climate-change-protest/5340125/,,,,,,
Carlsbad,North County,San Diego,CA,US,2019-05-03,,,,,,,interfaith community,support religious tolerance,2,protest,0,0,0,0,1,1,https://www.10news.com/news/local-news/interfaith-communities-rally-against-hate-in-carlsbad,,,,,,
Casper,Washington Park,Natrona,WY,US,2019-05-03,count pic,15,,15,,,general protestors,for climate change action; pro-environment,1,protest,0,0,0,0,1,1,https://oilcity.news/community/city/2019/05/03/casper-students-skip-classes-for-climate-change-strike/,,,12-4pm,,"Once only (all options, except Every Friday and Weekly, are treated as once only)",<a href='https://www.rocklandclimatealliance.com/upcoming-events' target='_blank'>Link</a> Â Â Â
Chicago,,Cook,IL,US,2019-05-03,around 500,500,,500,,,students,for climate change action; pro-environment,2,protest,0,0,0,0,1,1,https://www.dailyherald.com/news/20190503/area-high-school-students-rally-for-climate-change-action,,,,,,
Chicago,James Thompson Center,Cook,IL,US,2019-05-03,nearly 100,100,,100,,,students,pro gun control,2,protest,0,0,0,0,0,1,https://chicago.suntimes.com/news/2019/5/3/18623322/45-of-chicago-s-young-black-men-are-out-of-school-and-jobless-new-report-says,,,,,,
Columbia,,Columbia,OR ,US,2019-05-03,count pic,21,,21,,,educators and community,improve ed funding,1,protest,0,0,0,0,1,1,https://www.thechronicleonline.com/news_paid/education-teachers-to-join-statewide-rally-for-school-funding/article_aa5e7416-6dbe-11e9-b61d-eb3cbe8dd567.html,,,,,,
Dallas,,Dallas,TX,US,2019-05-03,,,,,,,general protestors,against candidate; against lgbtq,1,protest,0,0,0,0,1,1,https://6abc.com/fellow-candidate-stands-up-for-mayor-pete-after-homophobic-protesters-heckle-him/5285197/,,,,,,
Edmond,Edmond Police Department,Oklahoma,OK,US,2019-05-03,NA,1,,1,,,general protestor ,supporting police,2,counter protest,0,0,0,0,1,1,https://kfor.com/2019/05/03/hundreds-march-in-the-rain-to-protest-death-of-edmond-teen/,,,,,,
Edmond,Edmond Police Department,Oklahoma,OK,US,2019-05-03,more than 100,100,,100,,,general protestors,pro police accountability,1,protest,0,0,0,0,0,1,https://okcfox.com/news/local/group-rallies-outside-police-department-after-teen-killed-by-officers,https://www.edmondsun.com/news/local_news/black-lives-matter-march-honors-isaiah-lewis/article_1b7158bc-6d33-11e9-99d3-fbc6e6aa4466.html,,,,,
Evansville,Bosse,Vanderburgh,IN,US,2019-05-03,more than 20,20,,20,,,general protestors,greater safety transportation,2,protest,0,0,0,0,1,1,https://www.courierpress.com/story/news/2019/05/03/evansville-community-activists-students-rally-pedestrian-overpass/3651235002/,,,,,,
Fort Worth,Town Hall,Tarrant,TX,US,2019-05-03,Hundreds,200,,200,,,O'Rouke campaign,Beto for President,1,protest,0,0,0,0,1,1,https://www.star-telegram.com/article230002994.html,,,,,,
Great Barrington,Main Street,Berkshire,MA,US,2019-05-03,count pic,21,,21,,,general protestors,for climate change action; pro-environment,1,protest,0,0,0,0,1,1,https://theberkshireedge.com/south-county-high-school-students-rail-against-inaction-during-youth-climate-strike/,,,12-4pm,,"Once only (all options, except Every Friday and Weekly, are treated as once only)",<a href='https://www.rocklandclimatealliance.com/upcoming-events' target='_blank'>Link</a> Â Â Â
Greenfield,Common,Franklin,MA,US,2019-05-03,,,,,,,students,for climate change action; pro-environment,1,protest,0,0,0,0,1,1,https://www.recorder.com/Students-strike-for-climate-change-at-Greenfield-Common-25306307,,,,,,
Manistee,Munson Healthcare Manistee Hospital,Manistee,MI,US,2019-05-03,dozens,24,,24,,,general protestors,better maternal care,2,protests,0,0,0,0,1,1,https://upnorthlive.com/news/local/dozens-protest-after-hospital-closes-maternity-unit,,,,,,
Middletown,Sinkhole ,Dauphin,PA,US,2019-05-03,approximately two dozen,24,,24,,,general protestors,anti fossil fuels,1,protest,0,0,0,0,1,1,https://www.dailylocal.com/news/pipeline-demonstrators-take-to-the-streets/article_866cb116-6dd3-11e9-a4ee-6f5bfbb5d3f9.html,,,,,,
Oxford,Miami University,Butler,OH,US,2019-05-03,about a dozen,12,,12,,,students,greater gun control,1,protests,0,0,0,0,1,1,https://www.daytondailynews.com/news/local-education/pro-gun-advocates-carrying-weapons-march-miami-chat-students/491FKHPXHgADBHIlsJkpWN/,,,,,,
Plantation,South Plantation Highschool,Broward,FL,US,2019-05-03,a couple dozen,24,,24,,,general protestors,hazardous conditions,1,protest,0,0,0,0,1,1,https://miami.cbslocal.com/2019/05/03/dozens-of-south-plantation-high-students-walk-out-over-mold-air-quality-concerns/,,,,,,
San Francisco,San Francisco City Hall,San Francisco,CA,US,2019-05-03,50-70,50,,70,,,right wing protesters and left wing counter protesters,oppose anti-conservative bias,2,rally,0,0,0,0,1,1,https://www.sfexaminer.com/the-city/right-wing-protesters-rally-at-city-hall/,,,,,,
San Francisco,City Hall,San Francisco,CA,US,2019-05-03,about two dozen,24,,24,,,general protestors,oppose conservative protestors,1,counter protest,0,0,0,0,0,1,https://www.sfexaminer.com/the-city/right-wing-protesters-rally-at-city-hall/,,,,,,
Seattle,University of Washington,King,WA,US,2019-05-03,,,,,,,Republicans Club,anti affirmative action,2,bake sale,0,0,0,0,1,1,https://www.kiro7.com/news/local/-affirmative-action-bake-sale-draws-protest-on-uw-campus/946091963,,,,,,
