CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5
Detroit,Kid Rock's restaurant,Wayne,MI,US,2019-12-04,about 20 ,20,,20,,,general protesters,Against racism,0,Protest,0,0,0,0,1,1,https://www.detroitnews.com/story/news/local/detroit-city/2019/12/04/reports-kid-rocks-restaurant-leave-little-caesars-arena/2606137001/,,,,,
Hartford,Immigration and Customs Enforcement office,Hartford,CT,US,2019-12-04,over a dozen,12,,12,,,general protesters,Against the detainment of Uzbek immigrant ,1,Protest,0,0,0,0,1,1,https://www.courant.com/news/connecticut/hc-news-hartford-immigration-rally-20191204-ur2a5i5qnnb57brdac5gdfsfxm-story.html,,,,,
Holland,215 Central Ave.,Ottawa,MI,US,2019-12-04,about 300,300,,300,,,Pence campaign,support Trump,2,rally,,,,,1,1,https://www.hollandsentinel.com/news/20191204/about-200-protest-mike-pence-rally-in-holland,,,,,
Holland,outside 215 Central Ave.,Ottawa,MI,US,2019-12-04,about 200,200,,200,,,general protestors,anti-Trump,1,counter-protest,,,,,0,1,https://www.hollandsentinel.com/news/20191204/about-200-protest-mike-pence-rally-in-holland,https://twitter.com/AnnikaDoner/status/1202405139350466561,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-12-04,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Penns Grove,Outside school district offices,Salem,NJ,US,2019-12-04,approximately 80,80,,80,,,general protesters,Supporting a contract with better wages for teachers,0,Protest,0,0,0,0,1,1,https://www.nj.com/salem/2019/12/we-just-want-a-livable-wage-teachers-say-as-they-protest-lack-of-contract.html,,,,,
Pittsburgh,University of Pittsburgh ,Allegheny,PA,US,2019-12-04,more than 20,20,,20,,,Grad Union organizers,Supporting the establishment of a graduate student union ,0,Demonstration,0,0,0,0,1,1,https://pittnews.com/article/153207/news/grad-union-organizers-hold-demonstration-on-sky-bridge/,,,,,
San Francisco ,Mayor London Breed's office,San Francisco ,CA,US,2019-12-04,around 100,100,,100,,,general protesters,Demanding larger city budget for housing subsidies for elderly residents,0,Protest,0,0,0,0,1,1,https://sfist.com/2019/12/05/aging-and-disabled-activists-gather-at-mayors-office-to-protest-for-housing-subsidies/,,,,,
Santa Barbara,Unitarian Society of Santa Barbara,Santa Barbara,CA,US,2019-12-04,,,,,,,Coalition Against Gun Violence,against gun violence,1,vigil,,,,,1,1,https://www.noozhawk.com/article/interfaith_vigil_mourns_victims_of_gun_violence#.XfD83c7FWew.twitter,,,,,
Scottsdale,outside a hotel,Maricopa,AZ,US,2019-12-04,dozens,24,,24,,,general protestors,against meeting of American Legislative Exchange Council ,0,protest,0,0,0,0,1,1,https://ktar.com/story/2865804/conservative-lawmakers-greeted-in-scottsdale-by-protesters-lawsuit/,,,,,
Scottsdale,Westin Kierland Resort,Maricopa,AZ,US,2019-12-04,,,,,,,general protesters,Against the start of American Legislative Exchange Council conference,1,Protest,0,0,0,0,1,1,https://www.fox10phoenix.com/news/liberals-protest-as-conservative-legislative-group-gathers-in-arizona,,,,,
South Bend,,St. Joseph,IN,US,2019-12-04,,,,,,,general protestors,against Buttigieg; pro-Black Lives Matter,0,protest,0,0,0,0,1,1,https://www.buzzfeednews.com/article/henrygomez/pete-buttigieg-black-support-protest-south-bend,,,,,
South Bend,,St. Joseph,IN,US,2019-12-04,,,,,,,Black Lives Matter,Against presidential candidate Pete Buttigieg's policies with regard to black citizens,0,Protest,0,0,0,0,1,1,https://www.wndu.com/content/news/Black-Lives-Matter-Sanders-campaign-react-to-chaos-at-Buttigieg-support-rally-565850442.html,,,,,
Syracuse,steps of Hendricks Chapel at Syracuse University,Onondaga,NY,US,2019-12-04,,,,,,,general protestors,pro-peace; anti-racism,0,vigil,,,,,1,1,https://twitter.com/SyracuseU/status/1202388432330338305,https://twitter.com/RickyReports/status/1202340601313845248,,,,
Washington,St. Mark's Episcopal Church; Capitol Hill,DC,DC,US,2019-12-04,,,,,,,general protestors,support gun violence victims,1,vigil,,,,,1,1,https://twitter.com/NewtownAction/status/1196939643498979328,https://twitter.com/RepJahanaHayes/status/1202414768377733120,,,,
Altoona ,In front of state Sen. Judy Ward's office,Blair,PA,US,2019-12-05,about 30,30,,30,,,UPMC Altoona nurses,Demand more robust staffing ,0,Protest,0,0,0,0,1,1,https://www.altoonamirror.com/news/local-news/2019/12/upmc-altoona-nurses-rally-for-safe-staffing/,,,,,
Ann Arbor,University of Michigan ,Washtenaw,MI,US,2019-12-05,,,,,,,One University campaign; Climate Action Movement,Against university executives decisions regarding carbon neutrality efforts,0,Protest,0,0,0,0,1,1,https://www.mlive.com/news/ann-arbor/2019/12/climate-protesters-block-university-of-michigan-execs-from-exiting-meeting.html,,,,,
Buffalo ,,Erie,NY,US,2019-12-05,,,,,,,general protesters,Against proposed mandates on the HPV and flu vaccinations,0,Protest,0,0,0,0,1,1,https://www.wgrz.com/article/news/western-new-york-families-protest-against-proposed-vaccine-mandates/71-7e0430e7-e696-43ce-80ce-a1aa307155a7,,,,,
Chapel Hill ,University of North Carolina,Chatham ,NC,US,2019-12-05,about 200,200,,200,,,general protesters,Against Silent Sam deal and money to Confederate group,0,Protest,0,0,0,0,1,1,https://www.newsobserver.com/news/local/education/article238069654.html,,,,,
Cincinnati,P&G's Fifth Street Campus,Hamilton,OH,US,2019-12-05,,,,,,,general protesters,Against the use of consumer product's non-recycled pulp in paper products from Procter and Gamble,0,Protest,0,0,0,0,1,1,https://www.cincinnati.com/story/money/2019/12/05/p-g-protest-santa-claus-and-elves-deliver-coal-cincinnati-company/2612933001/,,,,,
Corydon,Corydon Square,Harrison,IN,US,2019-12-05,,,,,,,general protestors,pro-impeachment; anti-Trump,1,protest,,,,,1,1,https://twitter.com/LeahSlag/status/1202634745361907712,,,daily since August 1,,
Harrisburg,Capitol,Dauphin,PA,US,2019-12-05,,,,,,,general protesters,Against President Trump,1,Protest,0,0,0,0,1,1,https://www.pennlive.com/news/2019/12/citizen-activist-gene-stilp-burns-trump-campaign-flags-to-protest-the-presidents-misguided-values.html,,,,,
Houston,Houston ISD headquarters,Harris,TX,US,2019-12-05,,,,,,,general protesters,Against the state takeover of Houston schools,0,Protest,0,0,0,0,1,1,https://cw39.com/2019/12/05/teachers-to-rally-at-houston-isd-headquarters-today-against-proposed-state-takeover/,,,,,
Knoxville,,Knox,TN,US,2019-12-05,,,,,,,Alternatives to the Death Penalty,Against the execution of Lee Hall,0,Vigil,0,0,0,0,1,1,https://dailymemphian.com/article/9272/death-penalty-protesters-to-hold-prayer-vigil-in,,,,,
