CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Augusta,"intersection of Route 15, Route 206 and Ross Corner Sussex Road",NJ,US,2017-08-05,about 30,30,,30,,,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,https://www.tapinto.net/towns/plainfield/sections/elections/articles/trump-supporters-greet-fair-goers-53,,,,,,
Austin,downtown,TX,US,2017-08-05,NA,25,,50,,,Planned Parenthood,Oppose state bill that would stop city tax dollars from going to Planned Parenthood.,1,march,0,0,0,0,1,1,http://www.kvue.com/news/local/youth-activists-protest-house-bill-14-in-austin/462225576,,,estimate from video,,,
Beavercreek,the Walmart parking lot at 3360 Pentagon Blvd,OH,US,2017-08-05,,,,,,,general protestors,Remembering John Crawford III; against police violence,0,protest,0,0,0,0,1,1,http://ysnews.com/news/2017/08/three-years-later-honoring-john-crawford,,,,,,
Bedminster,Outside Trump's golf course,NJ,US,2017-08-05,about two dozen,24,,24,,,general protestors,Anti-Trump,1,protest,0,0,0,0,1,1,http://www.mycentraljersey.com/story/news/politics/new-jersey/2017/08/05/branchburg-man-leads-anti-trump-protests-peoples-motorcade/540726001/,,,,,,
Bradenton,outside South Florida Museum’s Parker Manatee Aquarium,FL,US,2017-08-05,about a dozen,12,,12,,,Florida Voice for Animals,Justice for Snooty; protesting staff neglience in the accidental death of a manatee,0,protest,0,0,0,0,1,1,http://www.theledger.com/news/20170803/protest-planned-for-snooty-beloved-bradenton-manatee-that-died-in-captivity,http://www.heraldtribune.com/news/20170805/museum-protest,http://www.foxnews.com/science/2017/08/04/protest-planned-over-death-snooty-manatee.html,,,,
Charleston,downtown,SC,US,2017-08-05,more than 50,50,,50,,,Carriage Horse Advocates,Demand better working conditions for carriage horses,0,rally; march,0,0,0,0,1,1,http://www.live5news.com/story/36071039/carriage-horse-advocates-group-rallies-for-new-carriage-tour-laws,,,,,,
Chattanooga,the area of Memphis Drive,TN,US,2017-08-05,,,,,,,general protestors,against sewage tank,0,protest parade,0,0,0,0,1,1,https://wdef.com/2017/08/05/memphis-drive-residents-protest-sewage-holding-tank/,,,,,,
Frankford,Ross's Corner,NJ,US,2017-08-05,nearly 70,70,,70,,,Skylands Tea Party,Rally for Trump,2,rally,0,0,0,0,1,1,http://www.njherald.com/20170806/trump-supporters-rally-in-frankford#,,,,,,
Greensboro,downtown,NC,US,2017-08-05,hundreds,200,,200,,,FaithAction International House,fifth annual Downtown Unity Walk for Immigration Reform,1,march,0,0,0,0,1,1,http://www.greensboro.com/news/local_news/hundreds-march-through-downtown-greensboro-for-immigration-reform-video/article_e63293f4-01a2-527e-82a0-eb262dd6e06f.html,http://myfox8.com/2017/08/05/hundreds-march-chant-through-downtown-greensboro-to-make-a-call-to-action-for-immigration-reform/,,,,,
Hamilton,Parkamo Avenue,OH,US,2017-08-05,hundreds,200,,200,,,general protestors,No Drugs Today rally to show solidarity against drug activity in Butler County,0,rally,0,0,0,0,1,1,http://www.journal-news.com/news/hamilton-grandpa-drugs-today-spurs-rally-planned-for-this-weekend/LeO1q3zYjUlIz1aXUP9RtI/,http://www.journal-news.com/news/local/hamilton-drugs-today-rally-sends-tough-message/OQDXhKlXdu3kzfCx2EGMFL/,http://www.mydaytondailynews.com/news/hamilton-grandpa-drugs-today-spurs-rally-planned-for-this-weekend/LeO1q3zYjUlIz1aXUP9RtI/,,,,
Keene,Central Square,NH,US,2017-08-05,,,,,,,organizer Dorian Petranech,fight against drug addiction stigma,0,rally,0,0,0,0,1,1,http://www.sentinelsource.com/news/local/recovered-addict-to-hold-saturday-rally-against-drug-addiction-stigma/article_88e41963-59f9-5743-8690-b29db98788a5.html,,,,,,
Miami,Bayside,FL,US,2017-08-05,,,,,,,general protestors,protesting government of Venezuela,0,protest,0,0,0,0,1,1,http://wlrn.org/post/open-mic-protest-miami-discusses-venezuelan-crisis,,,,,,
Pensacola,Casino Beach pavilion,FL,US,2017-08-05,,,,,,,Indivisble Northwest Florida; Save Pensacola Beach,opposed to a U.S. Senate bill allowing for private ownership of wide swaths of area beaches ,1,protest,0,0,0,0,1,1,http://www.pnj.com/story/news/local/pensacola/beaches/2017/08/04/protest-planned-against-bill-private-ownership-beach-land/537855001/,,,,,,
