CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,,,,,,,,,,,,,,,
Pinedale,north side of Pine St,Sublette,WY,US,2020-06-04,about 10,10,,10,,,general protesters,opposing BLM; All Lives Matter,2,counter-protest,0,0,0,0,1,1,20200604-pinedale-blm,https://www.jhnewsandguide.com/jackson_hole_daily/local/area-protesters-demonstrate-in-pinedale/article_1ab6284f-da01-5e86-95c8-7f27f0b17d5c.html,,,,,,,,,,,,,,,,,,,,,
Yamhill County,courthouse,Yamhill,OR,US,2020-06-04,na,25,,25,,,county employees,against lack of PPE for county employees during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://newsregister.com/article?articleTitle=county-employees-rally-over-treatment-during-covid-19--1591318534--37312--news,,,,,,,,,,,,,,,,,,,,,
Bad Axe,county building,Huron,MI,US,2020-06-05,several ,3,,3,,,general protester,opposing BLM; All Lives Matter,2,counter-protest,0,0,0,0,1,1,20200605-badaxe-blm,https://thumbwind.com/2020/06/05/black-lives-matter-protest-comes-to-bad-axe-michigan/,,,,,,,,,,,,,,,,,,,,,
Baltimore,City Hall,Baltimore,MD,US,2020-06-05,about 50,50,,50,,,general protester,"against criminal violence, for justice for Ala'Junaye Davis",0,vigil,0,0,0,0,0,1,,https://www.wbaltv.com/article/alajanaye-davis-killed-in-baltimore-rally-mother-seeks-justice/32771285#,https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-friday-protests-20200605-p6qtfbdxknhabjxfbpb3utjb2m-story.html,,,,,,,,,,,,,,,,,,,,
Bath,Bath Iron Works,,MA,US,2020-06-05,,,,,,,Machinists Union Local S,"""protest to show their disapproval in the shipyard’s contract negotiation proposals""",0,demonstration,0,0,0,0,1,1,,https://www.pressherald.com/2020/06/09/hammering-their-point-home-bath-shipyard-reaches-protest-agreement-with-its-largest-union/,,,,,,,,,,,,,,,,,,,,,
Chicago,South Pulaski Rd; in front of Old Crawford power plant,Cook,IL ,US,2020-06-05,,,,,,,general protester,against demolition of power plant,0,protest,0,0,0,0,1,1,,https://chicago.suntimes.com/2020/6/18/21295806/chicago-fire-department-clears-employee-little-village-protest-probe,,,,,,,,,,,,,,,,,,,,,
Harrison,town square,,AR,US,2020-06-05,,,,,,,general protester,"against Black Lives Matter march, against antifa, for President Trump, against abortion, All Lives Matter, for patriotism",2,counter-protest,0,0,0,0,1,1,20200605-harrison-blm,https://www.bostonglobe.com/2020/06/19/opinion/black-lives-matter-haven-white-supremacists/,,,rumors of busloads of antifa; some openly carried rifles and sidearms; some wore bulletproof vests and other tactical gear; some posted on rooftops; verbally confronted marchers,,,,,,,,,,,,,,,,,,
Hernando,downtown,DeSoto,MS,US,2020-06-05,na,2,,2,,,general protesters,opposing BLM; All Lives Matter,2,protest,0,0,0,0,0,1,,https://www.commercialappeal.com/picture-gallery/news/2020/06/06/george-floyd-hernando-protest/3161064001/,,,,,,,,,,,,,,,,,,,,,
La Porte,downtown,,IN,US,2020-06-05,,,,,,,general protesters,pro-Trump,2,protest,0,0,0,0,0,1,,https://www.nwitimes.com/news/local/lake/gary/watch-now-crowd-of-protesters-call-for-accountability-social-justice-outside-gary-city-hall/article_2d9ad4ba-3abc-54e4-9a96-3248f24a3950.html,,,,,,,,,,,,,,,,,,,,,
McAllen,City Hall,Hidalgo,TX,US,2020-06-05,man,1,,1,,,general protesters,against Black Lives Matter protesters,2,counter-protest,1,0,0,0,1,1,20200605-mcallen-blm,https://www.themonitor.com/2020/06/05/black-lives-matter-demonstrators-march-mcallen/,https://myrgv.com/the-valley-morning-star/2020/06/05/mcallen-police-man-wielding-chainsaw-at-protestors-in-custody-charges-pending-2/,https://www.bostonglobe.com/2021/05/29/nation/man-with-chain-saw-attacked-black-lives-matter-protesters-south-texas-could-it-spark-conversation-about-latinos-race-racism/,threatened protesters with chain saw; shouted racial slurs,https://myfox8.com/news/south-texas-chainsaw-man-denounced-at-black-lives-matter-rally/,,,,,,,,,,,,,,,,,
Mercersburg,downtown,,PA,US,2020-06-05,about 30,30,,30,,,general protesters,against relocation of Town Hall,0,protest,0,0,0,0,1,1,,https://www.heraldmailmedia.com/news/tri_state/pennsylvania/mercersburg-residents-protest-to-keep-town-hall-in-borough/article_9c39aec9-ccbf-55a7-8e99-cf71b99feae1.html,,,,,,,,,,,,,,,,,,,,,
Missoula,Missoula County Courthouse,Missoula,MT,US,2020-06-05,,,,,,,general protesters,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200605-missoula-blm,https://www.mtpr.org/montana-news/2020-07-24/man-faces-unlawful-restraint-charges-following-missoula-black-lives-matter-rally,https://missoulian.com/news/local/man-detained-at-missoula-courthouse-lawn-released/article_bc869d87-67d1-5933-aff6-838e13e86077.html,,detained and released by police without charges,,,,,,,,,,,,,,,,,,
Newton,Newton Green,Sussex,NJ,US,2020-06-05,,,,,,,general protesters,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200605-newton-blm,https://www.northjersey.com/story/news/local/2020/06/06/sussex-county-nj-black-lives-matter-protests-george-floyd/3166880001/,,,,,,,,,,,,,,,,,,,,,
Oakland,Frank Ogawa Plaza,,CA,US,2020-06-05,,,,,,,general protesters,commemorate Tony McDade; pro LGBTQ rights,1,"vigil, march",0,0,0,0,1,1,,https://sf.funcheap.com/vigil-march-oakland/,,,,,,,,,,,,,,,,,,,,,
Ontario,,Richland,OH,US,2020-06-05,,,,,,,general protester,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,0,1,20200605-ontario-blm,https://www.mansfieldnewsjournal.com/story/news/2020/06/05/ontario-ohio-protest-friday-peaceful-police-chief-says/3151863001/,,,,,,,,,,,,,,,,,,,,,
Saint George,St George Blvd and 200 East,Washington ,UT,US,2020-06-05,around 40,40,,40,,,general protester,"All Lives Matter, for President Trump, Blue Lives Matter, for patriotism",2,demonstration,,,,,1,1,20200605-stgeorge-alllivesmatter,https://www.stgeorgeutah.com/news/archive/2020/06/05/cdr-all-lives-matter-holds-counter-protest-on-st-george-boulevard/#.Xua6di2ZOqA,,,,,,,,,,,,,,,,,,,,,
Altamahaw,Ace Speedway,Alamance,NC,US,2020-06-06,more than 2000,2000,,2000,,,general protester,against mandated business closures due to coronavirus pandemic,2,rally; non-cooperation,0,0,0,0,1,1,,https://myfox8.com/news/ace-speedway-holds-protest-race-with-more-than-800-tickets-sold-despite-governors-rebuke/,https://www.wwaytv3.com/2020/06/08/car-race-draws-thousands-after-dubbing-itself-a-protest/,,,,,,,,,,,,,,,,,,,,
Bethpage,Bethpage Train Station,,NY,US,2020-06-06,,,,,,,The State of Long Island,"in support of police and first responders, against rioting and looting",2,rally,,,,,1,1,,https://patch.com/new-york/farmingdale/simultaneous-rallies-scheduled-be-held-bethpage,,,,,,,,,,,,,,,,,,,,,
Bourne,Bourne Rotary,Barnstable,MA,US,2020-06-06,pic count,5,,10,,,general protesters,pro-law enforcement,2,rally,0,0,0,0,1,1,,https://www.capecodtimes.com/photogallery/CC/20200606/PHOTOGALLERY/606009999/PH/1,,,,,,,,,,,,,,,,,,,,,
Carson City ,downtown; Nevada Legislature Building,Carson City ,NV,US,2020-06-06,about 100,100,,100,,,general protesters,in support of law enforcement,2,rally,0,0,0,0,0,1,,https://www.rgj.com/story/news/2020/06/06/rally-shows-support-law-enforcement-officers-saturday-carson-city/3166125001/,https://www.kolotv.com/content/news/Peaceful-demonstrations-in-Carson-City-571074981.html,https://www.rgj.com/picture-gallery/news/2020/06/06/carson-city-rally-law-enforcement/3165587001/,,,,,,,,,,,,,,,,,,,
Colorado Springs,Colorado Springs City Hall,,CO,US,2020-06-06,,,,,,,United American Defense Force; FEC United,"against Black Lives Matter protesters, against antifa",2,counter-protest,0,0,0,0,1,1,20200606-coloradosprings-blm,https://www.csindy.com/temporary_news/who-are-the-militia-members-showing-up-at-colorado-springs-protests/article_24706b21-ca10-505e-a05a-23ef4ba16256.html,,,armed militia; set up sniper position on top of parking garage,,,,,,,,,,,,,,,,,,
