id,type,section,date,headline,url,category,lead_paragraph,Black Lives Matter,BLM,Police Brutality,George Floyd,Breonna Taylor,Tyrel Nichols,Ahmaud Abery,Blue Lives Matter
ahmaud-arbery-trial-accused-killers-test-us-racial-justice,article,us-news,2021-11-03,ahmaud arbery: trial of accused murderers is test for racial justice ‘in the heart of white supremacy’,https://www.theguardian.com/us-news/2021/nov/03/ahmaud-arbery-trial-accused-killers-test-us-racial-justice,News,"beneath the spanish moss that swayed from an oak tree, diane arbery jackson took a seat in the morning shade as the three white men accused of murdering her nephew sat in the courtroom a few feet away.",False,False,False,False,False,False,False,False
black-lives-matter-rural-insight-prejudice-blm-stix,article,world,2020-08-08,black lives matter group offers rural people 'insight into prejudice',https://www.theguardian.com/world/2020/aug/08/black-lives-matter-rural-insight-prejudice-blm-stix,News,black lives matter activists have launched a toolkit designed to help rural communities across the uk to fight racism in their local area.,True,False,False,False,False,False,False,False
thousands-gather-in-london-for-george-floyd-protest,article,us-news,2020-06-03,thousands gather in london for george floyd protest,https://www.theguardian.com/us-news/2020/jun/03/thousands-gather-in-london-for-george-floyd-protest,News,thousands of mostly young protesters have marched through central london in an overwhelmingly peaceful black lives matter demonstration that culminated in passionate crowds gathering at the heart of westminster.,False,False,False,True,False,False,False,False
wnba-breonna-taylor-jerseys-black-lives-matter-basketball,article,sport,2020-07-06,wnba players to wear names of women such as breonna taylor on jerseys,https://www.theguardian.com/sport/2020/jul/06/wnba-breonna-taylor-jerseys-black-lives-matter-basketball,Sport,"the wnba,  long the most progressive league in us sports, says its players will wear the names of women  who have been killed by police or in racial violence when the season resumes later this month.",False,False,False,False,True,False,False,False
derek-chauvin-pleads-guilty-civil-rights-charges-george-floyd-killing,article,us-news,2021-12-15,derek chauvin pleads guilty to civil rights charges in killing of george floyd,https://www.theguardian.com/us-news/2021/dec/15/derek-chauvin-pleads-guilty-civil-rights-charges-george-floyd-killing,News,"former minneapolis police officer derek chauvin has pleaded guilty to violating george floyd’s civil rights during the arrest that killed floyd in may 2020, sparking mass racial justice protests across the us and beyond.",False,False,False,True,False,False,False,False
police-violence-protests-us-george-floyd,article,us-news,2020-06-06,protests about police brutality are met with wave of police brutality across us,https://www.theguardian.com/us-news/2020/jun/06/police-violence-protests-us-george-floyd,News,"the nationwide anti-police brutality protests sparked by the killing of george floyd in the us have been marked by widespread incidents of police violence, including punching, kicking, gassing, pepper-spraying and driving vehicles at often peaceful protesters in states across the country.",False,False,False,False,False,False,False,False
the-verdict-on-the-sewell-report-into-racial-disparity,article,commentisfree,2021-03-31,the verdict on the sewell report into racial disparity | halima begum and others,https://www.theguardian.com/commentisfree/2021/mar/31/the-verdict-on-the-sewell-report-into-racial-disparity,Opinion,for tony sewell to argue that there is no  evidence of institutional racism in the uk is delusional. it is deeply disturbing to see this government-commissioned report riddled with so many distortions. neither the existence nor the extent of institutionalised racism can be denied.,False,False,False,False,False,False,False,False
troy-deeney-urges-social-media-firms-and-government-to-tackle-racism,article,football,2020-06-28,troy deeney urges social media firms and government to tackle racism,https://www.theguardian.com/football/2020/jun/28/troy-deeney-urges-social-media-firms-and-government-to-tackle-racism,Sport,troy deeney has called on social media companies and the government to do more to eradicate racism after the #playerstogether initiative launched a raffle of black lives matter shirts worn by premier league footballers.,False,False,False,False,False,False,False,False
far-right-thugs-exploit-black-lives-matter-movement-warns-uk-anti-extremism-chief,article,world,2020-06-28,"far-right thugs exploit black lives matter movement, warns uk anti-extremism chief",https://www.theguardian.com/world/2020/jun/28/far-right-thugs-exploit-black-lives-matter-movement-warns-uk-anti-extremism-chief,News,"the black lives matter movement has been aggressively exploited by the uk’s far right, which has recruited and radicalised people on the back of its success, the government’s chief adviser on extremism has warned.",True,False,False,False,False,False,False,False
us-police-reform-bill-congress-bipartisan-talks,article,us-news,2021-09-23,sweeping george floyd police reform bill stalls as talks collapse,https://www.theguardian.com/us-news/2021/sep/22/us-police-reform-bill-congress-bipartisan-talks,News,bipartisan negotiations in the us congress over a police reform bill that was prompted by the killing of george floyd have collapsed.,False,False,False,True,False,False,False,False
joe-biden-george-floyd-murder-us-politics-live,liveblog,us-news,2021-05-26,george floyd’s family urges biden to pass a policing reform bill – as it happened,https://www.theguardian.com/us-news/live/2021/may/25/joe-biden-george-floyd-murder-us-politics-live,News,"class=""block-time published-time""> ime datetime=""2021-05-26t00:09:36.901z"">1.09am pan class=""timezone"">bstpan>ime>",False,False,False,True,False,False,False,False
systemic-racism-police-brutality-british-problems-black-lives-matter,article,commentisfree,2020-06-04,systemic racism and police brutality are british problems too | kojo koram,https://www.theguardian.com/commentisfree/2020/jun/04/systemic-racism-police-brutality-british-problems-black-lives-matter,Opinion,"it’s october 2019, and bestselling authors douglas murray and lionel shriver take to the stage for an event at central hall westminsterm>.m> part of the way through their talk, murray begins to rail against the 2016 british black lives matter protests and what he sees as “the globalisation of a specific american racial issue”.",False,False,False,False,False,False,False,False
racist-belligerent-media,article,commentisfree,2021-03-21,"a racist, belligerent press doesn’t just hurt its targets, it’s bad for all of us | nesrine malik",https://www.theguardian.com/commentisfree/2021/mar/21/racist-belligerent-media,Opinion,"there is a myth that many in the press in britain cling on to for dear life: they are members of a crusading profession which, in the mould of  woodward and bernstein, unfailingly holds the powerful to account. if there are any isolated examples of journalism that afflicts the powerless by indulging in racism or encouraging prejudice, they are outweighed by all the good work of those crusaders. the myth remains impervious to all the evidence that continues to mount, but every once in a while the sheer weight of reality comes through.",False,False,False,False,False,False,False,False
